Method,Name,Error,Occurrences
GET,/square/7,"HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /square/7 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018525E06580>: Failed to establish a new connection: [Errno 10061] [WinError 10061] Es konnte keine Verbindung hergestellt werden, da der Zielcomputer die Verbindung verweigerte.'))",1
GET,/square/4,"HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /square/4 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018525E77820>: Failed to establish a new connection: [Errno 10061] [WinError 10061] Es konnte keine Verbindung hergestellt werden, da der Zielcomputer die Verbindung verweigerte.'))",1
GET,/square/5,"HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /square/5 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018525E3F340>: Failed to establish a new connection: [Errno 10061] [WinError 10061] Es konnte keine Verbindung hergestellt werden, da der Zielcomputer die Verbindung verweigerte.'))",1
GET,/square/6,"HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /square/6 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018525E3FBB0>: Failed to establish a new connection: [Errno 10061] [WinError 10061] Es konnte keine Verbindung hergestellt werden, da der Zielcomputer die Verbindung verweigerte.'))",1
GET,/square/9,"HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /square/9 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018525E877C0>: Failed to establish a new connection: [Errno 10061] [WinError 10061] Es konnte keine Verbindung hergestellt werden, da der Zielcomputer die Verbindung verweigerte.'))",1
GET,/square/8,"HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /square/8 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018525E06EB0>: Failed to establish a new connection: [Errno 10061] [WinError 10061] Es konnte keine Verbindung hergestellt werden, da der Zielcomputer die Verbindung verweigerte.'))",1
GET,/square/3,"HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /square/3 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018525E74C10>: Failed to establish a new connection: [Errno 10061] [WinError 10061] Es konnte keine Verbindung hergestellt werden, da der Zielcomputer die Verbindung verweigerte.'))",1
GET,/healthcheck,"HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /healthcheck (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018525E52370>: Failed to establish a new connection: [Errno 10061] [WinError 10061] Es konnte keine Verbindung hergestellt werden, da der Zielcomputer die Verbindung verweigerte.'))",3
GET,/square/2,"HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /square/2 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018525E10700>: Failed to establish a new connection: [Errno 10061] [WinError 10061] Es konnte keine Verbindung hergestellt werden, da der Zielcomputer die Verbindung verweigerte.'))",1
GET,/square/10,"HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /square/10 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018525E87460>: Failed to establish a new connection: [Errno 10061] [WinError 10061] Es konnte keine Verbindung hergestellt werden, da der Zielcomputer die Verbindung verweigerte.'))",1
GET,/square/1,"HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /square/1 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018525E74850>: Failed to establish a new connection: [Errno 10061] [WinError 10061] Es konnte keine Verbindung hergestellt werden, da der Zielcomputer die Verbindung verweigerte.'))",2
