,run,Unnamed: 0,Iteration,pod,cpu throttled total,cpu usage,latency95,median latency,memory usage,average response time,average rps,cpu limit,memory limit,number of pods,RPS,rps delta,ratio response time,ratio cpu usage,ratio memory usage
0,1,0,1,webui,217.81834725,49.38104442617733,11054.084909903537,1141.2570290820315,77.66571428571429,4338.502698028724,7.671428571428572,300.0,400.0,1.0,10.0,-0.2328571428571428,1407.006880139705,60.87977334255863,95.75073061224492
1,1,1,2,webui,228.978963325,51.3481092967618,7409.206349206346,400.71138533164464,82.81500000000001,3503.9257056543684,8.771428571428572,300.0,400.0,2.0,10.0,-0.1228571428571427,449.9416412438181,57.65659129607825,92.98941428571428
2,1,2,3,webui,255.86570043333333,39.948532705268285,5438.424931376054,95.40580933653688,84.90333333333335,2424.493080848628,10.528571428571428,300.0,400.0,3.0,10.0,0.0528571428571428,90.36293084303423,37.83696740513268,80.41558571428574
3,1,3,4,webui,285.4940456375,37.98041536046559,4379.287878787878,77.29192434549577,84.45357142857141,2209.3557146224693,10.414285714285716,300.0,400.0,4.0,10.0,0.0414285714285714,74.08983033689665,36.40694100981773,80.95478061224487
4,1,4,5,webui,284.27552141,31.3550601025288,2099.0972222222194,53.55092592592592,84.84714285714284,1799.1065946614622,11.585714285714284,300.0,400.0,5.0,10.0,0.1585714285714285,45.059279100529096,26.3830434291278,71.39281020408161
5,1,5,6,webui,152.986748,70.3504868984477,12958.886562998405,1141.2570290820315,68.09714285714287,3395.09452365394,9.96,300.0,450.0,1.0,10.0,-0.0039999999999999,1145.8220571983595,70.63188884604149,68.36953142857145
6,1,6,7,webui,196.00908566666664,57.60490431560663,8507.441963988149,1141.2570290820315,72.91714285714285,3582.947683979728,9.071354300568458,300.0,450.0,2.0,10.0,-0.0928645699431541,1247.239372282336,62.95435898149197,79.68856197005495
7,1,7,8,webui,247.1481084333333,39.386017204517856,3900.3294489240266,131.31450363956424,74.20047619047621,2455.006316915684,9.557127157856984,300.0,450.0,3.0,10.0,-0.0442872842143016,137.13006638370956,41.13031694252371,77.48661376836034
8,1,8,9,webui,266.163974475,32.819225368451534,1391.90476190476,45.54615027829315,75.675,1934.179042834832,10.857142857142858,300.0,450.0,4.0,10.0,0.0857142857142857,41.64219454015373,30.006148908298545,69.18857142857142
9,1,9,10,webui,266.39034961,29.864178003861426,2182.4730300081646,33.25126816293524,76.42085714285713,1512.8387333608366,11.885747161000328,300.0,450.0,5.0,10.0,0.1885747161000328,26.980919709143667,24.23254911522241,62.00981570302168
10,1,10,11,webui,158.96555015,68.70198781522856,13845.166666666666,1141.2570290820315,63.21,3439.6737554886795,9.666666666666666,300.0,500.0,1.0,10.0,-0.0333333333333333,1179.2989300514328,70.99205407573619,65.31700000000001
11,1,11,12,webui,211.7550744,62.40344744466236,5706.394557823128,157.43724293772274,65.26285714285714,3172.917067135982,10.642857142857142,300.0,500.0,2.0,10.0,0.0642857142857142,147.3162773202977,58.3917972517912,61.06738775510204
12,1,12,13,webui,247.50970126666667,35.673810023281035,3990.8496662328857,93.80250058446347,67.15000000000002,2223.763285635241,11.3435259387044,300.0,500.0,3.0,10.0,0.1343525938704401,81.19989131940734,30.880941113411925,58.12822332159997
13,1,13,14,webui,258.8754891125,29.710192609133536,3616.6480747449054,54.15998400596588,68.65892857142858,1657.022288134305,11.085435065024438,300.0,500.0,4.0,10.0,0.1085435065024437,48.28126942984206,26.48534412447519,61.20644771158489
14,1,14,15,webui,263.51930108,28.131988564232312,2975.833562382106,35.77557491686682,68.7577142857143,1370.9652897199255,11.500067185860216,300.0,500.0,5.0,10.0,0.1500067185860215,30.40899831805925,23.91200127241234,58.44359518823908
15,1,15,16,webui,166.21029555,86.48032610940754,15345.91659752676,1141.2570290820315,55.60714285714285,4413.310150805455,10.233333333333333,300.0,550.0,1.0,10.0,0.0233333333333332,1114.627698403451,84.46245183352137,54.30964285714286
16,1,16,17,webui,208.79455145,53.96509463176828,6938.4195159184765,882.3007385009107,58.860000000000014,3609.345843896712,9.157090005285186,300.0,550.0,2.0,10.0,-0.0842909994714814,956.6707495835784,58.5138663948531,63.82136822889141
17,1,17,18,webui,244.4597494,32.79711965930698,4410.255102040816,116.3948848770277,60.60238095238096,2416.5065085850824,11.042857142857144,300.0,550.0,3.0,10.0,0.1042857142857142,104.2565611684234,29.376848609122103,54.28241836734694
18,1,18,19,webui,262.162775775,38.01111800157969,4676.595037054472,60.86213959245681,62.79857142857145,1893.240435973717,11.342822872571087,300.0,550.0,4.0,10.0,0.1342822872571087,52.689432280620274,32.906898135127705,54.36583562066395
19,1,19,20,webui,263.02764107,24.85794513491572,3228.186166459682,45.6542948268656,63.18828571428575,1583.2553928495654,9.514290003285756,300.0,550.0,5.0,10.0,-0.0485709996714243,47.8717695659004,26.06532037989599,66.25740391895219
20,1,20,21,webui,144.243996,71.05412409536476,11097.963320463316,1141.2570290820315,50.33142857142857,3027.6094925060675,11.25,300.0,600.0,1.0,10.0,0.125,998.5999004467776,62.172358583444165,44.04
21,1,21,22,webui,240.36394885,56.14067732270908,4921.992469336218,198.2133838383838,55.70214285714287,2648.461844854334,10.800062865714915,300.0,600.0,2.0,10.0,0.0800062865714915,182.35506704870505,51.64907020451078,51.24562125306813
22,1,22,23,webui,245.95513223333333,33.165308997067015,3960.042759740676,76.22325577237338,56.44666666666666,1780.2358124746054,11.585768590857686,300.0,600.0,3.0,10.0,0.1585768590857686,64.13601128269923,27.906058465703147,47.49553156080531
