timestamp,__name__,cpu,endpoint,id,instance,job,metrics_path,node,service,value,namespace,pod,container,image,name
1609947953.988,container_cpu_usage_seconds_total,total,https-metrics,/002-bridge,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,0.179531817,,,,,
1609947983.08,container_cpu_usage_seconds_total,total,https-metrics,/002-bridge,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,0.179531817,,,,,
1609948002.307,container_cpu_usage_seconds_total,total,https-metrics,/002-bridge,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,0.179531817,,,,,
1609948043.833,container_cpu_usage_seconds_total,total,https-metrics,/002-bridge,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,0.179531817,,,,,
1609948085.067,container_cpu_usage_seconds_total,total,https-metrics,/002-bridge,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,0.179531817,,,,,
1609948100.236,container_cpu_usage_seconds_total,total,https-metrics,/002-bridge,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,0.179531817,,,,,
1609948140.582,container_cpu_usage_seconds_total,total,https-metrics,/002-bridge,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,0.179531817,,,,,
1609948160.161,container_cpu_usage_seconds_total,total,https-metrics,/002-bridge,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,0.179531817,,,,,
1609948188.699,container_cpu_usage_seconds_total,total,https-metrics,/002-bridge,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,0.179531817,,,,,
1609947957.558,container_cpu_usage_seconds_total,total,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,206.127510964,,,,,
1609947978.796,container_cpu_usage_seconds_total,total,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,206.127510964,,,,,
1609948017.999,container_cpu_usage_seconds_total,total,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,206.127510964,,,,,
1609948035.024,container_cpu_usage_seconds_total,total,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,206.127510964,,,,,
1609948076.977,container_cpu_usage_seconds_total,total,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,206.127510964,,,,,
1609948106.199,container_cpu_usage_seconds_total,total,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,206.127510964,,,,,
1609948134.936,container_cpu_usage_seconds_total,total,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,206.127510964,,,,,
1609948152.687,container_cpu_usage_seconds_total,total,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,206.127510964,,,,,
1609948204.416,container_cpu_usage_seconds_total,total,https-metrics,/docker,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,206.127510964,,,,,
1609947925.775,container_cpu_usage_seconds_total,total,https-metrics,/kmsg,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,16.762659138,,,,,
1609947957.493,container_cpu_usage_seconds_total,total,https-metrics,/kmsg,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,16.773189935,,,,,
1609947986.251,container_cpu_usage_seconds_total,total,https-metrics,/kmsg,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,16.780059772,,,,,
1609948015.204,container_cpu_usage_seconds_total,total,https-metrics,/kmsg,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,16.787101616,,,,,
1609948049.042,container_cpu_usage_seconds_total,total,https-metrics,/kmsg,192.168.65.3:10250,kubelet,/metrics/cadvisor,docker-desktop,prometheus-prometheus-oper-kubelet,16.796084625,,,,,
