,Iteration,pod,cpu throttled total,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
0,1,cart,21.92773325,2.8814232217984634,60.46142857142858,200.0,150.0,1.0,707.2564276048714
1,1,catalogue,16.7096124,3.1070656084867343,52.788571428571416,200.0,150.0,1.0,149.46936542669584
2,1,dispatch,1.05012375,4.574433242147449,27.87285714285714,200.0,150.0,1.0,
3,1,mongodb,8.9009248,1.8048724250959773,78.67714285714285,200.0,200.0,1.0,
4,1,mysql,320.7828587,66.30943314828063,84.52,200.0,800.0,1.0,
5,1,payment,6.0830572,0.5220974112835375,44.34428571428572,200.0,150.0,1.0,
7,1,rabbitmq,188.9996102,30.794008612894967,29.184285714285718,200.0,356.0,1.0,
8,1,ratings,2.09045575,4.889447129417511,61.63999999999999,200.0,150.0,1.0,651.467043314501
9,1,redis,0.3768528,0.6219888047740331,18.268571428571427,,,,
10,1,shipping,423.60028935,33.810425442273775,47.92714285714285,200.0,600.0,1.0,9093.994047619048
11,1,user,13.153361199999999,2.0764361156861018,62.290000000000006,200.0,150.0,1.0,4.274891774891775
12,1,web,0.1904426,1.091018604112772,25.64428571428571,200.0,150.0,1.0,773.8103057444573
13,2,cart,20.74973574,0.7730634530177939,26.177999999999997,200.0,150.0,2.0,207.1587221767687
14,2,catalogue,18.14085524,1.322836424046963,25.192,200.0,150.0,2.0,50.06956324267117
15,2,dispatch,2.3104806333333334,5.170386340795011,14.528571428571425,200.0,150.0,2.0,
16,2,mongodb,9.1440226,2.8918986084780696,93.78714285714287,200.0,200.0,2.0,
17,2,mysql,2228.9377584,13.06800834150005,85.78142857142858,200.0,800.0,2.0,
18,2,payment,7.228603480000001,0.38684721500546065,23.237142857142864,200.0,150.0,2.0,1028.8484848484848
20,2,rabbitmq,1053.7238122,17.315360469378707,32.699999999999996,200.0,356.0,2.0,
21,2,ratings,464.11303246,10.069268508336252,66.3365714285714,200.0,150.0,2.0,4240.021867745077
22,2,redis,0.7081005,0.9778468458765814,23.04,,,,
23,2,shipping,565.8947391199999,60.34409403235742,85.22857142857146,200.0,600.0,2.0,4097.23543422499
