,Iteration,pod,cpu throttled total,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
0,1,cart,24.3228484,2.2981476134466337,61.74142857142857,200.0,150.0,1.0,737.7110147023378
1,1,catalogue,17.700878799999998,3.414771909195789,50.801428571428566,200.0,150.0,1.0,143.20334984666195
2,1,dispatch,2.2905368,3.821554467752606,27.934285714285714,200.0,150.0,1.0,
3,1,mongodb,9.3055493,1.7270902659893608,77.88428571428571,200.0,200.0,1.0,
4,1,mysql,321.64145529999996,64.81972046983606,82.15999999999998,200.0,800.0,1.0,
5,1,payment,7.195891,0.119592513393238,44.167142857142856,200.0,150.0,1.0,
7,1,rabbitmq,192.8497496,32.9298354058097,27.709999999999997,200.0,356.0,1.0,
8,1,ratings,2.1940323499999996,4.082528056157028,61.88,200.0,150.0,1.0,781.3816513761469
9,1,redis,0.4501146,0.5940514463742327,15.682857142857141,,,,
10,1,shipping,468.08045219999997,36.04256531085544,47.02285714285714,200.0,600.0,1.0,11486.93023255814
11,1,user,13.7469313,1.9469668979732677,60.230000000000004,200.0,150.0,1.0,6.715500327011118
12,1,web,0.2530641,1.4822445071331039,23.599999999999998,200.0,150.0,1.0,919.5688292319164
13,2,cart,20.654551128571427,0.7869274309888104,25.173142857142864,200.0,150.0,2.0,264.43944665002255
14,2,catalogue,15.486596175,1.3464696410288304,23.670857142857137,200.0,150.0,2.0,49.829407783417935
15,2,dispatch,4.014121739999999,4.893365047917271,13.359142857142864,200.0,150.0,2.0,
16,2,mongodb,9.3496419,2.67650281191196,100.27571428571427,200.0,200.0,2.0,
17,2,mysql,2297.1373478,6.494679369865802,84.51,200.0,800.0,2.0,
18,2,payment,6.296938133333334,0.21624395630049595,22.40228571428571,200.0,150.0,2.0,513.0
20,2,rabbitmq,995.0985089,15.354762398857066,32.77,200.0,356.0,2.0,
21,2,ratings,439.52842808,10.312313611788618,67.44485714285715,200.0,150.0,2.0,3623.0563111842675
22,2,redis,0.4501146,0.7766078263829505,19.542857142857144,,,,
23,2,shipping,483.0630249857142,66.16842813054488,77.02885714285716,200.0,600.0,2.0,4250.554636072973
24,2,user,13.413787555555558,0.8752440649309908,23.316857142857145,200.0,150.0,2.0,45.44140423335054
25,2,web,0.12561601666666666,0.2876866491529239,11.434285714285712,200.0,150.0,2.0,2272.0323848391877
26,3,cart,6.001062433333334,0.6403331694544778,14.997142857142853,200.0,150.0,3.0,62.914052564646035
27,3,catalogue,5.9547021,0.8315382402673137,14.417142857142863,200.0,150.0,3.0,49.00005486065394
28,3,dispatch,0.00052362,2.77188426971471,7.495714285714288,200.0,150.0,3.0,
29,3,mongodb,12.0059868,3.0638389626689038,99.21857142857142,200.0,200.0,3.0,
