,CPU,Memory,Pods,RPS
1,300,400,1,25.0
2,300,400,2,25.0
3,300,400,3,25.0
4,300,400,4,25.0
5,300,400,5,25.0
6,300,450,1,25.0
7,300,450,2,25.0
8,300,450,3,25.0
9,300,450,4,25.0
10,300,450,5,25.0
11,300,500,1,25.0
12,300,500,2,25.0
13,300,500,3,25.0
14,300,500,4,25.0
15,300,500,5,25.0
16,300,550,1,25.0
17,300,550,2,25.0
18,300,550,3,25.0
19,300,550,4,25.0
20,300,550,5,25.0
21,300,600,1,25.0
22,300,600,2,25.0
23,300,600,3,25.0
24,300,600,4,25.0
25,300,600,5,25.0
26,350,400,1,25.0
27,350,400,2,25.0
28,350,400,3,25.0
29,350,400,4,25.0
30,350,400,5,25.0
31,350,450,1,25.0
32,350,450,2,25.0
33,350,450,3,25.0
34,350,450,4,25.0
35,350,450,5,25.0
36,350,500,1,25.0
37,350,500,2,25.0
38,350,500,3,25.0
39,350,500,4,25.0
40,350,500,5,25.0
41,350,550,1,25.0
42,350,550,2,25.0
43,350,550,3,25.0
44,350,550,4,25.0
45,350,550,5,25.0
46,350,600,1,25.0
47,350,600,2,25.0
48,350,600,3,25.0
49,350,600,4,25.0
50,350,600,5,25.0
51,400,400,1,25.0
52,400,400,2,25.0
53,400,400,3,25.0
54,400,400,4,25.0
55,400,400,5,25.0
56,400,450,1,25.0
57,400,450,2,25.0
58,400,450,3,25.0
59,400,450,4,25.0
60,400,450,5,25.0
61,400,500,1,25.0
62,400,500,2,25.0
63,400,500,3,25.0
64,400,500,4,25.0
65,400,500,5,25.0
66,400,550,1,25.0
67,400,550,2,25.0
68,400,550,3,25.0
69,400,550,4,25.0
70,400,550,5,25.0
71,400,600,1,25.0
72,400,600,2,25.0
73,400,600,3,25.0
74,400,600,4,25.0
75,400,600,5,25.0
76,450,400,1,25.0
77,450,400,2,25.0
78,450,400,3,25.0
79,450,400,4,25.0
80,450,400,5,25.0
81,450,450,1,25.0
82,450,450,2,25.0
83,450,450,3,25.0
84,450,450,4,25.0
85,450,450,5,25.0
86,450,500,1,25.0
87,450,500,2,25.0
88,450,500,3,25.0
89,450,500,4,25.0
90,450,500,5,25.0
91,450,550,1,25.0
92,450,550,2,25.0
93,450,550,3,25.0
94,450,550,4,25.0
95,450,550,5,25.0
96,450,600,1,25.0
97,450,600,2,25.0
98,450,600,3,25.0
99,450,600,4,25.0
100,450,600,5,25.0
101,500,400,1,25.0
102,500,400,2,25.0
103,500,400,3,25.0
104,500,400,4,25.0
105,500,400,5,25.0
106,500,450,1,25.0
107,500,450,2,25.0
108,500,450,3,25.0
109,500,450,4,25.0
110,500,450,5,25.0
111,500,500,1,25.0
112,500,500,2,25.0
113,500,500,3,25.0
114,500,500,4,25.0
115,500,500,5,25.0
116,500,550,1,25.0
117,500,550,2,25.0
118,500,550,3,25.0
119,500,550,4,25.0
120,500,550,5,25.0
121,500,600,1,25.0
122,500,600,2,25.0
123,500,600,3,25.0
124,500,600,4,25.0
125,500,600,5,25.0
