,Iteration,pod,cpu throttled total,cpu usage,latency95,median latency,memory usage,average response time,rps,cpu limit,memory limit,number of pods,ratio
0,1,webui,283.0559454666667,76.07273493455531,10378.85038673127,5855.748506833362,89.13692307692307,5140.179041423932,15.338575419231908,300.0,400.0,1.0,381.7661253920146
1,2,webui,214.9958975,72.85920802292354,6447.312385980785,2325.959600279386,90.07692307692308,3059.2624672908114,22.408423478167567,300.0,400.0,2.0,103.79844894245053
2,3,webui,295.68619759999996,54.31005746465794,1739.7424331324933,74.73844154921264,91.5507692307692,1384.974192451997,21.56906315784448,300.0,400.0,3.0,3.4650759285310415
3,4,webui,296.84925646666665,39.48069750082115,2071.8282818579823,37.77103179450111,92.12794871794873,892.9245949248442,22.553983172157153,300.0,500.0,1.0,1.6746945098872548
4,5,webui,176.48343812500002,72.9271530576866,6579.090993472087,2946.3567356628196,73.94076923076923,2862.7323640952327,21.683295896416293,300.0,500.0,2.0,135.8814061173135
5,6,webui,287.6494864833333,54.12152456125568,2696.0180495442764,1013.3601059879946,71.98807692307693,1559.0468211805257,21.992387717077722,300.0,500.0,3.0,46.077766499227884
6,7,webui,311.6540006416667,33.26720119651481,2439.937652707761,50.0421792412631,73.23282051282048,1048.3457101045901,23.484593901226404,300.0,600.0,1.0,2.130851376512404
7,8,webui,229.61659685,77.78727836126146,6383.668275368974,1857.2108060066325,61.76153846153845,2695.117216435371,22.849990017833235,300.0,600.0,2.0,81.27840776110517
8,9,webui,285.773001075,44.93147080982412,2613.6038661574025,96.89447369558053,63.538076923076915,1340.6412293700484,22.76912780307686,300.0,600.0,3.0,4.255519778078056
9,10,webui,293.1146859333333,43.82399444391198,1914.851601164309,67.02617617663716,63.830000000000005,898.707984017531,24.447180646089013,400.0,400.0,1.0,2.741673043895956
10,11,webui,164.134230075,71.71184542415264,4776.059345408351,1210.6639600559886,94.19153846153849,1675.2000577633744,25.616770916917712,400.0,400.0,2.0,47.260599861805666
11,12,webui,365.18159990000004,61.75797397230993,5946.526317947856,2405.070932887914,92.10499999999999,2664.8863951556073,19.946208509462085,400.0,400.0,3.0,120.57784975761163
12,13,webui,206.57089548750002,46.67860038959875,999.6155990873639,375.16323966228333,90.58846153846154,789.7267110723681,23.354138522156767,400.0,500.0,1.0,16.0641009860567
13,14,webui,207.93647670909093,33.692083297695824,1335.062942136163,27.778128297463116,91.08871794871791,546.8788217288305,23.13086773307791,400.0,500.0,2.0,1.2009116397193984
14,15,webui,165.97171796666666,69.76040414032745,5016.571997077491,1354.9365923190999,73.83153846153847,2055.103560938682,26.245430944545216,400.0,500.0,3.0,51.62561800497722
15,16,webui,228.181509425,50.42960602237259,1382.3712131594684,46.82681139183751,73.62307692307691,853.1858495253763,22.999702239937626,400.0,600.0,1.0,2.035974679295
16,17,webui,226.04203834166665,37.47290431117861,1341.7391684043562,33.270283786490275,73.97179487179488,559.6816777276197,24.961434897093334,400.0,600.0,2.0,1.332867438256303
17,18,webui,172.661051275,54.99206387445683,4580.4071152374345,575.6671891444967,63.174615384615365,1606.1826384105618,27.108822893360955,400.0,600.0,3.0,21.23541812969974
18,19,webui,203.7464901142857,44.48464263287972,1421.004082757627,46.14361683705591,61.800384615384615,745.7013673604304,22.738228171650345,500.0,400.0,1.0,2.0293409182421267
19,20,webui,209.29090510833328,29.93705534024052,920.8491435851975,22.55800012591557,60.95487179487179,495.68123006814716,24.069360234771462,500.0,400.0,2.0,0.9372081312459428
20,21,webui,433.6070954416667,50.907512394667755,6527.37773992047,1163.608185518239,94.6397435897436,1984.0836105098954,21.477109083537094,500.0,400.0,3.0,54.178994993799364
21,22,webui,261.89666725,75.15456175812501,12315.474720501863,6876.423840325967,68.96000000000001,6461.625961661448,13.69090909090909,500.0,500.0,1.0,502.2620334899445
22,23,webui,375.9150034625,66.05890523901375,7382.860497869814,1659.23330876464,72.22807692307693,3531.0475788956924,17.161521556615217,500.0,500.0,2.0,96.68334496395856
23,24,webui,430.0939921416666,54.546148450567586,4626.067164298645,949.0527295701527,73.62923076923077,2676.104856611683,20.45369699753697,500.0,500.0,3.0,46.40005812565022
24,25,webui,207.05391279999998,79.5243662712288,11145.376622331725,5378.228374843357,59.998461538461534,5190.161045134323,17.29058466753223,500.0,600.0,1.0,311.04953813056665
25,26,webui,387.8015957125,58.14022727297182,6614.56628092387,1551.7437128531567,64.82769230769233,2698.297117969574,21.285099864171194,500.0,600.0,2.0,72.90281571406567
26,27,webui,420.4233978083333,51.74933928655621,5230.202705907742,637.470585146241,64.03846153846153,1881.5495188660816,21.408118805579388,500.0,600.0,3.0,29.777048181370485
