,index,CPU usage [%],Memory usage [%],Average response time [ms],Failures [%],Number of pods,CPU limit,Memory limit,Given memory limit
0,0,,,,,,,,
1,10,1.2007719352898334,0.0025416450386522935,111.73529411770885,0.0,1.0,200.0,200.0,200.0
2,13,,,7.148936170140471,0.0,2.0,,,200.0
3,21,,,7.360824742267441,0.0,3.0,,,200.0
4,26,,,9.363636363592708,0.0,4.0,,,200.0
5,32,,,7.890000000043074,0.0,5.0,,,200.0
6,39,,,7.592391304391956,0.0,1.0,,,400.0
7,43,,,7.75661375667335,0.0,2.0,,,400.0
8,52,,,7.010309278353516,0.0,3.0,,,400.0
9,54,,,8.44329896910457,0.0,4.0,,,400.0
10,65,,,10.274611399040031,0.0,5.0,,,400.0
11,76,,,7.760975609722308,0.0,1.0,,,600.0
12,78,,,13.642857142778146,0.0,2.0,,,600.0
13,87,,,8.024509803897885,0.0,3.0,,,600.0
14,91,,,7.275000000008731,0.0,4.0,200.0,400.0,600.0
15,98,,,8.620535714190478,0.0,5.0,,,600.0
16,104,,,8.047619047660932,0.0,1.0,,,800.0
17,109,,,11.499999999987743,0.0,2.0,,,800.0
18,117,,,7.285714285778037,0.0,3.0,,,800.0
19,120,,,6.715000000131113,0.0,4.0,,,800.0
20,130,,,8.396135265653523,0.0,5.0,,,800.0
21,131,,,7.793650793698684,0.0,1.0,,,1000.0
22,142,,,48.21354166663146,0.0,2.0,,,1000.0
23,143,,,31.95175438593236,0.0,3.0,,,1000.0
24,153,,,6.875647668399664,0.0,4.0,,,1000.0
25,156,,,8.981308411310696,0.0,5.0,,,1000.0
26,164,,,7.203045685250823,0.0,1.0,,,200.0
27,169,,,6.843243243182204,0.0,2.0,800.0,1000.0,200.0
28,175,,,15.468208092545607,0.0,3.0,,,200.0
29,182,,,7.779005524853798,0.0,4.0,,,200.0
30,186,,,8.091346153802393,0.0,5.0,,,200.0
31,195,,,8.542105263174898,0.0,1.0,,,400.0
32,197,,,12.530172413825124,0.0,2.0,,,400.0
33,208,,,6.077720207290416,0.0,3.0,,,400.0
34,219,,,6.972972973025216,0.0,4.0,,,400.0
35,221,,,7.134615384599713,0.0,5.0,,,400.0
36,230,,,6.617346938740838,0.0,1.0,,,600.0
37,234,,,7.482412060306243,0.0,2.0,,,600.0
38,241,,,5.989473684253187,0.0,3.0,,,600.0
39,247,,,7.079601990062204,0.0,4.0,,,600.0
40,252,,,6.279411764669966,0.0,5.0,1000.0,200.0,600.0
41,260,,,7.760638297948854,0.0,1.0,,,800.0
42,263,,,8.476923076980315,0.0,2.0,,,800.0
43,273,,,8.265957446808976,0.0,3.0,,,800.0
44,274,,,6.7783783783434535,0.0,4.0,,,800.0
45,285,,,5.595744680888063,0.0,5.0,,,800.0
46,286,,,6.658878504745997,0.0,1.0,,,1000.0
47,296,,,6.255319148914032,0.0,2.0,,,1000.0
48,299,,,5.972350230413925,0.0,3.0,,,1000.0
49,307,,,6.973404255288497,0.0,4.0,,,1000.0
50,312,,,7.238095238075663,0.0,5.0,,,1000.0
51,318,,,7.566666666675052,0.0,1.0,,,200.0
52,325,,,7.057142857146183,0.0,2.0,,,200.0
53,328,,,7.570135746617661,0.0,3.0,1000.0,200.0,200.0
54,338,,,9.310344827511654,0.0,4.0,,,200.0
55,339,,,7.53333333335225,0.0,5.0,,,200.0
56,350,,,6.287234042518205,0.0,1.0,,,400.0
57,351,,,7.544600938975539,0.0,2.0,,,400.0
58,361,,,7.492610837513262,0.0,3.0,,,400.0
59,364,,,7.615384615385269,0.0,4.0,,,400.0
60,372,,,10.452736318338388,0.0,5.0,,,400.0
61,377,,,15.328571428558678,0.0,1.0,,,600.0
62,383,,,5.408045977067862,0.0,2.0,,,600.0
63,390,,,7.828282828288341,0.0,3.0,,,600.0
64,394,,,8.181818181918956,0.0,4.0,,,600.0
65,403,,,7.994285714251289,0.0,5.0,,,600.0
66,405,0.4071579834631159,0.09413440355800702,5.51960784317392,0.0,1.0,1000.0,200.0,800.0
67,416,,,8.010989010981975,0.0,2.0,,,800.0
68,427,,,5.9265536723111225,0.0,3.0,,,800.0
69,429,,,41.045226130679005,0.0,4.0,,,800.0
70,438,,,7.223958333329487,0.0,5.0,,,800.0
