Iteration,cpu usage [%],memory usage [%],Average response time [ms],Failures [%],CPU usage [%],Memory usage [%],Number of pods,CPU limit,Memory limit,Given CPU limit,Given memory limit
1,,,6.542676851544177,0.0,0.027210555835320463,0.0,1,31.428571428571423,314.2857142857143,200,200
2,,,5.590654914225716,0.18007771775187187,49.58735713560055,0.14489177936592487,2,20.0,200.0,200,200
3,,,6.496705468922151,0.0,22.90297607119191,0.13889339982179544,1,20.0,275.0,200,400
4,,,5.642278746307503,0.01905306277984186,34.2513712888163,0.013314385100054015,2,20.0,400.0,200,400
5,,,5.789159573427106,0.0,22.137421177977696,0.09669406526912355,1,27.500000000000004,325.0,400,200
6,,,5.820686940262346,3.3559689006987505,15.694183423158686,0.17008587486260635,2,40.0,200.0,400,200
7,,,5.611566310975903,0.009527439024390244,12.817263067142996,0.11143792866710976,1,40.0,275.0,400,400
8,,,5.8192481203008,0.0,20.411727842124204,0.06635604629344027,2,40.0,400.0,400,400
