Iteration,cpu usage [%],memory usage [%],Average response time [ms],Failures [%],CPU usage [%],Memory usage [%],Number of pods,CPU limit,Memory limit,Given CPU limit,Given memory limit
46,,,5.810366873216608,0.5508016130618668,20.0160636767432,0.2495814950260491,1,40.0,200.0,400,1000
47,,,5.8312992125990615,0.47244094488188976,14.148310877374392,0.2846315109474425,2,40.0,200.0,400,1000
48,,,5.6128112526112375,0.0,8.046083546366484,0.16886504244523387,3,40.00000000000001,200.0,400,1000
49,,,5.8295611100167966,0.2853768943121433,29.540692366242055,0.15371960560714534,4,20.0,200.0,400,1000
50,,,5.820560932256329,0.19751135690302193,6.086196461371207,0.17955862915422421,5,40.000000000000014,200.0,400,1000
51,,,5.835997631734019,1.0953226761397277,5.42076088991289,0.10129517757903969,1,40.0,246.15384615384616,600,200
52,,,5.795789887857749,0.4426519771788314,25.833244615558577,0.15266303291872607,2,40.0,400.0,600,200
53,,,5.830518518517765,0.009876543209876543,9.159291734143366,0.0274437978638922,3,40.0,400.0,600,200
54,,,5.840714074366762,1.2032744846631818,9.524097607276058,0.06535400690670402,4,40.00000000000001,400.0,600,200
55,,,5.796125098347528,0.00983477576711251,6.20765746365762,0.088812014713486,5,40.000000000000014,400.0,600,200
56,,,5.860789551796563,0.009894132779261898,6.177039936043968,0.05771870539588497,1,40.0,446.15384615384613,600,400
57,,,5.868977093209716,1.2342022116903633,12.4192820188559,0.06244534774034043,2,40.0,600.0,600,400
58,,,5.805038874128051,0.11809861234130499,9.588667974124425,0.04970771356473466,3,40.0,600.0,600,400
59,,,5.897107068296998,0.0,6.916395330355709,0.025279027086996846,4,40.00000000000001,600.0,600,400
60,,,5.873450361994872,0.12892988197956956,18.375941277243832,0.2339302480237079,5,20.000000000000004,200.0,600,400
61,,,5.913567939387486,0.009969095803010666,7.3112321466836505,0.06372379176425395,1,40.000000000000014,600.0,600,600
62,,,5.812820007876028,0.19692792437967704,5.713976261546594,0.04217334158278253,2,40.0,646.1538461538462,600,600
63,,,5.872694646594068,0.22928920346924533,27.34129097351173,0.034134352812670674,3,40.0,800.0,600,600
64,,,5.840114556585808,0.6715386134702745,11.011134702985057,0.03326620734997509,4,40.0,800.0,600,600
65,,,5.834025306443779,0.009885330170027679,7.91101230786551,0.024317155100842786,5,40.00000000000001,800.0,600,600
66,,,5.840023729483774,0.4251532529167491,5.7217901319870705,0.030982482499541143,1,40.000000000000014,800.0,600,800
67,,,5.899293462038845,0.18907353965568713,5.030513196667993,0.02214908900373819,2,40.0,846.1538461538462,600,800
68,,,5.844420282692199,0.4645645942473065,13.517603984297095,0.0385586858888175,3,40.0,1000.0,600,800
69,,,5.904757155679154,0.0,14.998362801051865,0.03022580509554151,4,40.0,1000.0,600,800
70,,,5.849782866167362,1.460718515594157,7.962653519949886,0.0406246925893647,5,40.00000000000001,1000.0,600,800
71,,,5.86005744280424,0.3466376151332079,16.0034804820918,0.15356075595009325,1,20.000000000000007,200.0,600,1000
72,,,5.872120730740872,0.009928514694201748,5.935871945652833,0.024314824834277802,2,40.000000000000014,1000.0,600,1000
73,,,5.854203935597723,0.0,4.471011721593895,0.034647180328112356,3,44.61538461538462,815.3846153846154,600,1000
74,,,5.843158624790756,0.0,0.7779479929720916,0.21031823518797518,4,60.0,200.0,600,1000
75,,,5.879765104010476,0.009953219866626855,7.735996217298691,0.1283744113577893,5,59.999999999999986,200.0,600,1000
76,,,5.891878425512887,0.2391629297458894,5.727950017233663,0.1451640267241274,1,59.999999999999986,200.0,800,200
77,,,5.90172948115673,0.0,3.6864143816891564,0.10775020787734861,2,59.999999999999986,200.0,800,200
78,,,5.912973892169933,0.04001200360108032,3.827625920140961,0.17204636596525363,3,59.999999999999986,246.15384615384616,800,200
79,,,5.874504361616563,0.009912767644726407,8.24280175726926,0.08313416404155553,4,60.0,400.0,800,200
80,,,5.925304573597261,0.09986019572598363,8.688551034412331,0.0656340106076997,5,59.999999999999986,400.0,800,200
81,,,5.663693901036167,0.0,3.7447845398660555,0.0549772827500104,1,59.999999999999986,400.0,800,400
82,,,5.893638170973518,0.0,10.842225330159913,0.11586970181183993,2,20.0,246.15384615384616,800,400
83,,,5.862846360115512,0.0,4.537876234367782,0.09525823799893322,3,59.999999999999986,400.0,800,400
84,,,5.890992427262884,0.5181347150259068,3.3144413736338496,0.06105424100997844,4,59.999999999999986,446.15384615384613,800,400
85,,,5.885671641788676,0.25870646766169153,12.44385515984359,0.05508235295765752,5,60.0,600.0,800,400
86,,,5.8839383391333575,0.0,10.201788928360214,0.06725045003087286,1,59.999999999999986,600.0,800,600
87,,,5.911896913395376,0.0,5.654096950953318,0.032504125562334125,2,59.999999999999986,600.0,800,600
88,,,5.885029940119836,0.0,4.171657517513726,0.05266649723474967,3,59.999999999999986,600.0,800,600
89,,,5.9140429785069335,0.0,3.426438025825634,0.03537598698218916,4,59.999999999999986,646.1538461538462,800,600
90,,,5.925726265348198,0.0,5.951591569594123,0.040664569090492715,5,60.0,800.0,800,600
91,,,5.900919816037584,0.0,5.845272310738873,0.0566482703767506,1,59.999999999999986,800.0,800,800
92,,,6.649069715310912,0.0,3.467929776791856,0.017105617468569183,2,59.999999999999986,800.0,800,800
93,,,5.8933746377527,0.0,32.29366018827036,0.036872156706672564,3,20.0,400.0,800,800
94,,,5.889920159677716,0.01996007984031936,3.5521268280069704,0.037139249039623665,4,59.999999999999986,800.0,800,800
95,,,5.912743628185104,0.0,4.197944054045344,0.030610694638743077,5,59.999999999999986,846.1538461538462,800,800
96,,,5.888922185596362,0.0,17.73249765109222,0.02980806394069729,1,60.0,1000.0,800,1000
97,,,5.902932960892612,0.0,7.484896567426453,0.05242280548905484,2,59.999999999999986,1000.0,800,1000
98,,,5.9048763392397134,0.0,4.71091206133024,0.017165016427091583,3,59.999999999999986,1000.0,800,1000
99,,,5.905466173676744,0.0,2.9955811241921886,0.03231672871871941,4,59.999999999999986,1000.0,800,1000
100,,,5.928470966444434,0.0,4.19783547153643,0.02249231142694589,5,64.61538461538461,815.3846153846154,800,1000
101,,,5.90556779491342,0.0,0.17846282849042916,0.1822604160150815,1,80.0,200.0,1000,200
102,,,5.9165916591691765,0.0,6.353898685902664,0.22699424160111448,2,80.0,200.0,1000,200
103,,,5.634966103313921,0.0,2.728218327105118,0.18548419816320064,3,80.00000000000001,200.0,1000,200
104,,,5.911317736450527,0.0,30.56714411949757,0.054042799580363336,4,20.0,400.0,1000,200
105,,,5.8985637342875,0.0,2.601027483477137,0.15072929881869682,5,80.00000000000003,200.0,1000,200
106,,,5.910655327663582,0.010005002501250627,2.1154337426189005,0.07713707679984469,1,80.0,246.15384615384616,1000,400
107,,,5.895508982035597,0.0,4.651044537781175,0.048854441516969736,2,80.0,400.0,1000,400
108,,,5.927743353988527,0.0,3.390423593167491,0.1069301113122311,3,80.0,400.0,1000,400
109,,,5.953479045516626,0.0,3.8463267667452588,0.06791711288101215,4,80.00000000000001,400.0,1000,400
110,,,5.960105039892614,0.0,2.873989382619122,0.07423730446791464,5,80.00000000000003,400.0,1000,400
111,,,5.9274185463663,0.0,2.5738056519235872,0.08180576859059385,1,80.0,446.15384615384613,1000,600
112,,,5.964059833351105,0.0,6.656478526603905,0.0665597891743521,2,80.0,600.0,1000,600
113,,,5.959041964371553,0.0,2.400012672941967,0.03844319862827652,3,80.0,600.0,1000,600
114,,,5.852763769405925,0.09888262632255514,3.5552376196323974,0.03274006656320333,4,80.00000000000001,600.0,1000,600
115,,,5.94768085320542,0.0,18.68738003163109,0.06822588756728375,5,20.000000000000004,400.0,1000,600
116,,,5.944170109848417,0.0,2.6085279793657197,0.03740741651731412,1,80.00000000000003,600.0,1000,800
117,,,5.984582829505293,0.0,1.9714701289988998,0.06334982246293923,2,80.0,646.1538461538462,1000,800
118,,,5.958387909317946,0.0,13.97185264423754,0.03287451751912299,3,80.0,800.0,1000,800
119,,,5.971619028381706,0.0,4.520032580307349,0.057260736829456794,4,80.0,800.0,1000,800
120,,,5.9642785065553365,0.0,2.731698549986634,0.02790637266684116,5,80.00000000000001,800.0,1000,800
121,,,6.008547008545126,0.0,2.3213267995106603,0.029310857364720177,1,80.00000000000003,800.0,1000,1000
122,,,5.968756319513461,0.0,3.3297131924629415,0.02158458976955726,2,80.0,846.1538461538462,1000,1000
123,,,5.961433893869288,0.0,4.712227968251255,0.04630720172092113,3,80.0,1000.0,1000,1000
124,,,5.966909532482213,0.0,3.974637913965462,0.048449730522641496,4,80.0,1000.0,1000,1000
125,,,5.833481218573118,2.237996647934536,3.5784244909028367,0.04866632037495681,5,80.00000000000001,1000.0,1000,1000
