,Iteration,pod,cpu throttled total,cpu usage,memory usage,rps,cpu limit,memory limit,number of pods,average response time
0,1,webui,195.10363336666668,28.114111248884534,40.57384615384615,5.200000000000001,200.0,500.0,1.0,1282.0
1,2,webui,109.52767725714284,25.55673954886025,27.072307692307696,6.43076923076923,200.0,500.0,2.0,1255.857142857143
2,3,webui,102.06845838333334,21.559382562320376,42.454615384615394,10.223076923076924,200.0,500.0,3.0,4489.75
3,4,webui,198.64679174999998,32.90373369865426,55.60757575757575,12.530769230769229,200.0,600.0,1.0,3757.1016949152545
4,5,webui,151.78360336,28.0694750997827,52.68968749999999,6.207692307692309,200.0,600.0,2.0,3476.191126279864
5,6,webui,74.00712487142857,8.81391035310221,30.7635,6.200000000000001,200.0,600.0,3.0,844.0
6,7,webui,80.07729624545453,11.965446112685381,31.574545454545447,8.192307692307693,200.0,700.0,1.0,744.0
7,8,webui,79.70739042222223,14.304691773306194,31.033235294117645,6.346153846153848,200.0,700.0,2.0,749.7142857142857
8,9,webui,74.29146102857143,15.805880098966254,26.094,6.153846153846155,200.0,700.0,3.0,621.0
9,10,webui,80.50533979090908,16.310226911514942,26.052121212121197,8.130769230769232,300.0,500.0,1.0,379.8181818181818
10,11,webui,73.99272705555556,16.166885244195637,28.570294117647062,6.461538461538463,300.0,500.0,2.0,374.77777777777777
11,12,webui,151.78942648571427,19.444395645862606,35.385238095238094,5.93846153846154,300.0,500.0,3.0,733.8571428571429
12,13,webui,53.97625121428572,11.579274966086965,36.58761904761904,6.176923076923075,300.0,600.0,1.0,670.0
13,14,webui,55.441421636363636,12.400202304747165,37.276470588235284,8.323076923076924,300.0,600.0,2.0,575.05
14,15,webui,57.273114622222224,12.822036653902375,36.110937500000006,6.330769230769231,300.0,600.0,3.0,564.5
15,16,webui,49.178385128571435,10.288313666674902,29.460476190476182,6.323076923076925,300.0,700.0,1.0,428.0
16,17,webui,56.41824481818182,12.239143386897675,31.292941176470595,8.27692307692308,300.0,700.0,2.0,437.85714285714283
17,18,webui,51.95940542222222,12.855381567308143,29.501142857142856,6.284615384615386,300.0,700.0,3.0,437.85714285714283
18,19,webui,47.903347585714286,14.02696650476145,26.268695652173914,6.192307692307693,400.0,500.0,1.0,692.0
19,20,webui,52.7326834,15.028063949311278,25.964117647058828,8.246153846153847,400.0,500.0,2.0,396.7142857142857
20,21,webui,152.0871500181818,21.678607619023378,36.97264705882351,7.953846153846154,400.0,500.0,3.0,467.8181818181818
21,22,webui,148.78458177000002,22.83331900032332,34.68939393939392,6.1076923076923055,400.0,600.0,1.0,454.85714285714283
22,23,webui,113.49693765714287,24.281339185451817,27.21217391304348,6.146153846153846,400.0,600.0,2.0,1218.0
23,24,webui,128.75264023636362,27.00526360313245,28.140000000000004,8.115384615384615,400.0,600.0,3.0,697.2857142857143
24,25,webui,112.2464453,26.58555473244118,27.484545454545465,6.184615384615384,400.0,700.0,1.0,542.8888888888889
25,26,webui,106.96952213333334,23.088066657254185,23.025652173913034,6.107692307692307,400.0,700.0,2.0,1073.0
26,27,webui,131.43118316,27.724070807491906,24.558571428571433,8.100000000000001,400.0,700.0,3.0,1197.2857142857142
