,index,Iteration,pod,datapoint_x,cpu throttled total,datapoint_y,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
0,6,1,webui,100.03333333333333,325.626822575,13.5,31.0413300749373,58.452307692307684,200.0,600.0,1.0,5508.5623745339835
1,13,2,webui,255.2639751552795,855.10916668,65.5,61.58802675947135,53.04784615384613,200.0,600.0,2.0,1319.8897561096928
2,20,3,webui,260.6951219512195,352.9789053,65.5,40.8612225697925,38.93292307692312,200.0,600.0,3.0,627.0484007914827
3,27,4,webui,129.24615384615385,158.05285966666668,13.5,24.283249889913098,55.17846153846153,200.0,600.0,4.0,786.9291113007436
4,34,5,webui,163.1203007518797,257.66866298571426,26.5,42.349188794011575,64.24653846153845,200.0,600.0,5.0,743.355029754278
5,41,6,webui,189.3089005235602,274.75253225555554,39.5,45.51623866253103,65.37051282051279,200.0,700.0,1.0,636.9004944787297
6,48,7,webui,226.03846153846155,274.00824352499995,52.5,40.394680457236056,64.97076923076925,200.0,700.0,2.0,613.8491275028383
7,55,8,webui,257.2966360856269,266.46863193999997,65.5,33.735768189196506,64.83415384615388,200.0,700.0,3.0,604.3030768462327
8,62,9,webui,128.28787878787878,181.870794625,13.5,25.008907525920833,49.222307692307695,200.0,700.0,4.0,758.1905139854398
9,69,10,webui,161.28787878787878,264.559872475,26.5,44.249443215296196,54.74230769230768,200.0,700.0,5.0,699.376198805718
10,76,11,webui,196.04950495049505,289.04975468333333,39.5,46.82572494598223,54.6251282051282,200.0,800.0,1.0,633.566434539421
11,83,12,webui,224.93129770992365,280.1231138625001,52.5,41.133427370052274,54.19211538461541,200.0,800.0,2.0,610.7167436956618
12,90,13,webui,122.61290322580645,319.378566575,13.5,39.308166600970544,40.93384615384616,200.0,800.0,3.0,6546.37840785169
13,97,14,webui,262.7814371257485,273.32255374500005,65.5,34.75980678594927,54.262923076923066,200.0,800.0,4.0,608.149672360963
14,104,15,webui,128.28787878787878,181.856072375,13.5,23.792710765726845,41.45846153846152,200.0,800.0,5.0,788.8052727104932
15,111,16,webui,159.73809523809524,266.627170875,26.5,44.45256165360467,50.52269230769231,200.0,900.0,1.0,716.0062097262763
16,118,17,webui,194.28787878787878,277.2614541333333,39.5,45.7901756785679,49.84538461538461,200.0,900.0,2.0,622.3581690382307
17,125,18,webui,228.59774436090225,269.81903598749994,52.5,40.28702038276682,48.868461538461524,200.0,900.0,3.0,591.1623562499146
18,132,19,webui,256.9512195121951,260.19970167500003,65.5,35.08604554214777,48.544615384615355,200.0,900.0,4.0,589.2545914184946
19,139,20,webui,125.15151515151516,180.11681917500002,13.5,27.0386663397588,38.93076923076923,200.0,900.0,5.0,791.4648259031187
20,146,21,webui,159.7462686567164,266.98390728749996,26.5,44.80447397090432,43.197307692307696,200.0,1000.0,1.0,713.8833264489392
21,153,22,webui,194.28787878787878,286.690056325,39.5,45.28729976885227,44.66871794871796,200.0,1000.0,2.0,641.0631451809421
22,160,23,webui,227.28787878787878,277.39114535,52.5,40.55721067058369,44.08250000000002,200.0,1000.0,3.0,611.0418978013048
23,167,24,webui,154.6290322580645,481.03292923749996,26.5,57.42614413521436,47.79076923076926,200.0,1000.0,4.0,3881.816421587497
24,174,25,webui,262.7814371257485,269.554374365,65.5,34.94484278622963,44.17000000000004,200.0,1000.0,5.0,604.0162834669221
25,181,26,webui,129.44117647058823,152.34166095,13.5,27.702572617403696,37.61153846153846,300.0,600.0,1.0,792.4564954439159
26,188,27,webui,158.0,257.04278295,26.5,45.83184782938081,40.82692307692309,300.0,600.0,2.0,698.8787911531318
27,195,28,webui,192.85128205128206,276.8022983363636,39.5,47.74763283886892,40.14384615384616,300.0,600.0,3.0,626.4474776107139
28,202,29,webui,228.4566037735849,282.6332788133333,52.5,41.29935318638474,39.150000000000006,300.0,600.0,4.0,602.5430135696265
29,209,30,webui,263.8089552238806,269.5274410315789,65.5,34.93372632383848,39.61092307692306,300.0,600.0,5.0,603.053402768047
30,216,31,webui,187.09574468085106,638.9346871500001,39.5,61.804973518437876,48.01384615384616,300.0,700.0,1.0,2401.672927495847
31,223,32,webui,209.91379310344828,757.3997504312499,52.5,62.93130135131408,47.43230769230773,300.0,700.0,2.0,1742.5405522715062
32,230,33,webui,240.15753424657535,844.4212468449999,65.5,61.23460133863818,48.43953846153845,300.0,700.0,3.0,1373.1246490997446
33,237,34,webui,114.0,331.14911145,13.5,46.21083075284632,35.07769230769231,300.0,700.0,4.0,6814.276371308018
34,244,35,webui,153.25396825396825,492.05310218750003,26.5,58.44913235615899,41.399230769230776,300.0,700.0,5.0,3471.4116300366304
35,251,36,webui,182.1304347826087,629.3716348166666,39.5,60.535813239444764,42.57897435897434,300.0,800.0,1.0,2260.092361025133
36,258,37,webui,216.6290322580645,752.6266866562502,52.5,61.55153281589038,42.806923076923084,300.0,800.0,2.0,1742.188525992377
37,265,38,webui,141.1271186440678,509.10078543333333,26.5,54.09235241280793,62.7480769230769,300.0,800.0,3.0,3031.4387856082562
38,272,39,webui,246.34415584415584,853.3442545599999,65.5,60.89648651597056,43.49707692307693,300.0,800.0,4.0,1445.6332556366408
39,279,40,webui,118.60344827586206,291.78418780000004,13.5,42.192228412223095,31.572307692307696,300.0,800.0,5.0,7383.705614035088
40,286,41,webui,156.32539682539684,456.1915756749999,26.5,57.693476842582044,38.13807692307692,300.0,900.0,1.0,3907.9437716599823
41,293,42,webui,184.15217391304347,607.8197556583333,39.5,60.95877014227459,38.62435897435897,300.0,900.0,2.0,2362.1853505669055
42,300,43,webui,213.90983606557376,736.88266546875,52.5,62.65444297283607,39.73519230769234,300.0,900.0,3.0,1719.5600021672433
43,307,44,webui,256.0490797546012,832.07065902,65.5,63.59996566839488,39.742307692307676,300.0,900.0,4.0,1333.5550237295279
44,314,45,webui,119.15254237288136,244.09982913333332,13.5,34.6919491138103,54.166153846153854,300.0,900.0,5.0,2364.091395501201
45,321,46,webui,158.23622047244095,353.4986943571428,26.5,51.97526891608191,61.848846153846154,300.0,1000.0,1.0,1614.2303287010598
46,328,47,webui,191.41666666666666,474.3408389100001,39.5,55.56464275525733,62.9476923076923,300.0,1000.0,2.0,1212.8493839384705
47,335,48,webui,220.83137254901962,585.7402274466668,52.5,56.95991817828014,62.6726923076923,300.0,1000.0,3.0,982.6869163952225
48,342,49,webui,180.93048128342247,638.0217585363637,39.5,58.01832118753666,63.83666666666664,300.0,1000.0,4.0,2076.918633734563
49,349,50,webui,255.69470404984423,631.5058970066667,65.5,55.917296421212576,62.64215384615386,300.0,1000.0,5.0,859.9011324885938
50,356,51,webui,124.63934426229508,231.28386546666664,13.5,35.278187143371106,48.52615384615384,400.0,600.0,1.0,2467.876331541037
51,363,52,webui,156.568,353.55060278571426,26.5,51.55938572584743,54.30961538461541,400.0,600.0,2.0,1676.8338644431603
52,370,53,webui,185.63934426229508,514.6341217555556,39.5,55.86922748370299,54.97205128205127,400.0,600.0,3.0,1208.3347475285743
53,377,54,webui,218.9437751004016,596.8598855307692,52.5,55.99591661918633,54.38865384615382,400.0,600.0,4.0,970.3465526643963
54,384,55,webui,252.984126984127,628.6345214200002,65.5,54.313509261660414,54.747076923076946,400.0,600.0,5.0,850.0121517060815
