,level_0,index,CPU usage [%],Memory usage [%],Average response time [ms],Failures [%],Number of pods,CPU limit,Memory limit,Given memory limit
0,0,0,,,,,,,,
1,1,10,,,111.73529411770885,0.0,1.0,,,200.0
2,2,13,5.269042299877324,0.0001655248224459506,7.148936170140471,0.0,2.0,200.0,200.0,200.0
3,3,21,,,7.360824742267441,0.0,3.0,,,200.0
4,4,26,,,9.363636363592708,0.0,4.0,,,200.0
5,5,32,,,7.890000000043074,0.0,5.0,,,200.0
6,6,39,,,7.592391304391956,0.0,1.0,,,400.0
7,7,43,,,7.75661375667335,0.0,2.0,,,400.0
8,8,52,,,7.010309278353516,0.0,3.0,,,400.0
9,9,54,,,8.44329896910457,0.0,4.0,,,400.0
10,10,65,,,10.274611399040031,0.0,5.0,,,400.0
11,11,76,,,7.760975609722308,0.0,1.0,,,600.0
12,12,78,,,13.642857142778146,0.0,2.0,,,600.0
13,13,87,,,8.024509803897885,0.0,3.0,,,600.0
14,14,91,,,7.275000000008731,0.0,4.0,,,600.0
15,15,98,,,8.620535714190478,0.0,5.0,200.0,400.0,600.0
16,16,104,,,8.047619047660932,0.0,1.0,,,800.0
17,17,109,,,11.499999999987743,0.0,2.0,,,800.0
18,18,117,,,7.285714285778037,0.0,3.0,,,800.0
19,19,120,,,6.715000000131113,0.0,4.0,,,800.0
20,20,130,,,8.396135265653523,0.0,5.0,,,800.0
21,21,131,,,7.793650793698684,0.0,1.0,,,1000.0
22,22,142,,,48.21354166663146,0.0,2.0,,,1000.0
23,23,143,,,31.95175438593236,0.0,3.0,,,1000.0
24,24,153,,,6.875647668399664,0.0,4.0,,,1000.0
25,25,156,,,8.981308411310696,0.0,5.0,,,1000.0
26,26,164,,,7.203045685250823,0.0,1.0,,,200.0
27,27,169,,,6.843243243182204,0.0,2.0,,,200.0
28,28,175,,,15.468208092545607,0.0,3.0,800.0,1000.0,200.0
29,29,182,,,7.779005524853798,0.0,4.0,,,200.0
30,30,186,,,8.091346153802393,0.0,5.0,,,200.0
31,31,195,,,8.542105263174898,0.0,1.0,,,400.0
32,32,197,,,12.530172413825124,0.0,2.0,,,400.0
33,33,208,,,6.077720207290416,0.0,3.0,,,400.0
34,34,219,,,6.972972973025216,0.0,4.0,,,400.0
35,35,221,,,7.134615384599713,0.0,5.0,,,400.0
36,36,230,,,6.617346938740838,0.0,1.0,,,600.0
37,37,234,,,7.482412060306243,0.0,2.0,,,600.0
38,38,241,,,5.989473684253187,0.0,3.0,,,600.0
39,39,247,,,7.079601990062204,0.0,4.0,,,600.0
40,40,252,,,6.279411764669966,0.0,5.0,,,600.0
41,41,260,,,7.760638297948854,0.0,1.0,1000.0,200.0,800.0
42,42,263,,,8.476923076980315,0.0,2.0,,,800.0
43,43,273,,,8.265957446808976,0.0,3.0,,,800.0
44,44,274,,,6.7783783783434535,0.0,4.0,,,800.0
45,45,285,,,5.595744680888063,0.0,5.0,,,800.0
46,46,286,,,6.658878504745997,0.0,1.0,,,1000.0
47,47,296,,,6.255319148914032,0.0,2.0,,,1000.0
48,48,299,,,5.972350230413925,0.0,3.0,,,1000.0
49,49,307,,,6.973404255288497,0.0,4.0,,,1000.0
50,50,312,,,7.238095238075663,0.0,5.0,,,1000.0
51,51,318,,,7.566666666675052,0.0,1.0,,,200.0
52,52,325,,,7.057142857146183,0.0,2.0,,,200.0
53,53,328,,,7.570135746617661,0.0,3.0,,,200.0
54,54,338,,,9.310344827511654,0.0,4.0,1000.0,200.0,200.0
55,55,339,,,7.53333333335225,0.0,5.0,,,200.0
56,56,350,,,6.287234042518205,0.0,1.0,,,400.0
57,57,351,,,7.544600938975539,0.0,2.0,,,400.0
58,58,361,,,7.492610837513262,0.0,3.0,,,400.0
59,59,364,,,7.615384615385269,0.0,4.0,,,400.0
60,60,372,,,10.452736318338388,0.0,5.0,,,400.0
61,61,377,,,15.328571428558678,0.0,1.0,,,600.0
62,62,383,,,5.408045977067862,0.0,2.0,,,600.0
63,63,390,,,7.828282828288341,0.0,3.0,,,600.0
64,64,394,,,8.181818181918956,0.0,4.0,,,600.0
65,65,403,,,7.994285714251289,0.0,5.0,,,600.0
66,66,405,,,5.51960784317392,0.0,1.0,,,800.0
67,67,416,0.8881972109374392,0.00016508179058317453,8.010989010981975,0.0,2.0,1000.0,200.0,800.0
68,68,427,,,5.9265536723111225,0.0,3.0,,,800.0
69,69,429,,,41.045226130679005,0.0,4.0,,,800.0
70,70,438,,,7.223958333329487,0.0,5.0,,,800.0
71,71,442,,,8.277227722756646,0.0,1.0,,,1000.0
72,72,449,,,7.095238095172573,0.0,2.0,,,1000.0
73,73,455,,,7.419354838821332,0.0,3.0,,,1000.0
74,74,460,,,7.366197183087729,0.0,4.0,,,1000.0
75,75,468,,,8.373684210509007,0.0,5.0,,,1000.0
76,76,471,,,35.87019230779403,0.0,1.0,,,200.0
77,77,481,,,8.068965517182741,0.0,2.0,,,200.0
78,78,482,,,7.156862745147259,0.0,3.0,,,200.0
79,79,493,,,8.615384615399517,0.0,4.0,,,200.0
80,80,494,,,7.930131004417585,0.0,5.0,1000.0,200.0,200.0
81,81,504,,,9.958333333343118,0.0,1.0,,,400.0
82,82,507,,,7.601941747646917,0.0,2.0,,,400.0
83,83,515,,,5.7627906976809165,0.0,3.0,,,400.0
84,84,520,,,5.78021978023801,0.0,4.0,,,400.0
85,85,526,,,7.060465116313047,0.0,5.0,,,400.0
86,86,533,,,7.188940092222229,0.0,1.0,,,600.0
87,87,537,,,8.78974358985523,0.0,2.0,,,600.0
88,88,546,,,6.855000000014115,0.0,3.0,,,600.0
89,89,548,,,7.376884422059511,0.0,4.0,,,600.0
90,90,559,,,5.8624338623577925,0.0,5.0,,,600.0
91,91,570,,,6.72500000007858,0.0,1.0,,,800.0
92,92,572,,,8.104477611944352,0.0,2.0,,,800.0
93,93,581,,,9.42666666659837,0.0,3.0,1000.0,200.0,800.0
94,94,585,,,5.754901960797581,0.0,4.0,,,800.0
95,95,592,,,7.0544554455409525,0.0,5.0,,,800.0
96,96,598,,,7.100478468936145,0.0,1.0,,,1000.0
97,97,603,,,8.254901960807569,0.0,2.0,,,1000.0
98,98,611,,,8.153846153950676,0.0,3.0,,,1000.0
99,99,614,,,8.179894180020758,0.0,4.0,,,1000.0
100,100,624,,,6.621761657966396,0.0,5.0,,,1000.0
101,101,625,,,8.236111111104778,0.0,1.0,,,200.0
