,Iteration,pod,cpu throttled total,cpu usage,latency95,median latency,memory usage,average response time,average rps,cpu limit,memory limit,number of pods,RPS,rps delta,ratio response time,ratio cpu usage,ratio memory usage
0,1,webui,198.3106324,43.328167629035505,12424.04238095238,1068.4785486443384,67.20428571428572,3183.7349107276823,3.0284971502849714,300.0,400.0,1.0,5.0,-0.3943005699430057,1489.7802493466766,60.4124888197503,93.70297387404118
1,2,webui,256.809299175,57.45766309237161,5320.952380952376,189.38492063492063,79.98285714285713,3157.3238227578436,5.571428571428571,300.0,400.0,2.0,5.0,0.11428571428571424,167.74092970521542,50.891073024672004,70.84195918367347
2,3,webui,269.3521458666667,49.96746281813639,3647.6413799537368,111.50630010880438,79.25000000000001,2084.9611370798802,5.88573584099509,300.0,400.0,3.0,5.0,0.177147168199018,91.75327480817984,41.1158682778138,65.21108692022784
3,4,webui,278.43161161666666,34.05895115321985,5941.897285894091,101.68866225381312,82.61,1691.3006881769757,5.642797210278267,300.0,400.0,4.0,5.0,0.12855944205565334,88.61562457107713,29.680351395961157,71.98970449178248
4,5,webui,284.59688302,24.641751234581047,1569.988022383698,69.18708964850745,83.25371428571424,1485.259557837333,5.600125844030112,300.0,400.0,5.0,5.0,0.12002516880602236,60.882897534247945,21.684120882974447,73.26117317484304
5,6,webui,189.9437643,87.00064351661445,9919.03787878788,1068.4785486443384,64.58142857142856,3619.0262092668395,4.1000000000000005,300.0,450.0,1.0,5.0,-0.17999999999999988,1260.8046874003192,102.66075934960504,76.20608571428569
6,7,webui,260.59651893333336,50.396877215462155,7603.731684981683,183.452380952381,69.80428571428571,2870.6760665330007,5.785714285714286,300.0,450.0,2.0,5.0,0.1571428571428571,154.62414965986397,42.477367938746674,58.835040816326526
7,8,webui,259.7371808333333,41.772735329514326,3773.250722299905,100.64641121740408,72.11380952380955,2055.3891911315877,5.82858430185727,300.0,450.0,3.0,5.0,0.165716860371454,83.96760394280157,34.85028878157949,60.16333542009877
8,9,webui,266.0896235875,30.58740393499905,2595.176872921967,67.58340969563228,73.11749999999999,1663.1320450161638,5.543082653683092,300.0,450.0,4.0,5.0,0.10861653073661834,60.24273419914117,27.265106235339864,65.1757308138653
9,10,webui,259.1136357,28.67729904797293,2979.023523047628,50.92073553321669,74.24000000000001,1371.5512937819783,5.257321688163679,300.0,450.0,5.0,5.0,0.051464337632735814,48.30013360722798,27.201440847373117,70.4192875741457
10,11,webui,228.09294365,77.73109394055726,15001.08225108225,1068.4785486443384,62.56857142857143,4732.599899409196,4.814285714285715,300.0,500.0,1.0,5.0,-0.03714285714285701,1108.1648947368421,80.61824885834936,64.8925469387755
11,12,webui,271.71417603333333,43.4640854596335,5266.679795402494,147.84657553349007,65.44071428571428,3773.2405221395707,5.471230060139416,300.0,500.0,2.0,5.0,0.09424601202788327,133.91262539747942,39.36776873862394,59.27318794002958
12,13,webui,247.53018096666665,41.718965742499925,3568.957456970186,98.94303723056555,66.18571428571428,2616.0496185384422,5.942882859714543,300.0,500.0,3.0,5.0,0.1885765719429086,80.28469845200591,33.85174619777565,53.70463917412149
13,14,webui,259.16880442,34.79536864759429,4155.439285714283,72.89726116829773,65.44999999999997,2051.1093036887924,5.485780032574058,300.0,500.0,4.0,5.0,0.09715600651481164,65.81485438731868,31.414789584583346,59.09113937360556
14,15,webui,270.69905315,27.855222553499907,2998.6672352806395,57.365565381073104,66.66485714285716,1711.8004815902,5.428571468290345,300.0,500.0,5.0,5.0,0.085714293658069,52.44851646413864,25.467631827638346,60.950726001041076
15,16,webui,175.01863155,78.80948548615977,12950.935314685314,737.2142857142857,50.72571428571429,3350.749055519174,3.9328101776174478,300.0,550.0,1.0,5.0,-0.21343796447651045,894.5638022401474,95.63042164976682,61.5525074894742
16,17,webui,215.96199560000002,53.63139273130674,3880.549394840119,126.07715887999224,55.65000000000002,2034.882435558961,5.600410590970754,300.0,550.0,2.0,5.0,0.12008211819415085,110.93754658578229,47.191221490429044,48.96743012249552
17,18,webui,255.820197575,38.246979313315514,5278.215842787913,88.22019626227777,60.61714285714286,1439.8273340015137,5.828271829792583,300.0,550.0,3.0,5.0,0.16565436595851663,73.60613558571426,31.911200205339732,50.575648490926035
18,19,webui,248.10013350000003,27.11891858982358,3847.691255409049,64.18351110498276,60.2375,1181.9540002898382,6.100002871714314,300.0,550.0,4.0,5.0,0.2200005743428628,50.063101798545034,21.152740924505053,46.9852154030218
19,20,webui,259.09702886,28.766262619761367,802.1624547227383,50.55711376495691,61.124,1016.2009986722996,5.614182969678995,300.0,550.0,5.0,5.0,0.12283659393579907,44.346850110844905,25.232712899287186,53.615736032268224
20,21,webui,170.69859350000002,74.48251196878236,16411.300505050505,1068.4785486443384,51.34428571428571,3156.757003219994,4.685714285714285,300.0,600.0,1.0,5.0,-0.06285714285714299,1135.6400574162683,79.16426986396297,54.57164081632653
21,22,webui,229.8165768,53.62311141237439,7863.634598420918,183.92985138075537,54.970000000000006,2854.1975943381954,4.614277164285629,300.0,600.0,2.0,5.0,-0.07714456714287418,198.11904015017691,57.75984313113613,59.210636855843795
