,CPU usage [%],Memory usage [%],Average response time [ms],Failures [%],Number of pods,CPU limit,Memory limit,Given memory limit
0,3.450232452950666,0.15105686357763348,,,,200.0,200.0,
11,,,0.0,,1.0,,,600.0
13,,,0.0,,3.0,200.0,400.0,600.0
22,,,0.0,,2.0,,,1000.0
26,,,0.0,,1.0,200.0,600.0,200.0
33,,,0.0,,3.0,,,400.0
39,,,0.0,,4.0,200.0,600.0,600.0
44,,,0.0,,4.0,,,800.0
52,,,0.0,,2.0,200.00000000000003,600.0,200.0
55,,,0.0,,5.0,,,200.0
65,,,0.0,,5.0,200.0,600.0,600.0
66,,,0.0,,1.0,,,800.0
77,,,0.0,,2.0,,,200.0
78,,,0.0,,3.0,200.0,600.0,200.0
88,,,,,3.0,,,600.0
91,,,,,1.0,200.0,800.0,800.0
99,,,,,4.0,,,1000.0
104,,,,,4.0,200.0,800.0,200.0
110,,,,,5.0,,,400.0
117,,,,,2.0,200.00000000000003,800.0,800.0
121,,,,,1.0,,,1000.0
130,,,,,,200.0,800.0,
132,,,,,,,,
143,6.447728837237015,0.003949857245551854,,,,200.0,200.0,
154,,,,,,,,
156,,,,,,200.0,800.0,
165,,,,,,,,
169,,,,,,200.0,1000.0,
176,,,,,,,,
182,,,,,,200.0,1000.0,
187,,,,,,,,
195,,,,,,200.00000000000003,1000.0,
198,,,,,,,,
208,,,,,,200.0,1000.0,
209,,,,,,,,
220,,,,,,,,
221,,,,,,200.0,1000.0,
231,,,,,,,,
234,,,,,,400.0,200.0,
242,,,,,,,,
247,,,,,,400.0,200.0,
253,,,,,,,,
260,,,,,,400.00000000000006,200.0,
264,,,,,,,,
273,,,,,,400.0,200.0,
275,,,,,,,,
286,3.3588562403238273,0.3049238271831906,,,,200.00000000000003,200.0,
297,,,,,,,,
299,,,,,,400.0,200.0,
308,,,,,,,,
312,,,,,,400.0,400.0,
319,,,,,,,,
325,,,,,,400.0,400.0,
330,,,,,,,,
338,,,,,,400.00000000000006,400.0,
341,,,,,,,,
351,,,,,,400.0,400.0,
352,,,,,,,,
363,,,,,,,,
364,,,,,,400.0,400.0,
374,,,,,,,,
377,,,,,,400.0,600.0,
385,,,,,,,,
390,,,,,,400.0,600.0,
396,,,,,,,,
403,,,,,,400.00000000000006,600.0,
407,,,,,,,,
416,,,,,,400.0,600.0,
418,,,,,,,,
429,3.927112680131327,0.18048781133332997,,,,200.0,200.0,
440,,,,,,,,
442,,,,,,400.0,600.0,
451,,,,,,,,
455,,,,,,400.0,800.0,
462,,,,,,,,
468,,,,,,400.0,800.0,
473,,,,,,,,
481,,,,,,400.00000000000006,800.0,
484,,,,,,,,
494,,,,,,400.0,800.0,
495,,,,,,,,
506,,,,,,,,
507,,,,,,400.0,800.0,
517,,,,,,,,
520,,,,,,400.0,1000.0,
528,,,,,,,,
533,,,,,,400.0,1000.0,
539,,,,,,,,
546,,,,,,400.00000000000006,1000.0,
550,,,,,,,,
559,,,,,,400.0,1000.0,
561,,,,,,,,
572,5.472569498936708,0.21711267530017242,,,,200.0,200.0,
583,,,,,,,,
585,,,,,,400.0,1000.0,
594,,,,,,,,
598,,,,,,600.0,200.0,
605,,,,,,,,
611,,,,,,600.0,200.0,
616,,,,,,,,
624,,,,,,600.0,200.0,
627,,,,,,,,
637,,,,,,600.0,200.0,
638,,,,,,,,
649,,,,,,,,
650,,,,,,600.0,200.0,
660,,,,,,,,
663,,,,,,600.0,400.0,
671,,,,,,,,
676,,,,,,600.0,400.0,
682,,,,,,,,
689,,,,,,600.0,400.0,
693,,,,,,,,
702,,,,,,600.0,400.0,
704,,,,,,,,
715,3.336513289914912,0.1508077235168305,,,,200.0,400.0,
726,,,,,,,,
728,,,,,,600.0,400.0,
737,,,,,,,,
741,,,,,,600.0,600.0,
748,,,,,,,,
754,,,,,,600.0,600.0,
759,,,,,,,,
767,,,,,,600.0,600.0,
770,,,,,,,,
780,,,,,,600.0,600.0,
781,,,,,,,,
792,,,,,,,,
793,,,,,,600.0,600.0,
803,,,,,,,,
806,,,,,,600.0,800.0,
814,,,,,,,,
819,,,,,,600.0,800.0,
825,,,,,,,,
832,,,,,,600.0,800.0,
836,,,,,,,,
845,,,,,,600.0,800.0,
847,,,,,,,,
858,3.6440533705822697,0.02676958970898697,,,,200.0,400.0,
869,,,,,,,,
871,,,,,,600.0,800.0,
880,,,,,,,,
884,,,,,,600.0,1000.0,
891,,,,,,,,
897,,,,,,600.0,1000.0,
902,,,,,,,,
910,,,,,,600.0,1000.0,
913,,,,,,,,
923,,,,,,600.0,1000.0,
924,,,,,,,,
935,,,,,,,,
936,,,,,,600.0,1000.0,
949,,,,,,800.0,200.0,
962,,,,,,800.0,200.0,
975,,,,,,800.0000000000001,200.0,
988,,,,,,800.0,200.0,
1001,,,,,,200.00000000000003,400.0,
1014,,,,,,800.0,200.0,
1027,,,,,,800.0,400.0,
1040,,,,,,800.0,400.0,
1053,,,,,,800.0000000000001,400.0,
1066,,,,,,800.0,400.0,
1079,,,,,,800.0,400.0,
1092,,,,,,800.0,600.0,
1105,,,,,,200.0,400.0,
