,Iteration,pod,cpu throttled total,cpu usage,latency95,median latency,memory usage,average response time,average rps,cpu limit,memory limit,number of pods,RPS,rps delta,ratio response time,ratio cpu usage,ratio memory usage
0,1,webui,265.9129766,44.44389028220191,5867.158333333333,198.9722222222223,67.94857142857144,1897.307348901099,0.5857142857142856,300.0,400.0,1.0,1.0,-0.41428571428571437,281.4035714285716,62.856359113399854,96.09869387755104
1,2,webui,228.37317215000002,31.27648576972623,3514.6428571428564,61.49999999999999,74.53,1173.9335271485356,0.7142857142857143,300.0,400.0,2.0,1.0,-0.2857142857142857,79.07142857142856,40.212624561076574,95.82428571428571
2,3,webui,224.27776344,31.035130482809834,5197.517999985711,78.80965874497495,78.94761904761903,984.7687229655118,0.8714271435714143,300.0,400.0,3.0,1.0,-0.12857285642858574,88.94244168397846,35.02540585861857,89.09813993680723
3,4,webui,232.71330980000002,33.677573538169824,3526.785714285714,169.7619047619048,82.41785714285716,959.9104476931798,0.8714285714285716,300.0,400.0,4.0,1.0,-0.12857142857142845,191.5884353741497,38.007547278791655,93.01443877551021
4,5,webui,248.4480048,18.265605504436778,2549.571428571428,95.95238095238096,82.67,1012.3724878886029,0.7999999999999999,300.0,400.0,5.0,1.0,-0.20000000000000007,115.14285714285717,21.918726605324135,99.20400000000002
5,6,webui,174.82117545,78.20658085298597,6393.333333333333,198.9722222222223,59.965714285714284,2170.2998526054794,0.7857142857142857,300.0,450.0,1.0,1.0,-0.2142857142857143,241.60912698412713,94.96513389291154,72.81551020408163
6,7,webui,199.10988366666666,39.19689110536624,4175.714285714285,78.33333333333333,68.15785714285714,1138.323371050897,0.8285714285714285,300.0,450.0,2.0,1.0,-0.17142857142857149,91.76190476190476,45.916358152000456,79.8420612244898
7,8,webui,198.67971221666664,30.32865708472394,3513.999999999999,143.33133333333336,70.85,1141.2202841032617,0.5999985729999857,300.0,450.0,3.0,1.0,-0.4000014270000143,200.66407120048143,42.460163197607606,99.190101102951
8,9,webui,200.67807503749998,25.974834998321253,5220.715714142871,79.28578572142929,72.43035714285713,1126.552826743174,0.7714228582856573,300.0,450.0,4.0,1.0,-0.22857714171434274,97.40870400020945,31.912088538739198,88.98628115192045
9,10,webui,211.85031682999997,22.65272391739912,2417.000959812202,83.00822254452937,73.34057142857142,1045.8583330365382,0.7714344670783488,300.0,450.0,5.0,1.0,-0.22856553292165116,101.98104116729876,27.83035583170648,90.10369822192128
10,11,webui,178.0017942,67.48867751085967,7161.249999999997,194.30555555555557,51.34571428571428,2386.677386105958,0.6142857142857142,300.0,500.0,1.0,1.0,-0.3857142857142858,269.25198412698415,93.52002455076268,71.15048979591836
11,12,webui,209.8810423,43.741235301959726,3187.741487720272,178.57285685715715,61.43285714285715,1342.2523619715998,0.9857114291428287,300.0,500.0,2.0,1.0,-0.014288570857171279,181.12440777552817,44.36623504195198,62.31064487510135
12,13,webui,215.19146288333334,32.62987219172654,4040.642571399996,102.67859722437187,62.416190476190465,1039.6131449968811,0.9571485720000571,300.0,500.0,3.0,1.0,-0.042851427999942904,107.07852174046717,34.028108810597644,65.09081336841166
13,14,webui,213.9101103875,28.75019433785912,3117.8571428571427,96.35714285714286,63.38964285714287,998.739253480386,0.9428571428571428,300.0,500.0,4.0,1.0,-0.05714285714285716,101.86326530612246,30.393062585736786,67.01190816326532
14,15,webui,213.89370221,18.97861095538318,2496.7857142857138,59.202380952380956,61.994571428571426,899.7542904733061,0.7428571428571429,300.0,500.0,5.0,1.0,-0.2571428571428571,74.42585034013605,23.85882520105314,77.93603265306122
15,16,webui,197.9491835,66.39626238544172,7146.666666666667,198.9722222222223,50.730000000000004,2661.243940101734,0.6571286357107304,300.0,550.0,1.0,1.0,-0.34287136428926956,267.1940995112234,89.16163945324642,68.12386431039465
16,17,webui,202.342046775,36.38638651847519,5772.1610713928585,191.07214295239842,56.65928571428571,1346.761669643995,0.8142714314284286,300.0,550.0,2.0,1.0,-0.18572856857157138,226.55969855685,43.14437800204351,67.18253374628767
17,18,webui,195.06110977500003,35.25081932591835,2069.642714285714,104.88083340475477,59.21238095238094,1127.051866554513,0.8714414298572715,300.0,550.0,3.0,1.0,-0.12855857014272853,118.36416338264776,39.78261425481807,66.82463998236557
