,Iteration,pod,cpu throttled total,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
0,1,cart,2.6784501,0.8511303078942049,51.51142857142857,150.0,100.0,1.0,4.325129533678757
1,1,catalogue,2.6463442,0.926151783785644,48.50142857142857,150.0,100.0,1.0,2.6879652605459055
2,1,dispatch,0.0,1.6262028283773196,33.42000000000001,150.0,100.0,1.0,
3,1,mongodb,2.701383,0.9974394129741144,83.81857142857143,150.0,150.0,1.0,
4,1,mysql,213.1804501,42.00369056483448,84.0,150.0,750.0,1.0,
5,1,payment,1.7973877,0.26631740432041234,72.28285714285714,150.0,100.0,1.0,
7,1,rabbitmq,76.730204,10.947157701911793,27.06,150.0,306.0,1.0,
8,1,ratings,21.727971349999997,5.969293085827791,99.89857142857146,150.0,100.0,1.0,141.78973105134475
9,1,redis,0.0,0.3393242531388475,16.005714285714284,,,,
10,1,shipping,319.2305206,29.960301498149903,67.17142857142858,150.0,550.0,1.0,8093.615624999999
11,1,user,2.7955847,0.7020334383241903,86.52999999999999,150.0,100.0,1.0,2.208872458410351
12,1,web,0.0,0.2981310106016343,24.57857142857143,150.0,100.0,1.0,835.7367136659435
13,2,cart,5.3182636,0.4252684292263213,28.898285714285723,150.0,100.0,2.0,16.272518981086304
14,2,catalogue,4.335670371428571,0.5119106134201892,28.160571428571437,150.0,100.0,2.0,6.847892906252528
15,2,dispatch,2.5988749499999995,2.3024557288840333,12.357714285714287,150.0,100.0,2.0,
16,2,mongodb,2.701383,1.217625396806604,18.384285714285713,150.0,150.0,2.0,
17,2,mysql,756.0389673,5.514795719850923,20.99285714285714,150.0,750.0,2.0,
18,2,payment,2.5691731428571427,0.22506174624087008,29.492857142857144,150.0,100.0,2.0,1034.7142857142858
20,2,rabbitmq,225.57756740000002,5.3073576406294745,9.715714285714286,150.0,306.0,2.0,
21,2,ratings,53.40677795714286,3.9313879878260667,41.98942857142856,150.0,100.0,2.0,295.1732854112656
22,2,redis,0.0,0.40832040407745435,13.150000000000002,,,,
23,2,shipping,335.73450442,38.18347985571166,70.86199999999998,150.0,550.0,2.0,2041.773072172225
24,2,user,5.544633925,0.43759488714306294,27.691428571428577,150.0,100.0,2.0,2.331913760979505
25,2,web,0.01656285,0.08475444595152914,10.904285714285711,150.0,100.0,2.0,749.1731146687007
26,3,cart,5.6531504,0.8041404586965174,30.69714285714286,150.0,100.0,3.0,5.121167883211679
27,3,catalogue,4.8438691,1.2293289660888294,31.09,150.0,100.0,3.0,3.3672768878718538
28,3,dispatch,0.5393856,2.1528931678566536,9.01,150.0,100.0,3.0,
29,3,mongodb,2.701383,1.0180735662890479,19.15142857142857,150.0,150.0,3.0,
30,3,mysql,828.5804517,1.1420847121532596,18.967142857142857,150.0,750.0,3.0,
31,3,payment,2.8677275,0.3070136928354537,24.867142857142856,150.0,100.0,3.0,
33,3,rabbitmq,242.92913735000002,4.593817100160769,13.92,150.0,306.0,3.0,
34,3,ratings,102.6371,6.818479842584284,43.42857142857143,150.0,100.0,3.0,1076.3475177304965
35,3,redis,0.0,0.35931240901022343,12.352857142857143,,,,
36,3,shipping,432.3946468,36.705154909572194,79.0942857142857,150.0,550.0,3.0,4995.776081424936
37,3,user,6.0710233,0.775712705718009,32.800000000000004,150.0,100.0,3.0,2.021113243761996
38,3,web,0.0,0.33179707148579674,8.937142857142858,150.0,100.0,3.0,1126.7233009708739
39,4,cart,5.601253,0.6610417079062298,25.555714285714284,150.0,100.0,4.0,4.924006039255159
40,4,catalogue,4.864586333333333,0.9390315935343184,24.22357142857142,150.0,100.0,4.0,3.0270747498528547
41,4,dispatch,1.0698225,2.278865089040185,10.329285714285714,150.0,100.0,4.0,
42,4,mongodb,2.701383,1.0890734311166963,19.960000000000004,150.0,150.0,4.0,
43,4,mysql,857.6632791,3.023717306798811,19.102857142857143,150.0,750.0,4.0,
44,4,payment,2.8550252,0.22573266345645374,23.35428571428572,150.0,100.0,4.0,
46,4,rabbitmq,261.3935868,4.919506678054668,9.19,150.0,306.0,4.0,
47,4,ratings,68.57532673333334,4.99285597470101,47.65214285714285,150.0,100.0,4.0,651.9092777451557
48,4,redis,0.0,0.3930071180819962,12.370000000000001,,,,
49,4,shipping,360.4720617,36.03364266583686,79.78285714285714,150.0,550.0,4.0,5423.148202494497
50,4,user,5.9568211,0.5889502838268622,25.955000000000005,150.0,100.0,4.0,1.9104477611940298
51,4,web,0.005082066666666667,0.18222685095291485,8.684285714285716,150.0,100.0,4.0,1376.6700576774604
52,5,cart,5.2945718,0.5363515166769599,24.979523809523805,150.0,100.0,5.0,5.395574178342281
53,5,catalogue,4.4063984,0.693070731000829,24.622857142857146,150.0,100.0,5.0,3.184927728125345
54,5,dispatch,1.2277934666666666,2.2610959945363267,10.902380952380955,150.0,100.0,5.0,
55,5,mongodb,2.701383,1.1379323600603908,19.97,150.0,150.0,5.0,
56,5,mysql,918.1408692,4.337786025448195,19.148571428571433,150.0,750.0,5.0,
57,5,payment,2.747512025,0.19866297654911003,22.619523809523805,150.0,100.0,5.0,
59,5,rabbitmq,277.5345924,5.023948172033043,9.304285714285715,150.0,306.0,5.0,
60,5,ratings,81.03512056666666,4.320256776295286,36.88476190476192,150.0,100.0,5.0,405.9645772370245
61,5,redis,0.0,0.3908974127943828,12.379999999999999,,,,
62,5,shipping,326.37407133999994,32.323969879289244,79.7666666666667,150.0,550.0,5.0,4509.594066841908
63,5,user,5.9804564000000004,0.5268406250634717,23.756666666666668,150.0,100.0,5.0,2.3196989528795813
64,5,web,0.001905775,0.14079569046266802,8.567142857142857,150.0,100.0,5.0,1294.7111204947962
65,6,cart,4.8985814,0.39028925177289187,21.963571428571417,150.0,150.0,1.0,6.225798797848782
66,6,catalogue,4.2233958,0.5423979999108417,25.13,150.0,150.0,1.0,3.3705594120049
67,6,dispatch,1.406964216666667,2.3644191359019655,11.203928571428571,150.0,150.0,1.0,
68,6,mongodb,3.2114221,1.2502987133770456,19.43,150.0,200.0,1.0,
69,6,mysql,967.3954168,5.061865870199589,18.91428571428571,150.0,800.0,1.0,
70,6,payment,2.770373328571428,0.2038434637144662,24.396785714285723,150.0,150.0,1.0,4.0
72,6,rabbitmq,293.6642235,4.732489710767133,8.837142857142856,150.0,356.0,1.0,
73,6,ratings,69.4416589,3.872745990846699,35.79607142857143,150.0,150.0,1.0,314.88967904931224
74,6,redis,0.0,0.3966625619427732,12.121428571428572,,,,
75,6,shipping,340.11241125714287,36.20879404264072,77.36892857142857,150.0,600.0,1.0,3655.561212121212
76,6,user,5.60960842,0.4907254439283359,22.86571428571429,150.0,150.0,1.0,3.0072463768115942
77,6,web,0.001905775,0.08661502538871865,8.657142857142857,150.0,150.0,1.0,1041.3115736262364
78,7,cart,4.8874669,0.9486345528565082,52.07571428571428,150.0,150.0,2.0,5.487155090390105
