,CPU usage [%],Memory usage [%],Average response time [ms],Failures [%],Number of pods,CPU limit,Memory limit,Given memory limit
1241,,,,,,,,
1248,,,,,,600.0,1000.0,
1252,,,,,,,,
1261,,,,,,600.0,1000.0,
1263,,,,,,,,
1273,,,,,,,,
1274,,,,,,600.0,1000.0,
1284,,,,,,,,
1287,,,,,,800.0,200.0,
1295,,,,,,,,
1300,,,,,,800.0,200.0,
1305,,,,,,,,
1313,,,,,,800.0000000000001,200.0,
1316,,,,,,,,
1326,,,,,,800.0,200.0,
1327,,,,,,,,
1338,,,,,,,,
1339,,,,,,200.00000000000003,400.0,
1349,,,,,,,,
1352,,,,,,800.0,200.0,
1360,,,,,,,,
1365,,,,,,800.0,400.0,
1378,,,,,,800.0,400.0,
1391,,,,,,800.0000000000001,400.0,
1404,,,,,,800.0,400.0,
1417,,,,,,800.0,400.0,
1430,,,,,,800.0,600.0,
1443,,,,,,800.0,600.0,
1456,,,,,,800.0000000000001,600.0,
1469,,,,,,800.0,600.0,
1482,,,,,,200.0,400.0,
1495,,,,,,800.0,600.0,
1508,,,,,,800.0,800.0,
1521,,,,,,800.0,800.0,
1534,,,,,,800.0000000000001,800.0,
1547,,,,,,800.0,800.0,
1560,,,,,,800.0,800.0,
1573,,,,,,800.0,1000.0,
1586,,,,,,800.0,1000.0,
1599,,,,,,800.0000000000001,1000.0,
1612,,,,,,800.0,1000.0,
