,index,Iteration,pod,datapoint_x,cpu throttled total,datapoint_y,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
0,6,1,webui,133.16666666666666,301.982146275,13.5,41.25580610666872,53.559230769230766,200.0,600.0,1.0,5220.215644820296
1,13,2,webui,263.76582278481015,796.0556912750001,65.5,59.659969059961696,53.70061538461542,200.0,600.0,2.0,1136.0626818070305
2,20,3,webui,273.4268292682927,332.4569031125,65.5,38.05841879782051,40.797384615384615,200.0,600.0,3.0,544.8851065129074
3,27,4,webui,141.98461538461538,164.7933356,13.5,23.249313228483047,54.74307692307692,200.0,600.0,4.0,712.4787370739766
4,34,5,webui,174.48461538461538,240.0769914,26.5,43.22758430275457,65.08115384615385,200.0,600.0,5.0,639.3848427392371
5,41,6,webui,206.98461538461538,261.9442980777778,39.5,44.796278945619584,65.9328205128205,200.0,700.0,1.0,541.6246489822703
6,48,7,webui,239.48461538461538,260.83525225833336,52.5,39.91902027585859,64.92653846153847,200.0,700.0,2.0,518.9464559223115
7,55,8,webui,268.7098765432099,257.311149945,65.5,33.49990603437277,64.832,200.0,700.0,3.0,507.34664472901005
8,62,9,webui,140.83333333333334,186.07109830000002,13.5,28.66025685559524,48.39076923076922,200.0,700.0,4.0,727.3643955258184
9,69,10,webui,172.1153846153846,264.07433549999996,26.5,44.46258935470583,56.084230769230764,200.0,700.0,5.0,621.1363089429921
10,76,11,webui,207.25,281.39360416666665,39.5,46.03002176568487,56.20076923076926,200.0,800.0,1.0,558.1994729166925
11,83,12,webui,238.43939393939394,270.21011589375,52.5,40.56478153872395,54.93115384615389,200.0,800.0,2.0,530.5547233705331
12,90,13,webui,135.82258064516128,275.845949325,13.5,40.454280519324506,39.96076923076923,200.0,800.0,3.0,4438.353677092138
13,97,14,webui,272.8333333333333,257.337958455,65.5,33.34118610848553,54.77846153846156,200.0,800.0,4.0,523.1999181389439
14,104,15,webui,140.83333333333334,181.60129225,13.5,24.59697910297966,42.97615384615385,200.0,800.0,5.0,712.7645467224547
15,111,16,webui,173.83333333333334,253.7560114125,26.5,43.881405772883085,49.957307692307694,200.0,900.0,1.0,627.7060882991902
16,118,17,webui,206.83333333333334,273.1117349416666,39.5,45.490505935490425,49.40256410256414,200.0,900.0,2.0,555.622315739794
17,125,18,webui,243.87037037037038,272.13213255,52.5,40.0148174300036,49.28346153846154,200.0,900.0,3.0,539.3200313085495
18,132,19,webui,275.3922155688623,254.946634995,65.5,33.06015775787383,49.0433846153846,200.0,900.0,4.0,527.3636168808742
19,139,20,webui,140.83333333333334,164.11529095,13.5,26.56264670798527,40.86307692307692,200.0,900.0,5.0,711.4990232640738
20,146,21,webui,172.1153846153846,247.3645054,26.5,43.33948883479304,44.88115384615384,200.0,1000.0,1.0,635.9143967408336
21,153,22,webui,208.3,272.0910466833333,39.5,46.538399812233116,44.560256410256436,200.0,1000.0,2.0,541.0861746005485
22,160,23,webui,242.52985074626866,267.0442195125,52.5,39.56371008797409,43.657307692307725,200.0,1000.0,3.0,524.0463571267445
23,167,24,webui,165.00819672131146,444.29269351249997,26.5,56.638093265534245,45.84538461538461,200.0,1000.0,4.0,2535.234847928748
24,174,25,webui,271.7878787878788,257.11765127499996,65.5,33.25407619001079,43.91446153846152,200.0,1000.0,5.0,517.2058663884349
25,181,26,webui,140.83333333333334,147.17361365,13.5,27.082934426099182,35.66692307692308,300.0,600.0,1.0,661.5914036227994
26,188,27,webui,175.52985074626866,232.31998445,26.5,43.52994836663572,40.58653846153846,300.0,600.0,2.0,611.1986161226953
27,195,28,webui,209.79601990049753,249.41533591818185,39.5,46.12314469997279,40.39897435897437,300.0,600.0,3.0,527.3732682664654
28,202,29,webui,242.43445692883896,252.22966617333336,52.5,39.39593577297224,39.75615384615384,300.0,600.0,4.0,511.31720800051176
29,209,30,webui,272.6595744680851,237.23244879473685,65.5,33.79794976536,39.55615384615387,300.0,600.0,5.0,509.48307983493686
30,216,31,webui,203.9222797927461,557.8304062909091,39.5,60.484216129111665,47.93794871794874,300.0,700.0,1.0,1770.568597650085
31,223,32,webui,228.67073170731706,663.1801414714286,52.5,60.4063326888648,48.10480769230768,300.0,700.0,2.0,1382.5337182646879
32,230,33,webui,263.6,790.2505465368421,65.5,61.42576599899509,48.868461538461574,300.0,700.0,3.0,1192.509592948809
33,237,34,webui,133.16666666666666,246.08076217500002,13.5,41.188433490636655,37.52538461538461,300.0,700.0,4.0,4879.439591078067
34,244,35,webui,169.66929133858267,417.9204112857143,26.5,56.59923222789787,42.34153846153846,300.0,700.0,5.0,2703.6652299230504
35,251,36,webui,200.92592592592592,552.5456274818181,39.5,60.15532356029154,43.010256410256424,300.0,800.0,1.0,1729.8296905878537
36,258,37,webui,231.452,730.7554811000001,52.5,59.34316149247957,42.858461538461555,300.0,800.0,2.0,1308.9950784900454
37,265,38,webui,159.39655172413794,468.55998376250005,26.5,58.76729861332948,62.355000000000004,300.0,800.0,3.0,2985.2671207882254
38,272,39,webui,266.04088050314465,848.8197264666667,65.5,59.207786260009435,42.399846153846156,300.0,800.0,4.0,1083.2147095212122
39,279,40,webui,134.40677966101694,284.63782883333334,13.5,39.56495657034273,31.860769230769225,300.0,800.0,5.0,5023.221523809523
40,286,41,webui,165.36363636363637,459.7232116571428,26.5,55.61538232081641,37.480769230769255,300.0,900.0,1.0,2824.741350081983
41,293,42,webui,201.05882352941177,594.0375470999999,39.5,58.427704241564676,38.73256410256411,300.0,900.0,2.0,1827.9706463847644
42,300,43,webui,231.30645161290323,717.2234395583333,52.5,58.441457812587274,39.60519230769233,300.0,900.0,3.0,1373.399117116547
43,307,44,webui,262.95819935691316,803.1988035733333,65.5,58.766023109036475,39.17415384615387,300.0,900.0,4.0,1117.9279408840878
44,314,45,webui,139.55555555555554,216.30259693333332,13.5,33.33997259001333,55.07230769230769,300.0,900.0,5.0,1868.5121471278287
45,321,46,webui,172.78125,376.4037735,26.5,47.38680129624551,64.5242307692308,300.0,1000.0,1.0,1425.5123009508534
46,328,47,webui,205.35714285714286,511.1911656583332,39.5,53.07269940814704,64.69897435897435,300.0,1000.0,2.0,1003.2935758001236
47,335,48,webui,235.74806201550388,574.95916761875,52.5,55.73724246734496,64.77807692307688,300.0,1000.0,3.0,800.2394453323953
48,342,49,webui,200.8684210526316,616.3440209833333,39.5,60.6140268038853,63.54974358974357,300.0,1000.0,4.0,2047.6599886182828
49,349,50,webui,268.9691358024691,614.1314004449999,65.5,55.445719927839455,64.77507692307692,300.0,1000.0,5.0,698.4329917370728
50,356,51,webui,132.7741935483871,253.35677725,13.5,34.20511803553202,48.67846153846154,400.0,600.0,1.0,1749.1132142603005
51,363,52,webui,172.1153846153846,405.47608408749994,26.5,51.8276950694145,54.4423076923077,400.0,600.0,2.0,1368.7720432182134
52,370,53,webui,203.87113402061857,511.5459461666667,39.5,54.65315047150678,55.30205128205131,400.0,600.0,3.0,1017.8279421055654
53,377,54,webui,235.74806201550388,579.56791418125,52.5,55.77944304002018,54.694615384615425,400.0,600.0,4.0,814.9438511928417
54,384,55,webui,266.6375,616.9078291750001,65.5,53.68896555080078,54.10599999999999,400.0,600.0,5.0,698.6230758302177
55,391,56,webui,135.82258064516128,246.414781,13.5,34.59552345043301,44.22923076923077,400.0,700.0,1.0,1878.9403947471887
56,398,57,webui,168.61111111111111,406.2117471375,26.5,52.69976338304593,48.965384615384615,400.0,700.0,2.0,1400.391590824857
57,405,58,webui,201.9375,501.8352988916667,39.5,54.54395251008509,50.02051282051285,400.0,700.0,3.0,1044.8329633115643
58,412,59,webui,238.4770992366412,569.58802025,52.5,56.382400708515554,50.160192307692306,400.0,700.0,4.0,810.0563875305623
59,419,60,webui,238.4770992366412,730.6388471375001,52.5,61.4521697226075,63.05057692307692,400.0,700.0,5.0,1497.8610943689912
60,426,61,webui,271.5487804878049,607.9271781850001,65.5,55.345330042043955,49.45338461538459,400.0,800.0,1.0,704.9511284789062
61,433,62,webui,138.375,231.69810877499998,13.5,35.00959871359916,38.73384615384616,400.0,800.0,2.0,1886.0588150289018
62,440,63,webui,168.61111111111111,385.69576762500003,26.5,51.94503577866116,45.95346153846154,400.0,800.0,3.0,1449.6724417513014
63,447,64,webui,203.87113402061857,500.62160908333334,39.5,55.01063554223885,44.70589743589744,400.0,800.0,4.0,1048.5931362743136
64,454,65,webui,239.83333333333334,566.58051611875,52.5,55.86440734618803,44.55153846153848,400.0,800.0,5.0,842.3324946249443
65,461,66,webui,268.7987616099071,599.7982503210525,65.5,54.87585710277154,44.706461538461525,400.0,900.0,1.0,753.6442506839277
66,468,67,webui,135.82258064516128,217.23891575,13.5,33.57730362160793,34.206923076923076,400.0,900.0,2.0,1829.9492461069456
67,475,68,webui,168.61111111111111,374.44578594999996,26.5,50.9270844177539,38.68961538461539,400.0,900.0,3.0,1329.830721887766
68,482,69,webui,206.92857142857142,475.75110445000007,39.5,54.88632203726799,39.28025641025641,400.0,900.0,4.0,978.7375584502339
69,489,70,webui,235.74806201550388,571.4222497,52.5,54.9592448992877,39.308653846153845,400.0,900.0,5.0,813.6060747014494
70,496,71,webui,263.76582278481015,820.9731988700001,65.5,60.23751458748117,62.761230769230764,400.0,1000.0,1.0,1182.6032796286672
71,503,72,webui,265.87697160883283,612.0864574764705,65.5,54.60375450349578,39.47399999999997,400.0,1000.0,2.0,707.8772315197739
72,510,73,webui,138.375,188.313229975,13.5,31.685090694308258,57.840769230769226,400.0,1000.0,3.0,1108.3338968337368
73,517,74,webui,171.05555555555554,332.04286283333334,26.5,46.908681424410176,65.37653846153844,400.0,1000.0,4.0,970.4142967527939
74,524,75,webui,203.97916666666666,388.01684968000006,39.5,51.585456753653105,64.54179487179485,400.0,1000.0,5.0,771.3380082042911
75,531,76,webui,241.0,417.8125899214286,52.5,51.84072683731915,64.82634615384615,500.0,600.0,1.0,686.9360667796719
76,538,77,webui,267.17241379310343,432.85127018235295,65.5,47.79662505902296,64.2050769230769,500.0,600.0,2.0,639.3538679486641
77,545,78,webui,141.98461538461538,221.31106056666667,13.5,31.586514236451137,46.575384615384614,500.0,600.0,3.0,1220.07496382055
78,552,79,webui,171.7265625,335.7067293833333,26.5,47.751223444583054,54.848076923076945,500.0,600.0,4.0,978.7829445956883
79,559,80,webui,206.87817258883248,433.3276686454546,39.5,52.39329495221976,54.9092307692308,500.0,600.0,5.0,746.5837213419127
80,566,81,webui,235.49803921568628,455.4520323692308,52.5,52.571509437192304,54.92730769230774,500.0,700.0,1.0,651.9554157748732
81,573,82,webui,134.80645161290323,272.387815575,13.5,38.837682563047345,44.01384615384616,500.0,700.0,2.0,4613.231853281854
82,580,83,webui,273.59574468085106,431.6947995823529,65.5,47.82535287846632,54.4709230769231,500.0,700.0,3.0,617.521671070086
83,587,84,webui,138.375,169.543000025,13.5,31.219167175724433,44.063846153846164,500.0,700.0,4.0,1124.7650827778973
84,594,85,webui,169.30645161290323,328.83127026666665,26.5,47.70027040788328,48.944615384615375,500.0,700.0,5.0,946.2218431276212
85,601,86,webui,206.92857142857142,397.86417507000004,39.5,49.97655807474429,48.7369230769231,500.0,800.0,1.0,737.0322707723299
86,608,87,webui,240.82824427480915,434.79051723333333,52.5,50.93005124869456,48.449038461538436,500.0,800.0,2.0,632.5686716009386
