,timestamp,Iteration,container_cpu_usage_seconds_total,container_memory_usage_bytes,kube_deployment_spec_replicas,kube_pod_container_resource_limits_cpu_cores,kube_pod_container_resource_limits_memory_bytes,kube_pod_container_resource_requests_cpu_cores,kube_pod_container_resource_requests_memory_bytes,response_latency_ms_count,response_latency_ms_sum,datapoints,CPU usage [%],Memory usage [%],Response time [ms]
30,2021-02-01 20:19:38.582000128,2,3.047754,7221248.0,1.0,0.5,524288000.0,0.1,209715200.0,2144.6666666666665,78.0,4,609.5508,1.3773437499999999,0.036369288156667706
31,2021-02-01 20:19:46.431000064,2,2.988393775,6835200.0,1.0,0.5,524288000.0,0.1,209715200.0,2145.0,78.0,5,597.678755,1.3037109375,0.03636363636363636
32,2021-02-01 20:19:54.041999872,2,2.9290335499999998,6449152.0,1.0,0.5,524288000.0,0.1,209715200.0,2145.5,78.0,6,585.80671,1.230078125,0.03635516196690748
33,2021-02-01 20:19:56.431000064,2,2.869673325,6063104.0,1.0,0.5,524288000.0,0.1,209715200.0,2146.0,78.0,7,573.934665,1.1564453125,0.036346691519105315
34,2021-02-01 20:20:05.761999872,2,2.8103131,5677056.0,1.0,0.5,524288000.0,0.1,209715200.0,2146.5,78.0,8,562.06262,1.0828125,0.0363382250174703
35,2021-02-01 20:20:06.431000064,2,2.93078725,6449152.0,1.0,0.5,524288000.0,0.1,209715200.0,2147.0,78.0,9,586.1574499999999,1.230078125,0.036329762459245456
36,2021-02-01 20:20:08.432000000,2,3.0512614,7221248.0,1.0,0.5,524288000.0,0.1,209715200.0,2147.3333333333335,78.0,10,610.25228,1.3773437499999999,0.03632412294318534
37,2021-02-01 20:20:10.052999936,2,0.1176187,1409024.0,1.0,0.5,524288000.0,0.1,209715200.0,2147.6666666666665,78.0,11,23.52374,0.26875,0.036318485177712245
38,2021-02-01 20:20:16.431000064,2,0.7916928249999999,2476032.0,1.0,0.5,524288000.0,0.1,209715200.0,2148.0,78.0,12,158.338565,0.472265625,0.036312849162011177
39,2021-02-01 20:20:24.041999872,2,1.46576695,3543040.0,1.0,0.5,524288000.0,0.1,209715200.0,2148.5,78.0,13,293.15339,0.67578125,0.036304398417500584
40,2021-02-01 20:20:26.431000064,2,2.139841075,4610048.0,1.0,0.5,524288000.0,0.1,209715200.0,2149.0,78.0,14,427.96821500000004,0.879296875,0.03629595160539786
41,2021-02-01 20:20:35.460999936,2,2.8139152,5677056.0,1.0,0.5,524288000.0,0.1,209715200.0,2149.3333333333335,78.0,15,562.7830399999999,1.0828125,0.03629032258064516
42,2021-02-01 20:20:36.347000064,2,0.1176187,1409024.0,1.0,0.5,524288000.0,0.1,209715200.0,2149.6666666666665,78.0,16,23.52374,0.26875,0.03628469530159715
43,2021-02-01 20:20:36.431000064,2,1.58621785,4315136.0,1.0,0.5,524288000.0,0.1,209715200.0,2150.0,78.0,17,317.24357,0.8230468750000001,0.03627906976744186
44,2021-02-01 20:20:39.312999936,2,3.054817,7221248.0,1.0,0.5,524288000.0,0.1,209715200.0,2150.5,78.0,18,610.9634,1.3773437499999999,0.03627063473610788
45,2021-02-01 20:20:46.431000064,2,2.320517425,5768192.0,1.0,0.5,524288000.0,0.1,209715200.0,2151.0,78.0,19,464.103485,1.1001953125,0.03626220362622036
46,2021-02-01 20:20:54.041999872,2,1.58621785,4315136.0,1.0,0.5,524288000.0,0.1,209715200.0,2151.5,78.0,20,317.24357,0.8230468750000001,0.03625377643504532
47,2021-02-01 20:20:56.431000064,2,0.8519182750000001,2862080.0,1.0,0.5,524288000.0,0.1,209715200.0,2152.0,78.0,21,170.383655,0.5458984375,0.0362453531598513
48,2021-02-01 20:21:06.303000064,2,0.1176187,1409024.0,1.0,0.5,524288000.0,0.1,209715200.0,2152.5,78.0,22,23.52374,0.26875,0.03623693379790941
