Iteration,CPU usage [%],Memory usage [%],Average response time [ms],Failures [%],Number of pods,CPU limit,Memory limit,Given CPU limit,Given memory limit
1,0.0,0.0,9.99999999989086,0.0,1,200.0,100.0,200,200
2,0.0,0.0,3.210526315725522,0.0,2,200.0,100.0,200,200
