metric,response time exceeded,response time valid,cpu in threshold,cpu out of threshold,memory in threshold,memory out of threshold,average cpu limit,average memory limit,average pods,metric 50/50,median response time,average cpu usage,average memory usage
timestamp,23,38,11,49,14,47,663.5,548.5,2.65,138.7,904.3083333333332,51.54819819049309,56.035437158469946
cpu,22,38,11,49,14,46,663.5,548.5,2.65,136.875,904.3083333333332,51.54819819049309,56.035437158469946
latency95,23,38,11,49,14,47,663.5,548.5,2.65,138.7,904.3083333333332,51.54819819049309,56.035437158469946
median_latency,23,38,11,49,14,47,663.5,548.5,2.65,138.7,904.3083333333332,51.54819819049309,56.035437158469946
memory,23,38,11,49,14,47,663.5,548.5,2.65,138.7,904.3083333333332,51.54819819049309,56.035437158469946
response_time,23,38,11,49,14,47,663.5,548.5,2.65,138.7,904.3083333333332,51.54819819049309,56.035437158469946
rps,23,38,11,49,14,47,663.5,548.5,2.65,138.7,904.3083333333332,51.54819819049309,56.035437158469946
