,run,Unnamed: 0,index,Iteration,pod,datapoint_x,cpu throttled total,datapoint_y,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
0,1,0,6,1,webui,95.7,311.931929375,13.5,29.80567579315079,55.99000000000001,200.0,600.0,1.0,4789.543048758383
1,1,1,13,2,webui,252.76323987538944,791.2152747235294,65.5,60.68515890129946,53.86323076923084,200.0,600.0,2.0,1127.1267668098735
2,1,2,20,3,webui,262.7814371257485,328.959018445,65.5,39.4212952534699,39.42230769230765,200.0,600.0,3.0,511.7749087142574
3,1,3,27,4,webui,128.28787878787878,165.03472595,13.5,23.878588726199084,60.53923076923077,200.0,600.0,4.0,704.7635494297086
4,1,4,34,5,webui,158.0,243.06078012500004,26.5,43.73263310381104,66.51461538461538,200.0,600.0,5.0,615.6313483644384
5,1,5,41,6,webui,195.7,271.52359434166664,39.5,46.07434380251996,65.54897435897442,200.0,700.0,1.0,540.1373669583728
6,1,6,48,7,webui,228.59774436090223,269.0972226,52.5,40.58936014780944,65.2913461538461,200.0,700.0,2.0,524.6207624694649
7,1,7,55,8,webui,262.7814371257485,265.591813705,65.5,34.962765392441284,65.96400000000004,200.0,700.0,3.0,516.9260179924242
8,1,8,62,9,webui,128.28787878787878,162.632067325,13.5,24.26626352441737,49.47692307692307,200.0,700.0,4.0,703.8222323600974
9,1,9,69,10,webui,163.1203007518797,270.1950790285714,26.5,43.75394973078082,54.812692307692295,200.0,700.0,5.0,609.1562480291259
10,1,10,76,11,webui,195.7,269.2629587166667,39.5,46.391443782723584,55.858461538461526,200.0,800.0,1.0,532.7931478649228
11,1,11,83,12,webui,225.9732824427481,265.94088080625,52.5,40.30256588721021,55.74173076923081,200.0,800.0,2.0,503.6931076574109
12,1,12,90,13,webui,124.63934426229508,268.55959920000004,13.5,37.54919824636078,38.035384615384615,200.0,800.0,3.0,5386.049939831529
13,1,13,97,14,webui,260.83734939759034,256.41037939,65.5,34.114076603335825,55.414923076923145,200.0,800.0,4.0,496.93143560730766
14,1,14,104,15,webui,127.32352941176472,157.279895125,13.5,27.37555806826132,43.58307692307691,200.0,800.0,5.0,710.7761500838787
15,1,15,111,16,webui,161.28787878787878,236.99977155,26.5,45.0190047160989,50.44038461538464,200.0,900.0,1.0,585.7793852424691
16,1,16,118,17,webui,194.2878787878788,260.29471141666664,39.5,45.62528943896694,49.76615384615383,200.0,900.0,2.0,520.6368649794696
17,1,17,125,18,webui,229.90298507462688,262.36647359375,52.5,40.44656618501017,49.67134615384613,200.0,900.0,3.0,501.5711916920076
18,1,18,132,19,webui,262.56756756756755,249.4217159052632,65.5,33.64322821420575,49.44323076923077,200.0,900.0,4.0,491.8490954610956
19,1,19,139,20,webui,128.28787878787878,151.902312375,13.5,26.13625842758092,39.74615384615384,200.0,900.0,5.0,672.9422782394738
20,1,20,146,21,webui,162.90298507462686,237.7549062625,26.5,44.0779337376075,45.7726923076923,200.0,1000.0,1.0,588.7899054803338
21,1,21,153,22,webui,196.72727272727272,265.3732427416668,39.5,46.10409756767476,45.46051282051281,200.0,1000.0,2.0,521.1657014184702
22,1,22,160,23,webui,234.687969924812,265.4781050625,52.5,40.83707243642214,44.77461538461538,200.0,1000.0,3.0,505.2479628536362
23,1,23,167,24,webui,149.39830508474577,413.87466135,26.5,56.61186726589346,46.40115384615386,200.0,1000.0,4.0,2868.302053107035
24,1,24,174,25,webui,269.83734939759034,269.49353682777775,65.5,34.721886216300696,44.066769230769225,200.0,1000.0,5.0,503.39681589569193
25,1,25,181,26,webui,141.98461538461538,185.6129538333333,13.5,26.674827109916254,35.13153846153846,300.0,600.0,1.0,706.1178065215707
26,1,26,188,27,webui,175.8421052631579,271.6354835428571,26.5,43.86276111079599,41.45076923076925,300.0,600.0,2.0,617.0271344932208
27,1,27,195,28,webui,208.3417085427136,282.50170263636363,39.5,45.59740317453607,40.84666666666668,300.0,600.0,3.0,531.2417782353957
28,1,28,202,29,webui,240.9125475285171,253.48432193076923,52.5,41.19918535879696,40.485961538461545,300.0,600.0,4.0,515.739265053047
29,1,29,209,30,webui,267.7037037037037,258.34092715625,65.5,34.24119068794733,40.01661538461534,300.0,600.0,5.0,509.93707128881294
30,1,30,216,31,webui,189.984126984127,601.3590624777777,39.5,58.29460394765983,46.65717948717949,300.0,700.0,1.0,1921.9567759248607
31,1,31,223,32,webui,225.43798449612405,705.8829140916667,52.5,58.71890878461988,48.02846153846152,300.0,700.0,2.0,1457.8704025328425
32,1,32,230,33,webui,252.984126984127,807.7565322999999,65.5,59.82724228522691,47.53323076923076,300.0,700.0,3.0,1206.0427493165555
33,1,33,237,34,webui,118.60344827586206,326.1169115,13.5,40.16888923893937,36.72923076923076,300.0,700.0,4.0,4767.73185582075
34,1,34,244,35,webui,149.39830508474577,479.4261035125,26.5,56.64020494853038,44.05192307692308,300.0,700.0,5.0,2655.9592359780936
35,1,35,251,36,webui,184.15217391304347,637.3002375333333,39.5,58.59054647512573,43.62025641025642,300.0,800.0,1.0,1866.4242105926596
36,1,36,258,37,webui,220.66535433070865,760.28724234375,52.5,62.60966812137123,43.470961538461545,300.0,800.0,2.0,1534.718191980966
37,1,37,265,38,webui,147.352,515.8441764428572,26.5,54.025104298136846,61.57230769230769,300.0,800.0,3.0,2620.6143570892336
38,1,38,272,39,webui,251.4620253164557,869.8005998849998,65.5,64.14580546257676,43.33876923076927,300.0,800.0,4.0,1301.3081528263683
39,1,39,279,40,webui,118.60344827586206,292.3684148,13.5,39.1178172402352,32.93538461538462,300.0,800.0,5.0,5897.653846153846
40,1,40,286,41,webui,151.16666666666666,471.2067462625,26.5,56.54688867965672,38.02115384615383,300.0,900.0,1.0,2932.989863479229
41,1,41,293,42,webui,185.6290322580645,616.0777476416666,39.5,60.27195957571004,38.63897435897436,300.0,900.0,2.0,1934.648221301213
42,1,42,300,43,webui,224.65384615384616,728.192560875,52.5,59.66257133917463,38.92173076923075,300.0,900.0,3.0,1469.7601776419351
43,1,43,307,44,webui,250.4171974522293,817.9937965900001,65.5,60.743380607709234,39.27061538461536,300.0,900.0,4.0,1173.3820450570938
44,1,44,314,45,webui,126.0,219.165781825,13.5,33.62427413070132,54.334615384615375,300.0,900.0,5.0,1984.8766261015528
45,1,45,321,46,webui,156.32539682539684,393.283119275,26.5,51.22913652584944,63.45192307692308,300.0,1000.0,1.0,1454.7204336671357
46,1,46,328,47,webui,188.55263157894737,506.0400822416666,39.5,55.44708380067397,63.207948717948696,300.0,1000.0,2.0,1051.1366660506376
47,1,47,335,48,webui,223.3294573643411,577.6754967249999,52.5,55.11682701608371,63.00019230769233,300.0,1000.0,3.0,850.7713025383842
48,1,48,342,49,webui,182.44973544973544,644.6729498090908,39.5,59.61155257760418,63.77282051282051,300.0,1000.0,4.0,1821.2948472288756
49,1,49,349,50,webui,252.96875,617.36473582,65.5,55.48526386913464,62.55400000000003,300.0,1000.0,5.0,736.6769753361856
50,1,50,356,51,webui,119.83333333333331,218.156826575,13.5,32.365916140629075,45.54076923076923,400.0,600.0,1.0,1892.4329130000908
51,1,51,363,52,webui,159.65384615384616,383.5912493375,26.5,52.73370689284924,55.17423076923079,400.0,600.0,2.0,1458.733464927741
52,1,52,370,53,webui,188.55263157894737,504.2875964583333,39.5,55.447203525397306,55.07974358974359,400.0,600.0,3.0,1048.1317900194124
53,1,53,377,54,webui,222.0,576.0943397812498,52.5,55.890924658796045,54.4553846153846,400.0,600.0,4.0,832.6646073457366
54,1,54,384,55,webui,253.58805031446545,639.0151518222223,65.5,55.72592609540768,54.774307692307694,400.0,600.0,5.0,730.1551647831593
55,1,55,391,56,webui,126.0,214.42342275,13.5,34.23379034406227,44.13307692307693,400.0,700.0,1.0,1901.287107164621
56,1,56,398,57,webui,161.5114503816794,358.1663924428571,26.5,51.421037964944695,50.71538461538462,400.0,700.0,2.0,1479.7464936623417
57,1,57,405,58,webui,188.54497354497357,495.76294058181816,39.5,54.4812674048125,49.206666666666685,400.0,700.0,3.0,1060.0731333890078
58,1,58,412,59,webui,219.195219123506,538.0715866266668,52.5,55.90510120781629,48.74326923076928,400.0,700.0,4.0,837.5195263820707
59,1,59,419,60,webui,218.5625,673.3321955428571,52.5,59.4406465763676,63.51480769230772,400.0,700.0,5.0,1391.47574290166
60,1,60,426,61,webui,253.79310344827587,603.847558231579,65.5,55.59244604352465,48.46230769230771,400.0,800.0,1.0,721.8552984287066
61,1,61,433,62,webui,126.0,200.189521475,13.5,34.2844571356107,39.15076923076924,400.0,800.0,2.0,1743.098734177215
62,1,62,440,63,webui,156.32539682539684,359.88779288750004,26.5,52.06176145072678,45.45346153846154,400.0,800.0,3.0,1445.526601374417
63,1,63,447,64,webui,191.79166666666663,528.0268401400001,39.5,54.089782048686594,43.815897435897455,400.0,800.0,4.0,995.7039616602148
64,1,64,454,65,webui,225.5675675675676,596.9910633999999,52.5,55.115377646627735,44.21673076923079,400.0,800.0,5.0,829.85975321829
65,1,65,461,66,webui,253.38485804416405,648.7185870235294,65.5,55.82944043440134,43.73892307692304,400.0,900.0,1.0,728.0286454568949
66,1,66,468,67,webui,124.63934426229508,222.21292146666667,13.5,30.89275700111172,33.385384615384616,400.0,900.0,2.0,1793.5106870229006
67,1,67,475,68,webui,156.568,384.06547951428576,26.5,49.38297296401782,36.78500000000001,400.0,900.0,3.0,1365.3524009587677
68,1,68,482,69,webui,191.41666666666663,449.4562445600001,39.5,52.11996591200759,38.01641025641028,400.0,900.0,4.0,1018.6435319973266
69,1,69,489,70,webui,222.8070866141732,565.2686466166666,52.5,55.22086165956031,37.816538461538464,400.0,900.0,5.0,799.2125071484877
70,1,70,496,71,webui,249.96540880503144,808.7547894333334,65.5,59.27909437574874,62.807538461538485,400.0,1000.0,1.0,1113.9710205175425
71,1,71,503,72,webui,254.4433962264151,574.8283998687501,65.5,55.04568186802399,38.60815384615384,400.0,1000.0,2.0,700.5477358628488
72,1,72,510,73,webui,126.0,226.36238445,13.5,29.170861602571943,57.37153846153846,400.0,1000.0,3.0,1124.8919130685802
73,1,73,517,74,webui,161.28787878787878,354.9207845625,26.5,46.679788290160985,63.11653846153844,400.0,1000.0,4.0,972.1823842504126
74,1,74,524,75,webui,191.4381443298969,435.66681491666674,39.5,50.91426980973058,63.74051282051281,400.0,1000.0,5.0,777.3278911738845
75,1,75,531,76,webui,225.9732824427481,453.49144694375,52.5,52.34142076048621,63.675192307692335,500.0,600.0,1.0,658.6093405801316
76,1,76,538,77,webui,260.2878787878788,461.53057057000007,65.5,49.42658256414617,63.582615384615366,500.0,600.0,2.0,616.7381309490519
77,1,77,545,78,webui,128.28787878787878,221.21889605,13.5,25.97093688246406,47.18615384615385,500.0,600.0,3.0,1102.126185326901
78,1,78,552,79,webui,154.90625,347.4282491874999,26.5,48.32199032875143,58.10192307692306,500.0,600.0,4.0,954.1102950052464
79,1,79,559,80,webui,195.7,427.3386435583334,39.5,51.45383697865235,56.3728205128205,500.0,600.0,5.0,744.9947826947011
80,1,80,566,81,webui,223.3294573643411,448.717797375,52.5,51.54783979122499,56.00788461538467,500.0,700.0,1.0,631.1595645002293
81,1,81,573,82,webui,118.60344827586206,241.964625,13.5,38.5570518024712,45.628461538461536,500.0,700.0,2.0,4851.046430237985
82,1,82,580,83,webui,256.74691358024694,458.4865291699999,65.5,48.23033137014595,55.36999999999996,500.0,700.0,3.0,595.2249794006044
83,1,83,587,84,webui,123.62903225806453,204.894841525,13.5,30.058274992054592,43.05307692307692,500.0,700.0,4.0,1094.0515025653556
84,1,84,594,85,webui,159.65384615384616,348.29727202500004,26.5,49.03121326577653,49.115769230769246,500.0,700.0,5.0,923.6137028036068
85,1,85,601,86,webui,191.4381443298969,423.15516177500007,39.5,52.120408990154615,49.22076923076923,500.0,800.0,1.0,715.9779676026862
86,1,86,608,87,webui,224.65384615384616,447.58168750625,52.5,51.59064316226582,49.09346153846151,500.0,800.0,2.0,615.6227487005923
87,1,87,615,88,webui,260.2878787878788,450.87852991,65.5,48.72190926954345,49.080153846153856,500.0,800.0,3.0,583.7799266613191
88,1,88,622,89,webui,126.0,217.377185,13.5,32.39783973779442,39.44153846153846,500.0,800.0,4.0,1450.964171853651
89,1,89,629,90,webui,159.65384615384616,355.2182485875,26.5,48.12873182497447,44.325769230769225,500.0,800.0,5.0,1110.1129384353817
90,1,90,636,91,webui,194.2878787878788,430.5256682,39.5,51.34675164725967,43.93205128205128,500.0,900.0,1.0,822.9347271000573
91,1,91,643,92,webui,227.54887218045116,449.5373732125001,52.5,52.237043148877504,43.42596153846153,500.0,900.0,2.0,673.2696033186414
92,1,92,650,93,webui,149.66666666666666,422.6188471,26.5,57.030162833199626,53.01961538461541,500.0,900.0,3.0,2602.872083433102
93,1,93,657,94,webui,258.39156626506025,460.010185455,65.5,48.90202721637499,43.13338461538463,500.0,900.0,4.0,623.1102536442343
94,1,94,664,95,webui,126.984126984127,233.13819366666667,13.5,29.558872541380328,35.0253846153846,500.0,900.0,5.0,1116.2773555574747
95,1,95,671,96,webui,159.65384615384616,336.0814132375,26.5,48.47320049395119,38.669230769230765,500.0,1000.0,1.0,962.0673686138068
96,1,96,678,97,webui,192.8673469387755,414.245848075,39.5,51.65369941936132,38.18256410256412,500.0,1000.0,2.0,742.1353889203884
97,1,97,685,98,webui,225.7,419.0898985,52.5,52.1590379644922,39.06211538461537,500.0,1000.0,3.0,633.8021403835485
98,1,98,692,99,webui,260.0759878419453,467.5001524368421,65.5,48.438726285003725,39.21384615384615,500.0,1000.0,4.0,586.8387706484464
99,1,99,699,100,webui,128.12698412698413,189.7155283333333,13.5,28.00820511516869,57.54153846153846,500.0,1000.0,5.0,712.140379579871
100,1,100,706,101,webui,163.1203007518797,269.4603002142857,26.5,45.41493381129927,63.26692307692311,600.0,600.0,1.0,707.4775527027837
101,1,101,713,102,webui,195.7,328.4057869666667,39.5,49.04942122719365,65.17589743589741,600.0,600.0,2.0,598.2732309209331
102,1,102,720,103,webui,223.1945525291829,364.24943636,52.5,47.764811516411626,63.71730769230771,600.0,600.0,3.0,549.3125054887151
103,1,103,727,104,webui,191.42487046632124,556.2927085272727,39.5,59.68532070783025,53.36717948717948,600.0,600.0,4.0,1751.4476547659638
104,1,104,734,105,webui,259.65749235474004,357.5424235705882,65.5,40.710949890919125,62.77061538461537,600.0,600.0,5.0,530.6090217995593
105,1,105,741,106,webui,128.28787878787878,144.956807125,13.5,27.99805795040331,47.691538461538464,600.0,700.0,1.0,889.7689505580025
106,1,106,748,107,webui,161.28787878787878,266.45976205000005,26.5,45.59994447001021,54.436923076923065,600.0,700.0,2.0,752.7007698339155
107,1,107,755,108,webui,191.06770833333331,351.40622407000006,39.5,48.883145541614695,53.91897435897432,600.0,700.0,3.0,598.7993045646147
108,1,108,762,109,webui,225.5675675675676,336.3739685846154,52.5,45.92629855825056,53.33923076923078,600.0,700.0,4.0,543.9869967491873
109,1,109,769,110,webui,256.2760736196319,337.59112155,65.5,39.76706966758111,53.43415384615384,600.0,700.0,5.0,527.6834333286464
110,1,110,776,111,webui,128.28787878787878,137.37593245,13.5,28.23709936252589,44.49923076923077,600.0,800.0,1.0,871.5340481502449
111,1,111,783,112,webui,163.34848484848484,293.52298041666666,26.5,44.760142055924725,52.15307692307693,600.0,800.0,2.0,749.4877026532415
112,1,112,790,113,webui,197.04522613065328,336.1871315222222,39.5,47.89497314598854,51.12384615384615,600.0,800.0,3.0,605.1942931275275
