Iteration,pod,Unnamed: 0,run,Unnamed: 0.1,cpu throttled total,cpu usage,latency95,median latency,memory usage,average response time,average rps,cpu limit,memory limit,number of pods,RPS,rps delta,ratio response time,ratio cpu usage,ratio memory usage
27,webui,26,8,26,192.26764513333333,52.75149260434284,5153.333333333332,146.70068027210888,81.00857142857141,2745.4662919181405,11.22863715600263,350.0,400.0,2.0,10.0,0.0371617617748059,128.6764896127914,46.79810986756699,74.51366326530612
28,webui,27,8,27,212.75942601666665,38.72372823699144,2718.3944193425496,80.96325301770348,82.69190476190475,1761.9287119546548,10.800030016428869,350.0,400.0,3.0,10.0,0.0585770263005724,71.47782904858406,36.08835059788333,78.13048577393207
29,webui,28,8,28,228.1032517833333,30.683211057849828,3263.2584466509425,64.98105264989456,84.52464285714288,1386.2734123530397,10.671382861713829,350.0,400.0,4.0,10.0,-0.0284930669541713,65.73431738131372,28.18477273837897,82.0843989925649
30,webui,29,8,29,233.6634262125,25.48430022616669,1939.302385987296,53.830193098325246,85.35085714285717,1148.2125297581042,11.357410197004324,350.0,400.0,5.0,10.0,0.0502975919076872,49.4250188754281,22.8241881133228,77.39391018129707
31,webui,30,8,30,142.1889922,70.71595649322434,13008.14099142866,1568.0136150614092,67.78571428571428,3220.5264791224777,10.65,350.0,450.0,1.0,10.0,-0.0434609136169131,1181.2369233462616,75.26481192965555,62.48989279962088
32,webui,31,8,31,205.74247325,48.72589462364928,5436.756944444443,184.8562668887872,74.07285714285716,2665.469707203072,9.842857142857143,350.0,450.0,2.0,10.0,-0.0742087407691558,187.76115108275383,49.45585461129373,78.72919321290794
33,webui,32,8,32,226.28742401666668,35.20024773953168,3338.1933974567705,84.97060508356641,76.24809523809525,1891.3186236693696,11.128715895608805,350.0,450.0,3.0,10.0,0.0928200220478617,78.79271086021247,33.079352414077555,67.9598760816545
34,webui,33,8,33,226.09638715,30.48567419022513,2720.491671539144,53.96270500584744,75.80249999999998,1441.1422767275055,11.35725064044827,350.0,450.0,4.0,10.0,0.122727128523709,54.913394328855695,30.065861590270124,66.48870965433146
35,webui,34,8,34,234.82382922,25.968050619425405,1683.5440261406025,53.71009111050687,75.8474285714286,1193.396675412697,11.45701599011996,350.0,450.0,5.0,10.0,0.0971248438505453,56.50168068714925,25.808609012363146,76.50011580366251
36,webui,35,8,35,147.96703685,69.44333992747356,13375.88687628161,1568.0136150614092,61.54285714285714,3107.084449519461,10.9,350.0,500.0,1.0,10.0,-0.0266523206318694,1411.2122535552685,69.81208323025032,58.344566666666665
37,webui,36,8,36,205.9166290333333,49.06740081784495,5054.16475340136,162.52943316692037,66.53142857142856,2754.008644866141,9.72857142857143,350.0,500.0,2.0,10.0,-0.0485705693428485,150.46878317591177,50.94757155007144,70.43023820582482
38,webui,37,8,37,220.17264932,37.79622325346443,4501.0335261088985,86.62655051479598,67.70190476190477,2038.4721668917268,11.185738583285955,350.0,500.0,3.0,10.0,0.0172611255734917,81.29637559558394,39.337283190923735,62.95565620843986
39,webui,38,8,38,219.0367555125,28.647098169409773,2235.3850696308505,56.30006521802632,67.89357142857146,1541.2721645452625,11.257084322142273,350.0,500.0,4.0,10.0,0.096222620178103,49.22267228590949,26.919640450821536,60.53883481279755
40,webui,39,8,39,224.15095151428568,26.420261354835016,2116.796956910044,51.09799437435615,68.42114285714285,1239.2880645962648,11.442838589285529,350.0,500.0,5.0,10.0,0.0937052618217463,43.83952439357332,23.39500111289488,61.16965490749122
41,webui,40,8,40,150.49284735,67.72522896877358,10451.923076923076,1568.0136150614092,55.2,3637.876021371363,11.083333333333334,350.0,550.0,1.0,10.0,-0.0666666666666666,1398.1454734297563,69.33298173318792,55.032058204580245
42,webui,41,8,41,217.46728056666663,51.19149348253441,5182.382027879003,161.57064659521458,59.16785714285714,2174.174271290994,10.099878604427358,350.0,550.0,2.0,10.0,0.0,165.47349735674084,48.35226148183151,58.95774799659636
43,webui,42,8,42,214.82191515,38.40297546618946,4010.14107142857,72.53920289834346,62.26428571428571,1526.7946637152156,11.542806148211096,350.0,550.0,3.0,10.0,-0.1287902779490684,88.14414196914198,36.23055215829576,70.66627741003894
44,webui,43,8,43,233.34678282857143,29.29059631148069,1879.1612382227693,58.77295178220964,62.23107142857141,1248.9837971407433,11.171428571428573,350.0,550.0,4.0,10.0,0.0717474511232566,54.86665803050405,27.347731333413183,65.42833576499494
45,webui,44,8,44,218.68670332,27.24051730473036,2601.30285067297,47.862776412795554,62.5142857142857,1040.5804509883708,11.272341611286771,350.0,550.0,5.0,10.0,0.0699996458672117,44.30864995537042,25.21772944069816,57.36255113152364
46,webui,45,8,45,143.2675066,68.55572256927447,11935.637529137526,1281.490015360983,51.60857142857143,3167.29005363254,11.2,350.0,600.0,1.0,10.0,-0.008348496783485,1089.8481196172252,69.92683702065996,52.03942542114312
47,webui,46,8,46,218.9502023,48.08269637721688,4620.479344790545,223.8245522495598,54.70499999999999,2270.738667474716,9.585740017143111,350.0,600.0,2.0,10.0,-0.1571522847715229,202.40613847006009,50.074570074910746,61.63406337366264
48,webui,47,8,47,224.76303935,36.0816776603177,3671.174767282442,83.27741426105152,56.51523809523809,1740.9465975565229,11.2,350.0,600.0,3.0,10.0,0.03428114411424,72.313236728061,34.58216506054054,52.45095025988672
49,webui,48,8,48,219.4921825,29.873065768665224,1942.7854448636983,59.36760572422957,56.56571428571427,1311.4843939184232,11.357142857142858,350.0,600.0,4.0,10.0,0.0536957405117247,50.71629479128378,28.79582125817343,55.35404429134231
50,webui,49,8,49,239.46616031666667,27.348734317661247,1688.249047610977,50.926150670345386,57.494,1064.588722342183,11.48559296585482,350.0,600.0,5.0,10.0,0.1178156952524561,43.89645336882895,22.52159413942212,51.573709555996615
51,webui,50,8,50,136.6352911,66.91366489841069,8684.493464052284,1230.802152803337,74.91999999999999,2320.65550031676,11.499806715664734,400.0,400.0,1.0,10.0,0.0766670043666701,1099.5165898376476,62.52003751182923,66.82005714285714
52,webui,51,8,51,185.896367825,45.58471774703862,4443.321850044496,118.60451147656076,81.52571428571427,1511.281022614835,10.014796412978926,400.0,400.0,2.0,10.0,-0.0885741300999324,133.68688152144023,43.238731692149,88.03298990118157
53,webui,52,8,52,185.29586433333336,34.881992124728335,2375.272576138393,57.05798149219202,83.30285714285714,1114.3152014000157,11.439417696619728,400.0,400.0,3.0,10.0,0.1057085726285141,48.44563463579141,29.250891865848065,72.12494413986057
54,webui,53,8,53,185.461813675,25.886017785358213,1370.9141354461124,38.93681779794837,84.62392857142855,878.5811367396491,10.49997721513252,400.0,400.0,4.0,10.0,0.0431372427792111,36.4260571794812,26.781145946671387,86.39887946423795
55,webui,54,8,54,197.02178875,23.07579873930723,1497.1342812126975,41.32315173040575,85.12599999999995,713.2621342660492,11.371471505432003,400.0,400.0,5.0,10.0,0.0771180857762152,36.23818791377648,21.296237312774657,79.4505948351758
56,webui,55,8,55,138.1003864,67.87488641335176,8702.37267080745,1568.0136150614092,66.7942857142857,2592.12395019436,12.016685538423252,400.0,450.0,1.0,10.0,0.125,1113.2912248914656,58.54096607609059,56.89435262326359
57,webui,56,8,56,169.62294165,44.878487955195965,4006.0714285714266,122.61817818532654,71.385,1593.6133306188258,9.61422715128513,400.0,450.0,2.0,10.0,-0.0657142857142856,127.34845457560463,50.09986159546723,74.16693659180089
58,webui,57,8,57,191.09279338,32.05418625217994,2502.5432678676425,58.60103808255043,73.32238095238093,1034.0446106521838,10.899997192569773,400.0,450.0,3.0,10.0,0.0685815074529658,53.41066025637871,27.005043640927685,68.29382153662601
59,webui,58,8,58,178.158730275,25.54137532812174,2308.254129011209,43.06268211558115,74.1892857142857,793.2256878901699,10.114422981444532,400.0,450.0,4.0,10.0,0.0685705742568428,44.241911229612406,24.083904287901618,73.34038978801883
60,webui,59,8,59,178.90510129,24.7381984612868,1077.2937335667332,37.05442580912964,74.24771428571428,650.0212103254286,11.714320031715744,400.0,450.0,5.0,10.0,0.0965623562139286,36.94861930374685,22.11756722654505,67.52639117330416
61,webui,60,8,60,132.1156127,66.05030865752452,8949.830043859649,1230.802152803337,61.45857142857143,2286.9605038906566,12.033333333333331,400.0,500.0,1.0,10.0,0.1066666666666668,935.4372142801216,64.91478040354521,52.88929999999999
62,webui,61,8,61,167.7743617,45.73813321658691,4124.501402763953,93.5291560910756,65.51357142857145,1652.5025277433906,10.485714285714286,400.0,500.0,2.0,10.0,-0.0014074225137225,105.26656370260606,43.51656674606697,65.85255210450241
63,webui,62,8,62,190.6967739833333,33.521444470839405,2900.526138150997,60.84889630104069,66.15,1129.3015376158844,11.3857514505718,400.0,500.0,3.0,10.0,0.0342857142857141,54.76288730120904,32.57684430009341,63.38626666666666
64,webui,63,8,63,195.0914538375,28.313403197310265,1875.6833078401903,43.114177489177486,67.17749999999998,882.3831100531307,11.09995002385664,400.0,500.0,4.0,10.0,0.0971485804573719,40.58891852195424,25.12406132664864,61.824685634794754
65,webui,64,8,64,184.1793219,23.571530051792795,1443.9952245516336,36.30611269371942,67.66714285714282,743.8504752344352,11.457021842677216,400.0,500.0,5.0,10.0,0.127567538582853,31.516159666771543,22.054606894767065,64.43666452642854
66,webui,65,8,65,124.9349151,62.00141934856611,8663.952380952378,1568.0136150614092,57.13,2929.4574972489504,12.866871724835384,400.0,550.0,1.0,10.0,0.116,1134.30528466722,57.86799139199504,45.26953961422468
67,webui,66,8,66,175.814486725,45.31704251483538,4625.882867219661,189.2353907328536,60.03071428571428,1751.5374385833554,9.7,400.0,550.0,2.0,10.0,-0.0571933856954673,177.88248333984558,44.5013287462229,62.22450714285714
68,webui,67,8,67,187.3912719333333,32.649804707855445,2490.354485483891,54.62973627130962,60.17761904761904,1149.8756402731126,11.50007574928647,400.0,550.0,3.0,10.0,0.0957282168883974,51.1144771912163,29.65800511522802,54.43741632450207
69,webui,68,8,68,195.2175372875,29.189555807822543,1971.826315473596,53.66971353433435,61.61714285714286,889.669294367604,11.571374643138336,400.0,550.0,4.0,10.0,0.072616347093605,46.77276999604151,26.51996611322802,61.38303827201443
70,webui,69,8,69,192.23401564,24.021153109230752,1534.5971718528988,38.35796851226821,61.68857142857143,754.3539907362403,11.385208103636929,400.0,550.0,5.0,10.0,0.0956581289206619,33.294245080545274,21.39494116926929,55.76533713823631
71,webui,70,8,70,128.432044,65.7871278730678,8665.190160716476,1228.145139098628,51.167142857142856,2737.4200803382955,12.000121724167885,400.0,600.0,1.0,10.0,0.1099999999999999,984.356306275541,62.89574264516694,44.25140952380952
72,webui,71,8,71,173.58601095,44.09452809944068,4149.286328611952,119.39880952380956,56.825,1779.808502013185,10.400065743714944,400.0,600.0,2.0,10.0,-0.0228602841428884,113.47404312299632,42.54212284926303,52.44350799698324
73,webui,72,8,72,196.574219275,31.42932154216132,2160.0530605384724,57.740133083473125,56.43476190476188,1343.203299867537,9.314418080085655,400.0,600.0,3.0,10.0,-0.0685581919914344,54.10801298489911,34.48491497528079,60.30382714641943
74,webui,73,8,73,182.7006027,28.76900159930475,1669.4343232780595,47.37200694335321,57.16928571428572,1008.1126364424892,11.671600036001715,400.0,600.0,4.0,10.0,0.086581817797106,40.83842706153799,24.356242792650885,50.66404286160967
75,webui,74,8,74,181.20972467,23.70674787482876,1714.7973962540725,34.338884931357775,57.39285714285713,830.9877294505325,11.500592638091108,400.0,600.0,5.0,10.0,0.09999843081427,29.974913160539188,20.862210541199364,51.3970324697532
76,webui,75,8,75,116.8836305,65.00950179891382,7507.379024484288,833.9203463203465,74.57714285714285,2157.624789893613,13.350001716833352,450.0,400.0,1.0,10.0,0.1199999999999997,692.4436914936916,55.98634251419662,59.45704761904761
77,webui,76,8,76,147.913841775,44.31479379269711,2327.774725274725,69.11883559909874,81.56357142857144,1218.9235144164388,10.071428571428571,450.0,400.0,2.0,10.0,-0.0199516290969793,66.35408217513479,39.70721899269736,84.66837034197403
78,webui,77,8,77,150.17691496666666,31.022578705879443,1096.5625207979165,39.35430921993152,82.9604761904762,830.9069064436275,11.08555769699308,450.0,400.0,3.0,10.0,0.0657114303999714,33.732197533899644,28.227835639665813,75.01558916381435
79,webui,78,8,78,158.09623449999998,24.402558997450893,1173.2386363636326,35.37303105434757,82.58071428571431,612.8897881812183,11.31430715528593,450.0,400.0,4.0,10.0,0.0657192558083673,35.9794207408059,22.69208349142865,78.91836344545035
80,webui,79,8,79,155.81164707,22.00517914632652,665.9611449687767,30.73252127001253,83.79542857142857,536.5888302576436,11.30030905352416,450.0,400.0,5.0,10.0,0.0734305663948654,29.64937885883656,20.98269438033243,80.67621710936935
81,webui,80,8,80,120.59852005,66.2811117961842,7496.041666666667,1192.8103930998666,66.31857142857143,2154.9661081651666,12.366661708499947,450.0,450.0,1.0,10.0,0.1199999999999997,984.06857430739,50.67466339937985,54.74795714285714
82,webui,81,8,81,163.64962853333336,41.38424234684845,3956.354558398292,97.44871185724844,72.03857142857144,1174.88496506448,11.071428571428571,450.0,450.0,2.0,10.0,-0.0314048517997628,87.00777844397183,42.518675215543496,71.06215631930539
83,webui,82,8,82,160.66254801666665,32.206141993550524,2142.833303289334,42.35181666988219,72.74476190476189,804.5401367950619,10.685630008427728,450.0,450.0,3.0,10.0,0.0514502894859314,39.50661952599666,29.407922953886125,67.48156734693876
84,webui,83,8,83,163.2290790375,23.080650106003795,1377.5328394095022,33.84576126891555,73.44857142857143,645.4609740010525,11.528601437286014,450.0,450.0,4.0,10.0,0.0714325721714686,33.614042997934945,21.11291993331129,68.66483659436865
85,webui,84,8,84,160.79777461666666,21.05860833983779,1117.1207283108092,40.64260207108861,73.83400000000002,539.426515335005,11.299775858631094,450.0,450.0,5.0,10.0,0.1085685725142571,35.873681345148135,18.680152717689435,65.91704786586452
86,webui,85,8,85,117.1313192,62.16418878158798,6601.999999999998,1068.4785486443384,59.74,1896.020053835998,12.016666716333331,450.0,500.0,1.0,10.0,0.1466666666666666,807.9738948233254,55.4792147835844,52.140290151810376
87,webui,86,8,86,163.89397556666668,41.27797947690856,3117.18537414966,91.33352758352758,64.7242857142857,1158.4298896002622,10.142857142857142,450.0,500.0,2.0,10.0,0.0085605725141771,97.86595991116896,41.16004239268882,64.83606122448981
88,webui,87,8,87,161.08800346666666,28.67715036102432,2086.425000670953,42.98556998557,64.77285714285715,812.3078164175813,10.471381449570956,450.0,500.0,3.0,10.0,-0.0285714285714286,44.213729128014855,25.56354102374404,65.83297959183675
89,webui,88,8,88,156.08786880000002,25.24866218538131,1193.0995739696446,38.43415988054913,66.12500000000001,660.6264036734476,11.299945765998086,450.0,500.0,4.0,10.0,0.0877931993339442,36.52327697302946,21.61839603448379,59.53829642857141
90,webui,89,8,89,153.94663100000002,20.530131323843484,1997.5110847595536,40.29390200479832,67.01742857142857,574.0353658900779,11.471378216311322,450.0,500.0,5.0,10.0,0.0779971305815885,34.36514503879398,18.41836092510739,60.47145862728093
91,webui,90,8,90,122.1594892,60.50670032761567,7113.691651002505,1115.263748597082,55.25,2254.087412332509,12.266811724834785,450.0,550.0,1.0,10.0,0.1716826454996271,816.3026448996159,54.56300580628335,43.405440000000006
92,webui,91,8,91,155.12181967499998,42.46733759492427,3390.2638888888832,72.87916058284311,60.11999999999999,1265.0303847868,10.942942883143717,450.0,550.0,2.0,10.0,0.0685714285714283,65.38498027688871,41.90689691749159,55.17422504709797
93,webui,92,8,92,157.9148227,30.919388592943672,1668.2739432992576,54.87954281956035,60.59380952380953,857.723259670345,11.357097283138984,450.0,550.0,3.0,10.0,-0.0077129692285582,51.17327054227061,28.73408665088224,63.80453468067895
94,webui,93,8,93,161.98782495,24.951602821752,1424.199848349038,30.73345708839367,61.31142857142856,675.4015345912488,11.357446570546784,450.0,550.0,4.0,10.0,0.0885423303962458,27.0106176631896,20.637597944143625,56.34621991362035
95,webui,94,8,94,157.37309837,20.745943394932223,1539.3936278994115,35.636693362773606,61.63571428571427,583.6238059020295,11.500107420646604,450.0,550.0,5.0,10.0,0.082866152501248,32.50836123961736,18.374500830015347,55.54878470064714
96,webui,95,8,95,118.21288475,66.69512801106184,6144.672619047617,1068.4785486443384,51.58714285714285,2183.242560572433,13.32004810720048,450.0,600.0,1.0,10.0,0.1799999999999998,731.1366393142712,58.19986468922755,42.21558151529273
97,webui,96,8,96,156.7082768666667,43.91566865049627,3289.115986394558,73.0440924734278,55.46785714285714,1081.453505992845,10.985714285714286,450.0,600.0,2.0,10.0,0.0328608599428943,70.64380078100267,43.04507247442808,54.670993960085234
98,webui,97,8,97,146.63152826666666,29.62534944375917,2065.1270296624944,52.75657848481318,56.50428571428572,865.4716115812768,12.171507178719445,450.0,600.0,3.0,10.0,0.0771454735738609,48.9243206843384,28.58941685593584,50.847966042471086
99,webui,98,8,98,155.61036408571428,25.340842463710377,1606.0021631938089,35.93000127006807,56.28964285714287,751.2770642685703,11.271475719000472,450.0,600.0,4.0,10.0,0.0542857142857144,30.44460484098825,23.435773888398444,53.23391938775511
100,webui,99,8,99,154.73248981,20.76445617674221,1191.3272925661415,32.92975349666146,56.48914285714286,633.1345586055762,11.342366467284718,450.0,600.0,5.0,10.0,0.1093907667151165,29.82261681531993,18.569285228120712,51.13933183110348
101,webui,100,8,100,111.25530655,60.173183134937965,5447.83333333333,833.9203463203465,74.23142857142857,1655.6151250754162,13.42003205680032,500.0,400.0,1.0,10.0,0.2200000000000001,713.8358164502167,46.18204635406751,58.88247373613483
102,webui,101,8,101,130.17247905,38.65072575291893,2645.173110682992,78.67864358109061,79.92642857142857,773.8924509774049,10.141942419078871,500.0,400.0,2.0,10.0,-0.0242895694143243,95.76368835280088,39.58953523900847,80.38315102040815
103,webui,102,8,102,133.25983598333332,27.294347813951248,1250.078400123304,29.929927449344905,81.65857142857142,576.1237210831902,10.414045858199367,500.0,400.0,3.0,10.0,0.0342780047142087,26.84749649260936,27.52023356099989,78.2775320999237
104,webui,103,8,103,133.2183552,23.818806084245185,1052.0350014736491,31.48615053825633,81.99285714285718,465.17306819252497,11.728600004857428,500.0,400.0,4.0,10.0,0.0342862971995268,27.91564256923449,20.70458315123525,78.08829980394825
105,webui,104,8,104,131.95897045714287,19.37797878326278,1018.0255708911149,32.32961972445785,83.09257142857143,421.5193549454765,11.171370039849704,500.0,400.0,5.0,10.0,0.0906859043078645,29.3390052993126,17.108100405307056,82.42177929742455
106,webui,105,8,105,116.3896339,59.47773700352418,4810.812030562027,898.0623781676413,66.01,1534.3993399780095,12.633158410164915,500.0,450.0,1.0,10.0,0.1533333333333333,697.4951137102014,52.93578898899592,52.3075
107,webui,106,8,106,135.910550675,41.30226584145591,1794.036797561376,55.19321950194245,71.7057142857143,829.5791979984357,10.41435573157213,500.0,450.0,2.0,10.0,0.0,55.823707352358106,41.30226584145591,68.87866380774086
108,webui,107,8,107,134.11544884999998,26.943223038080227,1384.4249597957944,33.055010264830806,72.77142857142857,564.815799362747,11.68662245670636,500.0,450.0,3.0,10.0,0.0011544530325929,29.29980673786044,23.86521409670508,68.18843235630517
109,webui,108,8,108,140.5824528,22.42558029274898,1368.2485920659744,32.45853670977838,73.6364285714286,485.01795247676455,11.257168611143111,500.0,450.0,4.0,10.0,0.0685654406563978,30.23300283721056,20.66641656760516,67.14943789424295
110,webui,109,8,109,140.62884128000002,20.532523234697965,1081.5476527804078,31.48615053825633,74.70485714285718,462.1913328637197,11.284490847931052,500.0,450.0,5.0,10.0,0.0371380008856657,29.77677874147219,18.542651865014022,72.56989892954012
111,webui,110,8,110,105.7117788,62.23624560457574,6800.298913043478,956.4504662004662,60.59428571428571,1704.8509723447055,12.383315053833153,500.0,500.0,1.0,10.0,0.1666616711332834,692.4701375291374,53.620280614643065,48.9226218016645
112,webui,111,8,111,160.2851473333333,39.22220174627374,2605.0247160132662,80.57886000960615,66.715,1008.8766305431872,10.985714285714286,500.0,500.0,2.0,10.0,0.0228542859999715,71.25489565446765,35.78334491673734,62.35033673469389
113,webui,112,8,112,154.25576258333334,27.27091004108848,1883.4097222222208,48.01407656790493,67.08904761904762,794.7802869560136,11.128564327285645,500.0,500.0,3.0,10.0,-1.4264857286505617e-06,45.590513983371125,26.808109288562186,65.65273798102436
114,webui,113,8,113,154.8041384125,23.171225231085888,1705.4133002885462,44.92956720403559,67.39928571428574,725.3971429652049,11.042851438857086,500.0,500.0,4.0,10.0,0.0428611439428973,43.06765350955972,21.377517133317337,64.56145410601795
115,webui,114,8,114,153.1843253222222,19.362576864849004,664.914052552938,31.48615053825633,66.96457142857142,601.1172807982363,11.499951439428088,500.0,500.0,5.0,10.0,0.0984615304908801,29.237907588149845,17.444401701474916,65.16585528959493
116,webui,115,8,115,108.36701325,60.24404676385671,5731.893800643801,815.0156641604011,53.614285714285714,1645.501718491042,13.399830884203237,500.0,550.0,1.0,10.0,0.1633296754332967,513.4598684210526,44.004575960517016,41.857216542192894
117,webui,116,8,116,132.908826075,44.23628671972556,2311.6102319272827,54.66873260959294,60.225,1026.6053111866584,10.499978592428358,500.0,550.0,2.0,10.0,-0.0200014064289231,55.76218414947153,43.48176735969199,57.074668916531685
118,webui,117,8,117,141.81503794,28.017855595104383,1601.244341894447,42.81747642049884,62.20857142857143,695.186239897116,11.17143144228574,500.0,550.0,3.0,10.0,0.0700172911287442,38.87774926471128,27.15283836711232,57.80613741496598
