Iteration,pod,Unnamed: 0,run,Unnamed: 0.1,cpu throttled total,cpu usage,latency95,median latency,memory usage,average response time,average rps,cpu limit,memory limit,number of pods,RPS,rps delta,ratio response time,ratio cpu usage,ratio memory usage
1,webui,0,13,0,217.81834725,56.71213741124707,12669.642197802195,1568.0136150614092,76.00857142857144,3459.8355732238683,7.157002902855744,300.0,400.0,1.0,10.0,-0.4143456371644293,1893.078080597508,78.57121712237847,99.91107987533448
2,webui,1,13,1,243.31610185,57.52072291102536,6443.7966538789615,400.71138533164464,80.09928571428573,4075.068905712181,8.728260796716926,300.0,400.0,2.0,10.0,-0.2400738109262228,449.9416412438181,57.65659129607825,100.94377974341016
3,webui,2,13,2,269.3521458666667,45.25556576255126,5401.245801518241,128.125,84.90333333333335,2651.08338478788,10.914370054429416,300.0,400.0,3.0,10.0,-0.1285728564285857,174.6524346501926,41.1158682778138,89.09813993680723
4,webui,3,13,3,278.818292425,35.212797580949584,4092.6504614352057,101.68866225381312,84.43107142857143,2209.3557146224693,10.785707147571358,300.0,400.0,4.0,10.0,-0.0024569114730702,91.35,36.40694100981773,90.33064110437142
5,webui,4,13,4,284.59688302,30.807746294513287,3461.0817360268816,95.95238095238096,84.84714285714284,1796.191676205977,12.11431286900027,300.0,400.0,5.0,10.0,0.1057142857142855,107.97700947191048,26.3830434291278,79.58544388094492
6,webui,5,13,5,178.2911748,75.24092370709778,14268.262460072803,1568.0136150614092,65.56857142857142,4009.6321868298087,7.171428571428571,300.0,450.0,1.0,10.0,-0.2766666666666666,1706.5188668544124,95.1060354730703,78.59889523809524
7,webui,6,13,6,237.7206866,54.88881653394424,6589.044111444111,246.92388425246767,73.08357142857145,3652.766967188648,9.4857557307147,300.0,450.0,2.0,10.0,-0.1778691250750088,255.4727462564972,56.20339462402671,82.6482481254888
8,webui,7,13,7,259.7371808333333,43.60756863797876,4201.747012524331,143.33133333333336,74.7352380952381,2455.006316915684,10.899587685786903,300.0,450.0,3.0,10.0,-0.0442872842143016,148.72958088397505,41.13031694252371,77.48661376836034
9,webui,8,13,8,266.163974475,33.094651501170155,4367.144320857155,90.51058980784305,76.17428571428574,1934.179042834832,11.114267216428816,300.0,450.0,4.0,10.0,0.0799892030230838,97.40870400020944,30.637727874346147,70.99528863624579
10,webui,9,13,9,285.182703175,30.783045083797788,2338.9018001755244,86.72677756346069,76.42085714285713,1582.9912885667873,11.885747161000328,300.0,450.0,5.0,10.0,0.0400494689566462,101.98104116729876,27.83035583170648,73.11174904871383
11,webui,10,13,10,165.1468767,73.82298160534742,14435.85840629958,1568.0136150614092,61.54000000000001,4699.533424327288,7.499497337557798,300.0,500.0,1.0,10.0,-0.3428571428571427,1494.8396463585434,93.52002455076268,72.75113970931899
12,webui,11,13,11,230.20829346666665,51.207915969113934,6059.112211635406,389.2684610075914,65.44071428571428,3991.211611168367,10.128737307724178,300.0,500.0,2.0,10.0,-0.1142857142857142,387.0440698018337,58.3917972517912,71.59700469998688
13,webui,12,13,12,264.72618805,46.43791757824349,4747.901957338331,130.14909865764486,68.47999999999999,3034.223818153758,11.342897225713315,300.0,500.0,3.0,10.0,-0.0914425378245287,134.95833333333331,40.2017825098708,72.98471428571428
14,webui,13,13,13,275.5886626,35.05663447670079,3477.8186468703952,89.00615210966463,68.65892857142858,2301.792462367251,11.542978694729053,300.0,500.0,4.0,10.0,0.0651909620952346,79.51549371875137,31.4461943619575,65.94409905771798
15,webui,14,13,14,271.59201208,30.209911687434808,2998.6672352806395,76.84312564937139,68.81542857142855,1845.489265557448,11.785810211023298,300.0,500.0,5.0,10.0,0.0294285714285715,98.62586219404676,26.690775212776177,72.15417364598598
16,webui,15,13,15,174.51186180000002,71.46865128791794,15099.08355916892,1568.0136150614092,55.60714285714285,4413.310150805455,7.642857142857144,300.0,550.0,1.0,10.0,-0.3428713642892695,1630.7341596638655,95.63042164976682,69.89955102040817
17,webui,16,13,16,226.7083931,53.96509463176828,7065.469917929288,637.287397558681,60.68214285714284,4220.871026470817,9.314341437286272,300.0,550.0,2.0,10.0,-0.1857142857142858,956.6707495835784,54.37272858670379,67.5298277806876
18,webui,17,13,17,255.820197575,42.27534533653816,3841.23205085009,116.63209131862284,62.30000000000001,2863.3780730266967,11.18570715385707,300.0,550.0,3.0,10.0,-0.0646024497449818,118.82673804240844,39.78261425481807,66.82463998236557
19,webui,18,13,18,281.75438982000003,37.93549779028364,3403.903642135643,70.35726433462675,62.79857142857145,2137.0199540690287,11.842797155713686,300.0,550.0,4.0,10.0,0.0802587196620358,70.43728091857528,30.650551753277792,62.85393877551023
20,webui,19,13,19,282.9689531666667,30.485629032445523,3163.5864985644284,115.00003174497358,63.18828571428575,1727.9364483000224,11.857200019429143,300.0,550.0,5.0,10.0,0.0514155217908917,100.92839526811038,26.609912513939523,64.53328614911213
21,webui,20,13,20,169.7763263,72.86534927613043,13284.922138047132,1568.0136150614092,50.80571428571428,3931.1882534908486,8.283333333333333,300.0,600.0,1.0,10.0,-0.3714285708571427,1552.333478910795,88.16381249639775,62.06302038230368
