,run,Unnamed: 0,Iteration,pod,cpu throttled total,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
0,1,0,1,webui,783.4378426222223,83.29021367817498,67.17774193548387,100.0,500.0,1.0,16392.507529142575
1,1,1,2,webui,2657.978643276,82.35005017079119,76.78032258064516,100.0,500.0,2.0,1174.782335169146
2,1,2,3,webui,1786.7097458239994,69.9867248577874,70.25354838709674,100.0,500.0,3.0,396.5692101331029
3,1,3,4,webui,482.5263484999999,63.54025576938182,96.59419354838712,100.0,500.0,4.0,884.255720983609
4,1,4,5,webui,842.2813883149998,71.92398208255699,99.75241935483872,100.0,500.0,5.0,655.3460058817923
5,1,5,6,webui,1133.32082123,70.65741645288463,95.9159139784946,100.0,550.0,1.0,486.2089880808006
6,1,6,7,webui,1330.1319250074998,68.47087551695076,92.4162096774195,100.0,550.0,2.0,413.7299487263522
7,1,7,8,webui,1392.455436712,65.08108949610754,91.91025806451624,100.0,550.0,3.0,405.4274001819433
8,1,8,9,webui,466.5946248800001,64.26860547656118,83.19419354838709,100.0,550.0,4.0,868.4949659675995
9,1,9,10,webui,849.04131793,71.85468078296974,88.2772580645161,100.0,550.0,5.0,663.0732060734653
10,1,10,11,webui,1156.2124708933334,70.70422373841387,87.02698924731176,100.0,600.0,1.0,491.98295575946975
11,1,11,12,webui,1350.6422715282054,69.37664579554247,85.04524193548393,100.0,600.0,2.0,419.0823567761031
12,1,12,13,webui,682.7779496999999,79.13934296245738,61.559032258064505,100.0,600.0,3.0,7587.512116233699
13,1,13,14,webui,1461.519680086,65.48270417390447,83.9978709677419,100.0,600.0,4.0,404.5149591515369
14,1,14,15,webui,507.6818130444444,63.19051443467615,81.26225806451612,100.0,600.0,5.0,785.2180910836328
15,1,15,16,webui,845.2163723842104,69.66652795065296,85.16709677419352,100.0,650.0,1.0,604.6155319224856
16,1,16,17,webui,1214.1797326714288,70.23631490932294,83.22064516129028,100.0,650.0,2.0,464.6053422424548
17,1,17,18,webui,1408.813283928205,69.28176392958383,80.7133870967742,100.0,650.0,3.0,400.3218194159119
18,1,18,19,webui,1454.864454468085,65.82028660722271,79.42154838709693,100.0,650.0,4.0,387.6806132717386
19,1,19,20,webui,497.8244787555556,62.622936762280304,75.12645161290321,100.0,650.0,5.0,786.002837120478
20,1,20,21,webui,886.7853933555557,66.27652913782806,79.84935483870966,100.0,700.0,1.0,575.6194725873368
21,1,21,22,webui,1190.9076668777775,68.54956608738364,78.42602150537628,100.0,700.0,2.0,442.1806630261469
22,1,22,23,webui,1400.0529156277776,70.67162587023174,75.5050806451613,100.0,700.0,3.0,392.98262207256965
23,1,23,24,webui,1251.13023762,88.92977430733713,70.7461290322581,100.0,700.0,4.0,3643.710246872943
24,1,24,25,webui,1483.1710531555557,65.55122593920186,74.60096774193548,100.0,700.0,5.0,391.68845398915033
25,1,25,26,webui,536.05895706,64.30473023798267,72.25774193548388,150.0,500.0,1.0,810.6224756527623
26,1,26,27,webui,923.331948065,70.96182978208418,74.22241935483868,150.0,500.0,2.0,609.2264944323617
27,1,27,28,webui,1231.8496430099997,70.19019466114523,73.48935483870974,150.0,500.0,3.0,459.3201776913448
28,1,28,29,webui,1438.4357401799996,69.86922474234255,71.55540322580651,150.0,500.0,4.0,410.28882849990913
29,1,29,30,webui,1527.971537304,66.62629379495212,70.442064516129,150.0,500.0,5.0,402.9166203964211
30,1,30,31,webui,1840.8111051310343,90.51990685277084,72.36827956989241,150.0,550.0,1.0,2051.4914461448834
31,1,31,32,webui,2251.9310502399994,85.11968525569029,72.6813709677419,150.0,550.0,2.0,1451.2176698663145
32,1,32,33,webui,2708.392427773914,82.32531810086856,71.87232258064519,150.0,550.0,3.0,1136.7892710720212
33,1,33,34,webui,721.4947063000002,79.31933990066767,59.150322580645145,150.0,550.0,4.0,7024.91417919481
34,1,34,35,webui,1293.7986686150002,88.23107210840374,65.64516129032256,150.0,550.0,5.0,3367.9276420581405
35,1,35,36,webui,1795.48333756,85.03885988929858,65.8476344086022,150.0,600.0,1.0,2046.5290685842533
36,1,36,37,webui,2263.6464679475,84.8873894649076,65.98169354838717,150.0,600.0,2.0,1483.8859939871054
37,1,37,38,webui,1330.8243063777777,89.02099967075827,75.98645161290327,150.0,600.0,3.0,6026.65139385681
38,1,38,39,webui,2701.1503097120003,83.72617928124285,66.66541935483868,150.0,600.0,4.0,1151.713356415415
39,1,39,40,webui,694.67998039,78.72695482295396,55.31258064516128,150.0,600.0,5.0,7487.006125517649
40,1,40,41,webui,1262.35475267,87.74386494846321,62.21596774193547,150.0,650.0,1.0,3337.6936785385724
41,1,41,42,webui,1780.7306889620684,86.08484225643078,66.073870967742,150.0,650.0,2.0,1986.825396550412
42,1,42,43,webui,2285.3270379052638,84.17960310966143,64.54620967741934,150.0,650.0,3.0,1392.5815239570063
43,1,43,44,webui,2704.901496851111,81.74914778744399,64.3429032258066,150.0,650.0,4.0,1093.563443597789
44,1,44,45,webui,586.96850765,73.5403552040424,86.74096774193546,150.0,650.0,5.0,3458.3805845883485
45,1,45,46,webui,1044.9836319949998,81.94015557615911,90.37016129032251,150.0,700.0,1.0,1934.25322234988
46,1,46,47,webui,1472.506108293333,79.34833476471636,90.05064516129029,150.0,700.0,2.0,1210.8967406013217
47,1,47,48,webui,1884.6012432075,80.43757093732285,88.43403225806459,150.0,700.0,3.0,864.45215930357
48,1,48,49,webui,1851.4012464888888,92.033869847481,82.51408602150543,150.0,700.0,4.0,2957.3429176880377
49,1,49,50,webui,2231.6426097840003,76.36683222617877,86.85380645161308,150.0,700.0,5.0,701.3749678294078
50,1,50,51,webui,582.18766034,75.57530479965081,78.19677419354839,200.0,500.0,1.0,3502.843247440032
51,1,51,52,webui,1104.6741603526314,80.87852130141684,82.15935483870966,200.0,500.0,2.0,1945.09452015438
52,1,52,53,webui,1475.4792174714291,79.46979683679636,83.52881720430095,200.0,500.0,3.0,1184.882512396622
53,1,53,54,webui,1927.5931504025643,78.12287248809155,80.2894354838709,200.0,500.0,4.0,880.7422082238355
54,1,54,55,webui,2291.21154497234,78.99828379326732,78.94929032258062,200.0,500.0,5.0,724.8110807623552
55,1,55,56,webui,624.970977511111,75.33209337493516,66.83967741935483,200.0,550.0,1.0,3737.046082109484
56,1,56,57,webui,1087.2619300111112,82.10324278832093,75.68596774193557,200.0,550.0,2.0,2008.0238530536856
57,1,57,58,webui,1481.5066456142856,79.9033359692176,76.37010752688172,200.0,550.0,3.0,1279.6147373350882
