,run,Unnamed: 0,Iteration,pod,cpu throttled total,cpu usage,latency95,median latency,memory usage,average response time,average rps,cpu limit,memory limit,number of pods,RPS,rps delta,ratio response time,ratio cpu usage,ratio memory usage
0,1,0,1,webui,217.81834725,49.38104442617733,11054.084909903537,1141.2570290820315,77.66571428571429,4338.502698028724,7.671428571428572,300.0,400.0,1.0,10.0,-0.2328571428571428,1407.006880139705,60.87977334255863,95.75073061224492
1,1,1,2,webui,228.978963325,51.3481092967618,7409.206349206346,400.71138533164464,82.81500000000001,3503.9257056543684,8.771428571428572,300.0,400.0,2.0,10.0,-0.1228571428571427,449.9416412438181,57.65659129607825,92.98941428571428
2,1,2,3,webui,255.86570043333333,39.948532705268285,5438.424931376054,95.40580933653688,84.90333333333335,2424.493080848628,10.528571428571428,300.0,400.0,3.0,10.0,0.0528571428571428,90.36293084303423,37.83696740513268,80.41558571428574
3,1,3,4,webui,285.4940456375,37.98041536046559,4379.287878787878,77.29192434549577,84.45357142857141,2209.3557146224693,10.414285714285716,300.0,400.0,4.0,10.0,0.0414285714285714,74.08983033689665,36.40694100981773,80.95478061224487
4,1,4,5,webui,284.27552141,31.3550601025288,2099.0972222222194,53.55092592592592,84.84714285714284,1799.1065946614622,11.585714285714284,300.0,400.0,5.0,10.0,0.1585714285714285,45.059279100529096,26.3830434291278,71.39281020408161
5,1,5,6,webui,152.986748,70.3504868984477,12958.886562998405,1141.2570290820315,68.09714285714287,3395.09452365394,9.96,300.0,450.0,1.0,10.0,-0.0039999999999999,1145.8220571983595,70.63188884604149,68.36953142857145
6,1,6,7,webui,196.00908566666664,57.60490431560663,8507.441963988149,1141.2570290820315,72.91714285714285,3582.947683979728,9.071354300568458,300.0,450.0,2.0,10.0,-0.0928645699431541,1247.239372282336,62.95435898149197,79.68856197005495
7,1,7,8,webui,247.1481084333333,39.386017204517856,3900.3294489240266,131.31450363956424,74.20047619047621,2455.006316915684,9.557127157856984,300.0,450.0,3.0,10.0,-0.0442872842143016,137.13006638370956,41.13031694252371,77.48661376836034
8,1,8,9,webui,266.163974475,32.819225368451534,1391.90476190476,45.54615027829315,75.675,1934.179042834832,10.857142857142858,300.0,450.0,4.0,10.0,0.0857142857142857,41.64219454015373,30.006148908298545,69.18857142857142
9,1,9,10,webui,266.39034961,29.864178003861426,2182.4730300081646,33.25126816293524,76.42085714285713,1512.8387333608366,11.885747161000328,300.0,450.0,5.0,10.0,0.1885747161000328,26.980919709143667,24.23254911522241,62.00981570302168
10,1,10,11,webui,158.96555015,68.70198781522856,13845.166666666666,1141.2570290820315,63.21,3439.6737554886795,9.666666666666666,300.0,500.0,1.0,10.0,-0.0333333333333333,1179.2989300514328,70.99205407573619,65.31700000000001
