,run,Unnamed: 0,index,Iteration,pod,datapoint_x,cpu throttled total,datapoint_y,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
0,1,0,6,1,webui,100.03333333333332,325.626822575,13.5,31.0413300749373,58.45230769230768,200.0,600.0,1.0,5508.562374533984
1,1,1,13,2,webui,255.2639751552795,855.10916668,65.5,61.58802675947135,53.04784615384613,200.0,600.0,2.0,1319.8897561096928
2,1,2,20,3,webui,260.6951219512195,352.9789053,65.5,40.8612225697925,38.93292307692312,200.0,600.0,3.0,627.0484007914827
3,1,3,27,4,webui,129.24615384615385,158.05285966666668,13.5,24.283249889913098,55.17846153846153,200.0,600.0,4.0,786.9291113007436
4,1,4,34,5,webui,163.1203007518797,257.66866298571426,26.5,42.349188794011575,64.24653846153845,200.0,600.0,5.0,743.355029754278
5,1,5,41,6,webui,189.3089005235602,274.75253225555554,39.5,45.51623866253103,65.37051282051279,200.0,700.0,1.0,636.9004944787297
6,1,6,48,7,webui,226.03846153846155,274.00824352499995,52.5,40.394680457236056,64.97076923076925,200.0,700.0,2.0,613.8491275028383
7,1,7,55,8,webui,257.2966360856269,266.46863194,65.5,33.735768189196506,64.83415384615388,200.0,700.0,3.0,604.3030768462327
8,1,8,62,9,webui,128.28787878787878,181.870794625,13.5,25.008907525920836,49.222307692307695,200.0,700.0,4.0,758.1905139854398
9,1,9,69,10,webui,161.28787878787878,264.559872475,26.5,44.2494432152962,54.74230769230768,200.0,700.0,5.0,699.376198805718
10,1,10,76,11,webui,196.04950495049505,289.04975468333333,39.5,46.82572494598223,54.6251282051282,200.0,800.0,1.0,633.566434539421
11,1,11,83,12,webui,224.93129770992363,280.1231138625001,52.5,41.133427370052274,54.19211538461541,200.0,800.0,2.0,610.7167436956618
12,1,12,90,13,webui,122.61290322580643,319.378566575,13.5,39.308166600970544,40.93384615384616,200.0,800.0,3.0,6546.37840785169
13,1,13,97,14,webui,262.7814371257485,273.32255374500005,65.5,34.75980678594927,54.262923076923066,200.0,800.0,4.0,608.149672360963
14,1,14,104,15,webui,128.28787878787878,181.856072375,13.5,23.792710765726845,41.45846153846152,200.0,800.0,5.0,788.8052727104932
15,1,15,111,16,webui,159.73809523809524,266.627170875,26.5,44.45256165360467,50.52269230769231,200.0,900.0,1.0,716.0062097262763
16,1,16,118,17,webui,194.2878787878788,277.2614541333333,39.5,45.7901756785679,49.84538461538461,200.0,900.0,2.0,622.3581690382307
17,1,17,125,18,webui,228.59774436090223,269.81903598749994,52.5,40.28702038276682,48.86846153846152,200.0,900.0,3.0,591.1623562499146
18,1,18,132,19,webui,256.9512195121951,260.19970167500003,65.5,35.08604554214777,48.54461538461536,200.0,900.0,4.0,589.2545914184946
