Iteration,pod,Unnamed: 0,run,Unnamed: 0.1,cpu throttled total,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
66,webui,65,3,65,1640.7532684226667,68.05495327424052,51.434922241086596,200.0,1250.0,1.0,538.470242802424
67,webui,66,3,66,475.0685576466666,63.54472946802823,41.77875042444822,200.0,1250.0,2.0,2687.3495712503363
68,webui,67,3,67,845.773191267456,73.37420590118802,48.762633276740225,200.0,1250.0,3.0,1456.5919037924727
69,webui,68,3,68,1121.35534828975,71.22918679342645,49.83650594227505,200.0,1250.0,4.0,883.2798695811007
70,webui,69,3,69,1395.4801122842732,69.79227037862049,48.78255942275042,200.0,1250.0,5.0,657.4555829183364
71,webui,70,3,70,1975.5430263237333,76.3938529587928,56.89940984719865,200.0,1300.0,1.0,1095.31025830939
72,webui,71,3,71,1630.8240527857329,68.73664504221149,48.41793344651952,200.0,1300.0,2.0,537.4974937182753
73,webui,72,3,72,389.936988078,57.82505101068874,56.358675721561966,200.0,1300.0,3.0,1566.488120100556
74,webui,73,3,73,701.290693013429,68.96467182433813,63.23166044142613,200.0,1300.0,4.0,907.2709199375225
75,webui,74,3,74,976.4830016355075,66.33091378969526,64.51149066213921,200.0,1300.0,5.0,599.8667964546279
76,webui,75,3,75,1195.2781752134833,64.6606443396145,63.37702886247878,250.0,1100.0,1.0,457.8102262538208
77,webui,76,3,76,1364.4441655317619,63.240595997347974,62.571514431239414,250.0,1100.0,2.0,388.4343914197618
78,webui,77,3,77,402.6165696626667,59.71638372177108,53.0892767402377,250.0,1100.0,3.0,1696.1832964241057
79,webui,78,3,78,738.1839555075455,67.59422518180625,58.163117147708,250.0,1100.0,4.0,1022.4875926153421
80,webui,79,3,79,1023.7614580752501,67.14336803324159,58.13752688172042,250.0,1100.0,5.0,653.1892189828183
81,webui,80,3,80,1239.6220117297858,65.85418380114426,57.33505602716466,250.0,1150.0,1.0,509.7223553804985
82,webui,81,3,81,577.40905613,70.08389130878486,44.52743972835314,250.0,1150.0,2.0,6474.290243845977
83,webui,82,3,82,1411.257248924308,66.35274180331334,56.61835517826827,250.0,1150.0,3.0,444.55731434389327
84,webui,83,3,83,444.148636292,58.69704329853012,49.429181663837014,250.0,1150.0,4.0,1815.8220690404007
85,webui,84,3,84,752.6357421927016,67.58216024445736,54.349816638370115,250.0,1150.0,5.0,999.7347017950882
86,webui,85,3,85,1023.8453041385823,68.17137498617724,54.56162535370687,250.0,1200.0,1.0,633.9955370029395
87,webui,86,3,86,1246.059871836795,66.06739456828416,54.1097224108659,250.0,1200.0,2.0,499.1685298676545
88,webui,87,3,87,1422.9841977095002,66.23248182637373,53.700761969439725,250.0,1200.0,3.0,427.2381958083182
89,webui,88,3,88,429.7658023,58.28318646868128,48.40009847198641,250.0,1200.0,4.0,1400.940945100721
90,webui,89,3,89,738.5461255504466,66.32502535792882,53.565544991511025,250.0,1200.0,5.0,835.9999267244505
91,webui,90,3,90,999.7930519122223,66.55134795811708,53.541078664402946,250.0,1250.0,1.0,581.6797793527468
92,webui,91,3,91,1210.6334937791128,64.30599149299523,52.504262308998264,250.0,1250.0,2.0,451.1806238381573
93,webui,92,3,92,975.5243571093333,79.41030152982077,50.62454499151104,250.0,1250.0,3.0,3427.615034052932
94,webui,93,3,93,1393.7077574345396,63.63502018735911,52.20006315789472,250.0,1250.0,4.0,389.4534600089838
95,webui,94,3,94,436.2192693680001,59.25526758760587,45.87723938879456,250.0,1250.0,5.0,1450.4889967372542
96,webui,95,3,95,747.346206683293,68.72641070931164,50.3623429541596,250.0,1300.0,1.0,852.2668418286515
97,webui,96,3,96,1013.7118459948613,65.57677403251925,50.607197509903784,250.0,1300.0,2.0,581.5379137087255
98,webui,97,3,97,1221.5150219311295,63.768880713215154,50.326444821731755,250.0,1300.0,3.0,458.0058058501422
99,webui,98,3,98,1388.8938336044764,63.08339545398396,49.44175891341257,250.0,1300.0,4.0,390.9101403708502
100,webui,99,3,99,380.05076488,54.093346612688364,59.761612903225796,250.0,1300.0,5.0,1017.256701155138
101,webui,100,3,100,651.2338485142425,62.78017193846917,66.37978438030561,300.0,1100.0,1.0,653.3066019196001
102,webui,101,3,101,902.4061853287221,62.92450365037995,65.66024674589701,300.0,1100.0,2.0,452.082195657157
103,webui,102,3,102,1044.9432903686925,61.94510871668008,64.23424448217322,300.0,1100.0,3.0,368.471395774294
104,webui,103,3,103,1335.8766940888886,80.4289022520399,52.96891907187323,300.0,1100.0,4.0,1931.5516133862743
105,webui,104,3,104,1140.5450360508228,59.096410823443534,63.57193887945673,300.0,1100.0,5.0,331.8085796777651
106,webui,105,3,105,385.292848892,51.67065523285146,55.266210526315795,300.0,1150.0,1.0,935.1617626312343
107,webui,106,3,106,666.8532096299999,62.85905652723214,60.690662139219015,300.0,1150.0,2.0,634.502083860087
108,webui,107,3,107,902.2136039411113,62.81891545452656,60.65311601584608,300.0,1150.0,3.0,452.53489901562943
109,webui,108,3,108,1060.8291795314242,61.50560897424181,59.23399660441428,300.0,1150.0,4.0,368.5534714491017
110,webui,109,3,109,1154.8036551034315,58.87635852799845,58.70389473684211,300.0,1150.0,5.0,334.06630649410897
111,webui,110,3,110,384.5451731633333,54.08484010049095,53.84153140916809,300.0,1200.0,1.0,917.4598865604506
112,webui,111,3,111,674.3413114783334,62.243659856132965,57.141733446519524,300.0,1200.0,2.0,611.373517408744
113,webui,112,3,112,912.185159176058,62.48085362459229,57.03495868704016,300.0,1200.0,3.0,438.8915506237933
114,webui,113,3,113,1090.6013261287858,61.673367765127445,56.17832852292014,300.0,1200.0,4.0,359.2747799767801
115,webui,114,3,114,1664.0992431309999,78.91773051197619,53.60771052631579,300.0,1200.0,5.0,1358.0011514702192
116,webui,115,3,115,1186.397888340049,58.79731895351567,55.13849711375209,300.0,1250.0,1.0,324.55217874464495
117,webui,116,3,116,386.5714343908889,51.41904004906128,50.90984719864177,300.0,1250.0,2.0,856.7124160979571
118,webui,117,3,117,672.8638500195557,61.30020172859397,53.86418845500849,300.0,1250.0,3.0,582.6629914078483
119,webui,118,3,118,909.0274370708524,62.96386457038369,53.950104131295994,300.0,1250.0,4.0,420.28647878745295
120,webui,119,3,119,1078.8714626641854,61.19036815958187,53.064211375212246,300.0,1250.0,5.0,352.35299248800226
121,webui,120,3,120,1158.6502966467403,58.71663012909238,52.39593208828527,300.0,1300.0,1.0,322.4894054514255
122,webui,121,3,121,390.584079808,52.61838367062345,48.067113752122246,300.0,1300.0,2.0,836.403258504364
123,webui,122,3,122,684.9214968091112,61.29157339641404,52.318526315789484,300.0,1300.0,3.0,568.9657770021864
124,webui,123,3,123,898.7693097001111,60.92902460641917,51.35749292586303,300.0,1300.0,4.0,418.34024542621626
125,webui,124,3,124,1074.5460630407067,61.260648021800115,50.29909677419358,300.0,1300.0,5.0,350.1434003588508
