Iteration,pod,Unnamed: 0,run,Unnamed: 0.1,index,datapoint_x,cpu throttled total,datapoint_y,cpu usage,memory usage,cpu limit,memory limit,number of pods,average response time
1,webui,0.0,4.5,0.0,6.0,128.92732595225075,290.9585606979166,13.5,38.974379739192884,52.963653846153846,200.0,600.0,1.0,5106.348270059134
2,webui,1.0,4.5,1.0,13.0,258.003177127869,810.2483713493016,65.5,60.01071645752093,53.68771153846155,200.0,600.0,2.0,1119.1174458826579
3,webui,2.0,4.5,2.0,20.0,268.071932248043,332.8457447322935,65.5,39.29679088834497,39.92442307692308,200.0,600.0,3.0,553.9400717632881
4,webui,3.0,4.5,3.0,27.0,139.33117715617715,160.19705491979167,13.5,26.23602857229695,58.729326923076925,200.0,600.0,4.0,720.8383826911921
5,webui,4.0,4.5,4.0,34.0,171.35228520049628,247.92409547686012,26.5,43.62166667917359,66.06836538461539,200.0,600.0,5.0,635.7115552453722
6,webui,5.0,4.5,5.0,41.0,204.61120584429494,266.4389340032639,39.5,45.49598469228123,66.10246794871794,200.0,700.0,1.0,554.1150114147332
7,webui,6.0,4.5,6.0,48.0,238.05820912200156,262.3597545426442,52.5,39.70781758943672,65.06139423076922,200.0,700.0,2.0,532.4191258118829
8,webui,7.0,4.5,7.0,55.0,270.27446041668304,255.39079199488825,65.5,33.31280239566776,64.70171153846154,200.0,700.0,3.0,526.3651035532877
9,webui,8.0,4.5,8.0,62.0,138.22233209498836,167.7714200010417,13.5,26.418424516946402,49.63576923076923,200.0,700.0,4.0,722.8959675084175
10,webui,9.0,4.5,9.0,69.0,170.69564655331612,255.6191735822173,26.5,43.952144806031086,56.18802884615384,200.0,700.0,5.0,627.8337959860295
11,webui,10.0,4.5,10.0,76.0,204.58474892660936,270.37576710211493,39.5,46.08301517894017,55.573557692307695,200.0,800.0,1.0,554.2058540329006
12,webui,11.0,4.5,11.0,83.0,236.22233290494478,259.7301773129464,52.5,39.78978986688785,54.92721153846155,200.0,800.0,2.0,527.4323994393735
13,webui,12.0,4.5,12.0,90.0,132.33563609365802,284.7180914447917,13.5,40.01541439021651,40.48990384615385,200.0,800.0,3.0,5096.421072524992
14,webui,13.0,4.5,13.0,97.0,269.3774839829876,251.01875363505206,65.5,33.31873608078375,54.723538461538475,200.0,800.0,4.0,521.6119770370946
15,webui,14.0,4.5,14.0,104.0,138.7307189542484,167.40983049895834,13.5,26.148799634384005,44.159230769230774,200.0,800.0,5.0,716.5869617766339
