Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,9000%,9500%
GET,/healthcheck,872,1,0,5.760321100926976,0,31.000000002677552,15.98165137614679,14.535688771359508,0.016669367857063654,31,31
GET,/square/1,923,4,0,6.026002166868805,0,31.9999999992433,12.943661971830986,15.385826532069753,0.06667747142825461,32,32
GET,/square/10,922,3,0,5.819956615951428,0,16.00000000325963,14.95119305856833,15.369157164212691,0.05000810357119097,16,16
GET,/square/2,923,5,0,5.9219934994507835,0,46.000000002095476,12.929577464788732,15.385826532069753,0.08334683928531827,46,46
GET,/square/3,923,4,0,5.811484290493054,0,16.00000000325963,12.943661971830986,15.385826532069753,0.06667747142825461,16,16
GET,/square/4,923,3,0,5.685807150642739,0,30.999999995401595,13.954496208017336,15.385826532069753,0.05000810357119097,31,31
GET,/square/5,923,3,0,5.975081256818065,0,16.00000000325963,13.954496208017336,15.385826532069753,0.05000810357119097,16,16
GET,/square/6,922,3,0,5.792841648519377,0,16.00000000325963,13.954446854663775,15.369157164212691,0.05000810357119097,16,16
GET,/square/7,922,3,0,5.662689804769772,0,31.9999999992433,13.954446854663775,15.369157164212691,0.05000810357119097,32,32
GET,/square/8,922,3,0,5.9229934923794625,0,31.000000002677552,13.954446854663775,15.369157164212691,0.05000810357119097,31,31
GET,/square/9,922,3,0,6.075921908837333,0,16.00000000325963,13.954446854663775,15.369157164212691,0.05000810357119097,16,16
,Aggregated,10097,35,0,5.86005744280424,0,46.000000002095476,13.94206199861345,168.31060725277172,0.5834278749972279,46,46
