Timestamp,User Count,Type,Name,Requests/s,Failures/s,9000%,9500%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1612484265,1,GET,/square/9,9.000000,0.000000,16,16,58,0,0,5.413793103422183,0,16.00000000325963,14.0
1612484265,1,,Aggregated,100.500000,0.000000,46,46,635,0,0,6.151181102354963,0,46.000000002095476,13.970078740157481
1612484266,1,GET,/healthcheck,10.666667,0.000000,16,16,65,0,0,6.015384615322826,0,16.00000000325963,16.0
1612484266,1,GET,/square/1,11.333333,0.000000,16,16,74,0,0,6.351351351367083,0,16.00000000325963,13.0
1612484266,1,GET,/square/10,11.000000,0.000000,46,46,73,0,0,6.767123287853829,0,46.000000002095476,15.0
1612484266,1,GET,/square/2,11.333333,0.000000,16,16,74,0,0,5.824324324183524,0,16.00000000325963,13.0
1612484266,1,GET,/square/3,11.333333,0.000000,16,16,74,0,0,6.60810810822531,0,16.00000000325963,13.0
1612484266,1,GET,/square/4,11.000000,0.000000,31,31,74,0,0,5.932432432411981,0,31.000000002677552,14.0
1612484266,1,GET,/square/5,11.000000,0.000000,16,16,74,0,0,5.93243243211701,0,16.00000000325963,14.0
1612484266,1,GET,/square/6,11.000000,0.000000,16,16,73,0,0,7.027397260260417,0,16.00000000325963,14.0
1612484266,1,GET,/square/7,11.000000,0.000000,16,16,73,0,0,4.97260273999155,0,16.00000000325963,14.0
1612484266,1,GET,/square/8,11.000000,0.000000,16,16,73,0,0,6.410958904020284,0,16.00000000325963,14.0
1612484266,1,GET,/square/9,11.000000,0.000000,16,16,73,0,0,5.602739726022613,0,16.00000000325963,14.0
1612484266,1,,Aggregated,121.666667,0.000000,46,46,800,0,0,6.132499999994252,0,46.000000002095476,13.97625
1612484267,1,GET,/healthcheck,10.000000,0.000000,16,16,76,0,0,5.96052631580709,0,16.00000000325963,16.0
1612484267,1,GET,/square/1,12.250000,0.000000,16,16,89,0,0,6.15730337081464,0,16.00000000325963,13.0
1612484267,1,GET,/square/10,12.000000,0.000000,46,46,89,0,0,7.1573033708139855,0,46.000000002095476,15.0
1612484267,1,GET,/square/2,12.250000,0.000000,16,16,89,0,0,5.887640449329635,0,16.00000000325963,13.0
1612484267,1,GET,/square/3,12.250000,0.000000,16,16,89,0,0,6.202247191130267,0,16.00000000325963,13.0
1612484267,1,GET,/square/4,12.250000,0.000000,31,31,89,0,0,6.168539325913985,0,31.000000002677552,14.0
1612484267,1,GET,/square/5,12.250000,0.000000,16,16,89,0,0,5.9775280897156335,0,16.00000000325963,14.0
1612484267,1,GET,/square/6,12.000000,0.000000,16,16,89,0,0,6.820224719059921,0,16.00000000325963,14.0
1612484267,1,GET,/square/7,12.000000,0.000000,16,16,89,0,0,5.449438202335483,0,16.00000000325963,14.0
1612484267,1,GET,/square/8,12.000000,0.000000,16,16,89,0,0,5.966292134779793,0,16.00000000325963,14.0
1612484267,1,GET,/square/9,12.000000,0.000000,16,16,89,0,0,5.483146067388262,0,16.00000000325963,14.0
