Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,9000%,9500%
GET,/healthcheck,855,3,0,5.587134502926155,0,30.999999995401595,15.943859649122807,14.252316031710771,0.050008126427055336,31,31
GET,/square/1,927,5,0,5.997842502749302,0,31.000000002677552,12.929881337648329,15.452511065960099,0.08334687737842555,31,31
GET,/square/10,926,3,0,5.980561555068239,0,30.999999995401595,14.951403887688985,15.435841690484414,0.050008126427055336,31,31
GET,/square/2,927,5,0,5.817691478015191,0,31.000000002677552,12.929881337648329,15.452511065960099,0.08334687737842555,31,31
GET,/square/3,926,4,0,5.821814254839559,0,31.000000002677552,12.943844492440604,15.435841690484414,0.06667750190274045,31,31
GET,/square/4,926,4,0,5.86717062637051,0,31.000000002677552,13.939524838012959,15.435841690484414,0.06667750190274045,31,31
GET,/square/5,926,5,0,5.661987040991962,0,16.00000000325963,13.924406047516198,15.435841690484414,0.08334687737842555,16,16
GET,/square/6,926,5,0,5.997840172782342,0,30.999999995401595,13.924406047516198,15.435841690484414,0.08334687737842555,31,31
GET,/square/7,926,5,0,6.098272138115921,0,62.000000005355105,13.924406047516198,15.435841690484414,0.08334687737842555,62,62
GET,/square/8,926,4,0,5.587473002174536,0,31.9999999992433,13.939524838012959,15.435841690484414,0.06667750190274045,32,32
GET,/square/9,926,4,0,5.850971922212465,0,31.000000002677552,13.939524838012959,15.435841690484414,0.06667750190274045,31,31
,Aggregated,10117,47,0,5.844420282692199,0,62.000000005355105,13.92122170603934,168.64407168750628,0.7834606473572002,62,62
