metric,response time exceeded,response time valid,cpu in threshold,cpu out of threshold,memory in threshold,memory out of threshold,average cpu limit,average memory limit,average pods,metric 50/50,average response time,average cpu usage,average memory usage
timestamp,1,51,10,41,29,23,300.0,400.0,2.411764705882353,77.67647058823529,570.9785892218334,53.136507436016025,71.0610576923077
cpu,0,51,10,41,29,22,300.0,400.0,2.411764705882353,75.97058823529412,570.9785892218334,53.136507436016025,71.0610576923077
latency95,1,51,10,41,29,23,300.0,400.0,2.411764705882353,77.67647058823529,570.9785892218334,53.136507436016025,71.0610576923077
median_latency,1,51,10,41,29,23,300.0,400.0,2.411764705882353,77.67647058823529,570.9785892218334,53.136507436016025,71.0610576923077
memory,1,51,10,41,29,23,300.0,400.0,2.411764705882353,77.67647058823529,570.9785892218334,53.136507436016025,71.0610576923077
response_time,1,51,10,41,29,23,300.0,400.0,2.411764705882353,77.67647058823529,570.9785892218334,53.136507436016025,71.0610576923077
rps,1,51,10,41,29,23,300.0,400.0,2.411764705882353,77.67647058823529,570.9785892218334,53.136507436016025,71.0610576923077
