timestamp,metric,container,pod,value
1613827693,cpu,cart,cart-5c4fff577-4h42z,0.3018783149444106
1613827703,cpu,cart,cart-5c4fff577-4h42z,0.31334191873222517
1613827713,cpu,cart,cart-5c4fff577-4h42z,0.3439081136344353
1613827723,cpu,cart,cart-5c4fff577-4h42z,2.590178206251826
1613827733,cpu,cart,cart-5c4fff577-4h42z,2.590178206251826
1613827743,cpu,cart,cart-5c4fff577-4h42z,2.590178206251826
1613827753,cpu,cart,cart-5c4fff577-4h42z,2.7856959406525856
1613827693,cpu,catalogue,catalogue-7f9d94b4db-gjmc5,0.275961382081273
1613827703,cpu,catalogue,catalogue-7f9d94b4db-gjmc5,0.28661909586833795
1613827713,cpu,catalogue,catalogue-7f9d94b4db-gjmc5,0.29727680965540293
1613827723,cpu,catalogue,catalogue-7f9d94b4db-gjmc5,3.4021599463367367
1613827733,cpu,catalogue,catalogue-7f9d94b4db-gjmc5,3.4021599463367367
1613827743,cpu,catalogue,catalogue-7f9d94b4db-gjmc5,3.4021599463367367
1613827753,cpu,catalogue,catalogue-7f9d94b4db-gjmc5,3.5426648974171595
1613827693,cpu,dispatch,dispatch-54f9f7c88b-mll56,1.8369701144378494
1613827703,cpu,dispatch,dispatch-54f9f7c88b-mll56,1.9075723203867336
1613827713,cpu,dispatch,dispatch-54f9f7c88b-mll56,1.9781745263356174
1613827723,cpu,dispatch,dispatch-54f9f7c88b-mll56,2.154154515939161
1613827733,cpu,dispatch,dispatch-54f9f7c88b-mll56,2.154154515939161
1613827743,cpu,dispatch,dispatch-54f9f7c88b-mll56,2.154154515939161
1613827753,cpu,dispatch,dispatch-54f9f7c88b-mll56,1.99170197555714
1613827693,cpu,mongodb,mongodb-7fcc49887c-wxtwx,1.5096953484460252
1613827703,cpu,mongodb,mongodb-7fcc49887c-wxtwx,1.5682903032541256
1613827713,cpu,mongodb,mongodb-7fcc49887c-wxtwx,1.6268852580622255
1613827723,cpu,mongodb,mongodb-7fcc49887c-wxtwx,2.8420645251438024
1613827733,cpu,mongodb,mongodb-7fcc49887c-wxtwx,2.8420645251438024
1613827743,cpu,mongodb,mongodb-7fcc49887c-wxtwx,2.8420645251438024
1613827753,cpu,mongodb,mongodb-7fcc49887c-wxtwx,2.9598011728791747
1613827693,cpu,mysql,mysql-6fbdd859fd-gpdjk,0.8513231288766364
1613827703,cpu,mysql,mysql-6fbdd859fd-gpdjk,0.8843711544559069
1613827713,cpu,mysql,mysql-6fbdd859fd-gpdjk,0.9174191800351773
1613827723,cpu,mysql,mysql-6fbdd859fd-gpdjk,6.306896077286457
1613827733,cpu,mysql,mysql-6fbdd859fd-gpdjk,6.306896077286457
1613827743,cpu,mysql,mysql-6fbdd859fd-gpdjk,6.306896077286457
1613827753,cpu,mysql,mysql-6fbdd859fd-gpdjk,6.485843003434648
1613827693,cpu,payment,payment-568954696b-qbvkl,0.08535505617079014
1613827703,cpu,payment,payment-568954696b-qbvkl,0.08860421573307567
1613827713,cpu,payment,payment-568954696b-qbvkl,0.09747478686856594
1613827723,cpu,payment,payment-568954696b-qbvkl,0.09511957510066808
1613827733,cpu,payment,payment-568954696b-qbvkl,0.09511957510066808
1613827743,cpu,payment,payment-568954696b-qbvkl,0.09511957510066808
1613827753,cpu,payment,payment-568954696b-qbvkl,0.09499246966225972
1613827693,cpu,rabbitmq,rabbitmq-86f8d8c475-7gqbn,9.977682273926758
1613827703,cpu,rabbitmq,rabbitmq-86f8d8c475-7gqbn,10.370427098722141
1613827713,cpu,rabbitmq,rabbitmq-86f8d8c475-7gqbn,10.763171923517529
1613827723,cpu,rabbitmq,rabbitmq-86f8d8c475-7gqbn,10.851971937235978
1613827733,cpu,rabbitmq,rabbitmq-86f8d8c475-7gqbn,10.851971937235978
1613827743,cpu,rabbitmq,rabbitmq-86f8d8c475-7gqbn,10.851971937235978
1613827753,cpu,rabbitmq,rabbitmq-86f8d8c475-7gqbn,10.143695882883511
1613827693,cpu,ratings,ratings-57874f848b-fxbct,1.8944036421009713
1613827703,cpu,ratings,ratings-57874f848b-fxbct,1.9656934992520303
1613827713,cpu,ratings,ratings-57874f848b-fxbct,2.010955429557237
1613827723,cpu,ratings,ratings-57874f848b-fxbct,1.9396655724061782
1613827733,cpu,ratings,ratings-57874f848b-fxbct,1.86837571525512
1613827743,cpu,ratings,ratings-57874f848b-fxbct,1.6524213333333333
1613827753,cpu,ratings,ratings-57874f848b-fxbct,1.7692703524560094
1613827693,cpu,redis,redis-0,0.5988802897134335
1613827703,cpu,redis,redis-0,0.6211472121122327
1613827713,cpu,redis,redis-0,0.6680076719639756
1613827723,cpu,redis,redis-0,0.9901632774285034
1613827733,cpu,redis,redis-0,0.9901632774285034
1613827743,cpu,redis,redis-0,1.0412483524383949
1613827753,cpu,redis,redis-0,1.0412483524383949
1613827693,cpu,shipping,shipping-85c8bd8d95-mms4m,16.331647901600547
1613827703,cpu,shipping,shipping-85c8bd8d95-mms4m,16.963622131866245
1613827713,cpu,shipping,shipping-85c8bd8d95-mms4m,17.59559636213194
1613827723,cpu,shipping,shipping-85c8bd8d95-mms4m,27.018202760704185
1613827733,cpu,shipping,shipping-85c8bd8d95-mms4m,27.018202760704185
1613827743,cpu,shipping,shipping-85c8bd8d95-mms4m,27.018202760704185
1613827753,cpu,shipping,shipping-85c8bd8d95-mms4m,21.466708303175384
1613827693,cpu,user,user-5bc66cc67d-5kdcx,0.23504407719037854
1613827703,cpu,user,user-5bc66cc67d-5kdcx,0.24427815632644215
1613827713,cpu,user,user-5bc66cc67d-5kdcx,0.23666817857142833
1613827723,cpu,user,user-5bc66cc67d-5kdcx,1.369659557380455
1613827733,cpu,user,user-5bc66cc67d-5kdcx,1.369659557380455
1613827743,cpu,user,user-5bc66cc67d-5kdcx,1.369659557380455
1613827753,cpu,user,user-5bc66cc67d-5kdcx,1.3976663689483562
1613827693,cpu,web,web-6b7cd5d75b-sn7s6,0
1613827703,cpu,web,web-6b7cd5d75b-sn7s6,0
1613827713,cpu,web,web-6b7cd5d75b-sn7s6,0
1613827723,cpu,web,web-6b7cd5d75b-sn7s6,0
1613827733,cpu,web,web-6b7cd5d75b-sn7s6,1.3170612314523413
1613827743,cpu,web,web-6b7cd5d75b-sn7s6,1.4089360662148067
1613827753,cpu,web,web-6b7cd5d75b-sn7s6,1.4089360662148067
1613827693,memory,,cart-5c4fff577-4h42z,23.4
1613827703,memory,,cart-5c4fff577-4h42z,23.4
1613827713,memory,,cart-5c4fff577-4h42z,23.4
1613827723,memory,,cart-5c4fff577-4h42z,23.4
1613827733,memory,,cart-5c4fff577-4h42z,23.4
1613827743,memory,,cart-5c4fff577-4h42z,23.4
1613827753,memory,,cart-5c4fff577-4h42z,23.4
1613827693,memory,,catalogue-7f9d94b4db-gjmc5,19.31
1613827703,memory,,catalogue-7f9d94b4db-gjmc5,19.31
1613827713,memory,,catalogue-7f9d94b4db-gjmc5,19.31
1613827723,memory,,catalogue-7f9d94b4db-gjmc5,20.96
1613827733,memory,,catalogue-7f9d94b4db-gjmc5,20.96
1613827743,memory,,catalogue-7f9d94b4db-gjmc5,20.96
1613827753,memory,,catalogue-7f9d94b4db-gjmc5,20.96
1613827693,memory,,dispatch-54f9f7c88b-mll56,10.08
1613827703,memory,,dispatch-54f9f7c88b-mll56,10.12
1613827713,memory,,dispatch-54f9f7c88b-mll56,10.14
1613827723,memory,,dispatch-54f9f7c88b-mll56,10.14
1613827733,memory,,dispatch-54f9f7c88b-mll56,10.14
1613827743,memory,,dispatch-54f9f7c88b-mll56,10.14
1613827753,memory,,dispatch-54f9f7c88b-mll56,10.14
1613827693,memory,,mongodb-7fcc49887c-wxtwx,98.28
1613827703,memory,,mongodb-7fcc49887c-wxtwx,98.28
1613827713,memory,,mongodb-7fcc49887c-wxtwx,98.28
1613827723,memory,,mongodb-7fcc49887c-wxtwx,98.28
1613827733,memory,,mongodb-7fcc49887c-wxtwx,98.28
1613827743,memory,,mongodb-7fcc49887c-wxtwx,98.28
1613827753,memory,,mongodb-7fcc49887c-wxtwx,98.28
