metric,response time exceeded,response time valid,cpu in threshold,cpu out of threshold,memory in threshold,memory out of threshold,average cpu limit,average memory limit,average pods,metric 50/50,median response time,average cpu usage,average memory usage
timestamp,43,18,15,44,38,23,437.4666666666667,460.11,1.6,75.1,1344.738472979673,70.45961883622103,77.41140710382513
cpu,41,18,15,44,38,21,437.4666666666667,460.11,1.6,72.5,1344.738472979673,70.45961883622103,77.41140710382513
latency95,43,18,15,44,38,23,437.4666666666667,460.11,1.6,75.1,1344.738472979673,70.45961883622103,77.41140710382513
median_latency,43,18,15,44,38,23,437.4666666666667,460.11,1.6,75.1,1344.738472979673,70.45961883622103,77.41140710382513
memory,43,18,15,44,38,23,437.4666666666667,460.11,1.6,75.1,1344.738472979673,70.45961883622103,77.41140710382513
response_time,43,18,15,44,38,23,437.4666666666667,460.11,1.6,75.1,1344.738472979673,70.45961883622103,77.41140710382513
rps,43,18,15,44,38,23,437.4666666666667,460.11,1.6,75.1,1344.738472979673,70.45961883622103,77.41140710382513
