metric,response time exceeded,response time valid,cpu in threshold,cpu out of threshold,memory in threshold,memory out of threshold,average cpu limit,average memory limit,average pods,metric 50/50,median response time,average cpu usage,average memory usage
timestamp,43,18,21,39,9,52,583.7185463659148,501.44342105263166,3.473684210526316,179.55263157894737,1704.6646616541354,66.29081063307018,56.65074316939891
cpu,42,18,21,39,9,51,583.7185463659148,501.44342105263166,3.473684210526316,177.31578947368422,1704.6646616541354,66.29081063307018,56.65074316939891
latency95,43,18,21,39,9,52,583.7185463659148,501.44342105263166,3.473684210526316,179.55263157894737,1704.6646616541354,66.29081063307018,56.65074316939891
median_latency,43,18,21,39,9,52,583.7185463659148,501.44342105263166,3.473684210526316,179.55263157894737,1704.6646616541354,66.29081063307018,56.65074316939891
memory,43,18,21,39,9,52,583.7185463659148,501.44342105263166,3.473684210526316,179.55263157894737,1704.6646616541354,66.29081063307018,56.65074316939891
response_time,43,18,21,39,9,52,583.7185463659148,501.44342105263166,3.473684210526316,179.55263157894737,1704.6646616541354,66.29081063307018,56.65074316939891
rps,43,18,21,39,9,52,583.7185463659148,501.44342105263166,3.473684210526316,179.55263157894737,1704.6646616541354,66.29081063307018,56.65074316939891
