metric,response time exceeded,response time valid,cpu in threshold,cpu out of threshold,memory in threshold,memory out of threshold,average cpu limit,average memory limit,average pods,metric 50/50,median response time,average cpu usage,average memory usage
timestamp,48,13,16,43,32,29,561.993648018648,477.683916083916,6.7,265.20000000000005,2518.024970115553,64.64303659028367,78.514412568306
cpu,0,0,16,43,32,27,561.993648018648,477.683916083916,6.7,234.5,2518.024970115553,64.64303659028367,78.514412568306
latency95,48,13,0,0,0,0,561.993648018648,477.683916083916,6.7,24.0,2518.024970115553,64.64303659028367,78.514412568306
median_latency,48,13,0,0,0,0,561.993648018648,477.683916083916,6.7,24.0,2518.024970115553,64.64303659028367,78.514412568306
memory,0,0,16,43,32,29,561.993648018648,477.683916083916,6.7,241.20000000000002,2518.024970115553,64.64303659028367,78.514412568306
response_time,48,13,0,0,0,0,561.993648018648,477.683916083916,6.7,24.0,2518.024970115553,64.64303659028367,78.514412568306
rps,48,13,0,0,0,0,561.993648018648,477.683916083916,6.7,24.0,2518.024970115553,64.64303659028367,78.514412568306
