,timestamp,cpu,latency95,median_latency,memory,response_time,rps
0,0.5,80.34974698497778,,,80.72,,
1,0.5166666666666667,,7749.999999999994,280.0,,1497.205357142857,6.2
2,0.6666666666666666,80.34974698497778,,,90.22,,
3,0.6833333333333333,,7874.999999999996,370.0000000000001,,1466.8426395939086,9.6
4,0.8333333333333333,,,,90.22,,
5,0.85,,8261.363636363634,394.44444444444434,,1485.837142857143,13.8
6,1.0,99.93270489319798,,,90.22,,
7,1.0166666666666666,,1750.000000000001,181.37254901960785,,1109.233628318584,20.3
8,1.1666666666666665,99.93270489319798,,,90.22,,
9,1.1833333333333333,,804.9999999999998,131.63265306122446,,879.2223684210526,20.2
10,1.3333333333333335,99.79822005360452,,,94.61,,
11,1.35,,886.8750000000002,162.6984126984127,,730.0419580419581,24.3
12,1.5,99.79822005360452,,,94.61,,
13,1.5166666666666666,,1252.9411764705897,180.8823529411765,,651.2302788844621,26.8
14,1.6666666666666667,99.79822005360452,,,94.61,,
15,1.6833333333333333,,4678.571428571427,381.2500000000001,,706.7526315789473,26.286856571714143
16,1.8333333333333333,99.92987409899088,,,94.61,,
17,1.85,,2186.9565217391305,211.76470588235304,,688.4503695881732,35.91795897948975
18,2.0,100.09701609736948,,,100.41,,
19,2.0166666666666666,,1353.7037037037026,176.06382978723406,,632.1734284440481,35.2
20,2.166666666666667,73.44701970324572,,,100.41,,
21,2.1833333333333336,,1664.2857142857142,231.5789473684211,,608.5511474134578,34.996500349965004
22,2.333333333333333,,,,48.57666666666666,,
23,2.35,,2655.454545454545,445.6521739130434,,637.5420338983051,38.003800380038
24,2.5,99.68345313284529,,,50.93666666666667,,
25,2.5166666666666666,,1827.0408163265304,309.7222222222222,,634.7379044226774,41.29591040895911
26,2.6666666666666665,99.68345313284529,,,50.93666666666667,,
27,2.683333333333333,,953.9285714285712,155.51181102362202,,591.5201875488408,46.60000000000001
28,2.8333333333333335,73.90252707390573,,,67.58333333333333,,
29,2.85,,2554.9967499999984,499.9951851851852,,609.9549228944247,43.94819734345352
30,3.0,92.70251559533767,,,57.535,,
31,3.0166666666666666,,1901.5277862595424,353.06408163265314,,619.0002103934357,54.57136019807165
32,3.1666666666666665,96.93829173379565,,,57.535,,
33,3.183333333333333,,837.5000000000005,83.89830508474577,,802.0796000769083,45.20014009806865
34,3.3333333333333335,85.57992855861227,,,65.0375,,
35,3.35,,9005.555555555555,162.5,,6576.5658362989325,34.400000000000006
36,3.5,67.5984525064582,,,80.28,,
37,3.5166666666666666,,13076.923076923043,160.9756097560976,,7204.245333333333,34.400000000000006
38,3.6666666666666665,68.61404472486623,,,80.28,,
39,3.683333333333333,,8792.553191489362,392.8571428571432,,6327.238010657194,43.6
40,3.8333333333333335,64.6926061189725,,,93.88333333333333,,
41,3.85,,7985.958986013158,656.7488075807253,,4617.561284046693,65.39986009793145
42,4.0,83.42290577873628,,,92.13499999999999,,
43,4.016666666666667,,2977.262163034929,563.503182386401,,3837.7658321060394,34.101751225858095
44,4.166666666666666,83.42290577873628,,,92.13499999999999,,
45,4.183333333333334,,2570.01618543311,397.4597970547193,,3279.6963538553496,32.1973923468878
46,4.333333333333334,82.26036777070055,,,100.93,,
47,4.35,,2854.40854052382,493.3763634544182,,3126.029131652661,13.564078354250126
48,4.5,97.345736955069,,,41.27571428571429,,
49,4.516666666666667,,1849.9999999999995,833.3333333333333,,4410.39957378796,9.544311837815004
50,4.666666666666667,97.345736955069,,,41.27571428571429,,
51,4.683333333333334,,45750.0,1700.0,,4602.737252861602,5.709553210979694
52,4.833333333333333,65.59638861825302,,,50.887142857142855,,
53,4.85,,17883.561643835616,1147.0588235294113,,4512.2333184057325,29.448189361762275
54,5.0,66.7299261382756,,,49.73571428571428,,
55,5.016666666666667,,12458.724707054302,602.4032528192097,,4265.135990139688,17.636368374235182
56,5.166666666666667,73.78926528649447,,,49.73571428571428,,
57,5.183333333333334,,4839.003304687715,800.182870117538,,4124.446428571428,16.24732736329318
58,5.333333333333333,67.18839706707256,,,56.394285714285715,,
59,5.35,,9449.020880104166,3306.3951683749806,,5953.966531440163,15.593036457891245
60,5.5,70.31547695628494,,,66.19,,
61,5.516666666666667,,16409.635890585465,2920.665506458952,,5686.176111595467,18.433403953461763
62,5.666666666666667,72.4412785260039,,,66.70285714285714,,
63,5.683333333333334,,9863.268252209458,693.5901431241974,,4829.894803548796,38.12270764537185
64,5.833333333333333,77.47465921040217,,,73.45,,
65,5.85,,7486.185130447975,247.63484194581187,,4207.071751128951,36.15838331248729
66,6.0,82.7339202122358,,,73.86,,
67,6.016666666666667,,2513.8150379942394,363.0292174016527,,3857.637845178814,27.90389030946972
68,6.166666666666667,74.63138702319732,,,73.86,,
69,6.183333333333334,,7858.3316987061535,1262.2355364085502,,3696.2074164629175,27.819328557227827
70,6.333333333333333,61.99627515514881,,,81.785,,
71,6.35,,16076.792713164108,3407.236352903923,,3771.057458563536,25.546621194383107
72,6.5,78.70846854038597,,,70.07428571428571,,
73,6.516666666666667,,8417.774451601788,1736.504103591752,,3655.5856037672384,25.90516427648597
74,6.666666666666667,79.82366089332075,,,70.07428571428571,,
75,6.683333333333334,,18025.27739816866,3222.474487287369,,3776.5930735930738,26.66832304260089
76,6.833333333333333,41.60670634544216,,,77.08285714285715,,
77,6.85,,8845.512891010183,1843.640292123447,,3689.928511117366,30.812703722783105
78,7.0,61.35111380677377,,,79.6557142857143,,
79,7.016666666666667,,8897.5489160836,1339.905150814356,,3520.388530287984,47.81202806180429
80,7.166666666666667,62.61192049354685,,,80.4157142857143,,
