,CPU,Memory,Pods
1,200,600,1
2,200,600,2
3,200,600,3
4,200,600,4
5,200,600,5
6,200,650,1
7,200,650,2
8,200,650,3
9,200,650,4
10,200,650,5
11,200,700,1
12,200,700,2
13,200,700,3
14,200,700,4
15,200,700,5
16,200,750,1
17,200,750,2
18,200,750,3
19,200,750,4
20,200,750,5
21,200,800,1
22,200,800,2
23,200,800,3
24,200,800,4
25,200,800,5
26,200,850,1
27,200,850,2
28,200,850,3
29,200,850,4
30,200,850,5
31,250,600,1
32,250,600,2
33,250,600,3
34,250,600,4
35,250,600,5
36,250,650,1
37,250,650,2
38,250,650,3
39,250,650,4
40,250,650,5
41,250,700,1
42,250,700,2
43,250,700,3
44,250,700,4
45,250,700,5
46,250,750,1
47,250,750,2
48,250,750,3
49,250,750,4
50,250,750,5
51,250,800,1
52,250,800,2
53,250,800,3
54,250,800,4
55,250,800,5
56,250,850,1
57,250,850,2
58,250,850,3
59,250,850,4
60,250,850,5
61,300,600,1
62,300,600,2
63,300,600,3
64,300,600,4
65,300,600,5
66,300,650,1
67,300,650,2
68,300,650,3
69,300,650,4
70,300,650,5
71,300,700,1
72,300,700,2
73,300,700,3
74,300,700,4
75,300,700,5
76,300,750,1
77,300,750,2
78,300,750,3
79,300,750,4
80,300,750,5
81,300,800,1
82,300,800,2
83,300,800,3
84,300,800,4
85,300,800,5
86,300,850,1
87,300,850,2
88,300,850,3
89,300,850,4
90,300,850,5
91,350,600,1
92,350,600,2
93,350,600,3
94,350,600,4
95,350,600,5
96,350,650,1
97,350,650,2
98,350,650,3
99,350,650,4
100,350,650,5
101,350,700,1
102,350,700,2
103,350,700,3
104,350,700,4
105,350,700,5
106,350,750,1
107,350,750,2
108,350,750,3
109,350,750,4
110,350,750,5
111,350,800,1
112,350,800,2
113,350,800,3
114,350,800,4
115,350,800,5
116,350,850,1
117,350,850,2
118,350,850,3
119,350,850,4
120,350,850,5
121,400,600,1
122,400,600,2
123,400,600,3
124,400,600,4
125,400,600,5
126,400,650,1
127,400,650,2
128,400,650,3
129,400,650,4
130,400,650,5
131,400,700,1
132,400,700,2
133,400,700,3
134,400,700,4
135,400,700,5
136,400,750,1
137,400,750,2
138,400,750,3
139,400,750,4
140,400,750,5
141,400,800,1
142,400,800,2
143,400,800,3
144,400,800,4
145,400,800,5
146,400,850,1
147,400,850,2
148,400,850,3
149,400,850,4
150,400,850,5
151,450,600,1
152,450,600,2
153,450,600,3
154,450,600,4
155,450,600,5
156,450,650,1
157,450,650,2
158,450,650,3
159,450,650,4
160,450,650,5
161,450,700,1
162,450,700,2
163,450,700,3
164,450,700,4
165,450,700,5
166,450,750,1
167,450,750,2
168,450,750,3
169,450,750,4
170,450,750,5
171,450,800,1
172,450,800,2
173,450,800,3
174,450,800,4
175,450,800,5
176,450,850,1
177,450,850,2
178,450,850,3
179,450,850,4
180,450,850,5
