metric,response time exceeded,response time valid,cpu in threshold,cpu out of threshold,memory in threshold,memory out of threshold,average cpu limit,average memory limit,average pods,metric 50/50,metric 60/40,average response time,average cpu usage,average memory usage
timestamp,12,40,1,50,30,22,300.0,400.0,1.7777777777777777,24.444444444444443,21.955555555555556,653.1241904959339,46.916286183825875,77.86096153846155
cpu,11,40,1,50,29,22,300.0,400.0,1.7777777777777777,23.944444444444443,21.355555555555554,653.1241904959339,46.916286183825875,77.86096153846155
latency95,12,40,1,50,30,22,300.0,400.0,1.7777777777777777,24.444444444444443,21.955555555555556,653.1241904959339,46.916286183825875,77.86096153846155
median_latency,12,40,1,50,30,22,300.0,400.0,1.7777777777777777,24.444444444444443,21.955555555555556,653.1241904959339,46.916286183825875,77.86096153846155
memory,12,40,1,50,30,22,300.0,400.0,1.7777777777777777,24.444444444444443,21.955555555555556,653.1241904959339,46.916286183825875,77.86096153846155
response_time,12,40,1,50,30,22,300.0,400.0,1.7777777777777777,24.444444444444443,21.955555555555556,653.1241904959339,46.916286183825875,77.86096153846155
rps,12,40,1,50,30,22,300.0,400.0,1.7777777777777777,24.444444444444443,21.955555555555556,653.1241904959339,46.916286183825875,77.86096153846155
