,CPU,Memory,Pods,RPS
1,300,400,1,5
2,300,400,2,5
3,300,400,3,5
4,300,400,4,5
5,300,400,5,5
6,300,450,1,5
7,300,450,2,5
8,300,450,3,5
9,300,450,4,5
10,300,450,5,5
11,300,500,1,5
12,300,500,2,5
13,300,500,3,5
14,300,500,4,5
15,300,500,5,5
16,300,550,1,5
17,300,550,2,5
18,300,550,3,5
19,300,550,4,5
20,300,550,5,5
21,300,600,1,5
22,300,600,2,5
23,300,600,3,5
24,300,600,4,5
25,300,600,5,5
26,350,400,1,5
27,350,400,2,5
28,350,400,3,5
29,350,400,4,5
30,350,400,5,5
31,350,450,1,5
32,350,450,2,5
33,350,450,3,5
34,350,450,4,5
35,350,450,5,5
36,350,500,1,5
37,350,500,2,5
38,350,500,3,5
39,350,500,4,5
40,350,500,5,5
41,350,550,1,5
42,350,550,2,5
43,350,550,3,5
44,350,550,4,5
45,350,550,5,5
46,350,600,1,5
47,350,600,2,5
48,350,600,3,5
49,350,600,4,5
50,350,600,5,5
51,400,400,1,5
52,400,400,2,5
53,400,400,3,5
54,400,400,4,5
55,400,400,5,5
56,400,450,1,5
57,400,450,2,5
58,400,450,3,5
59,400,450,4,5
60,400,450,5,5
61,400,500,1,5
62,400,500,2,5
63,400,500,3,5
64,400,500,4,5
65,400,500,5,5
66,400,550,1,5
67,400,550,2,5
68,400,550,3,5
69,400,550,4,5
70,400,550,5,5
71,400,600,1,5
72,400,600,2,5
73,400,600,3,5
74,400,600,4,5
75,400,600,5,5
76,450,400,1,5
77,450,400,2,5
78,450,400,3,5
79,450,400,4,5
80,450,400,5,5
81,450,450,1,5
82,450,450,2,5
83,450,450,3,5
84,450,450,4,5
85,450,450,5,5
86,450,500,1,5
87,450,500,2,5
88,450,500,3,5
89,450,500,4,5
90,450,500,5,5
91,450,550,1,5
92,450,550,2,5
93,450,550,3,5
94,450,550,4,5
95,450,550,5,5
96,450,600,1,5
97,450,600,2,5
98,450,600,3,5
99,450,600,4,5
100,450,600,5,5
101,500,400,1,5
102,500,400,2,5
103,500,400,3,5
104,500,400,4,5
105,500,400,5,5
106,500,450,1,5
107,500,450,2,5
108,500,450,3,5
109,500,450,4,5
110,500,450,5,5
111,500,500,1,5
112,500,500,2,5
113,500,500,3,5
114,500,500,4,5
115,500,500,5,5
116,500,550,1,5
117,500,550,2,5
118,500,550,3,5
119,500,550,4,5
120,500,550,5,5
121,500,600,1,5
122,500,600,2,5
123,500,600,3,5
124,500,600,4,5
125,500,600,5,5
