,CPU,Memory,Pods
1,200,600,1
2,200,600,2
3,200,600,3
4,200,600,4
5,200,600,5
6,200,700,1
7,200,700,2
8,200,700,3
9,200,700,4
10,200,700,5
11,200,800,1
12,200,800,2
13,200,800,3
14,200,800,4
15,200,800,5
16,200,900,1
17,200,900,2
18,200,900,3
19,200,900,4
20,200,900,5
21,200,1000,1
22,200,1000,2
23,200,1000,3
24,200,1000,4
25,200,1000,5
26,300,600,1
27,300,600,2
28,300,600,3
29,300,600,4
30,300,600,5
31,300,700,1
32,300,700,2
33,300,700,3
34,300,700,4
35,300,700,5
36,300,800,1
37,300,800,2
38,300,800,3
39,300,800,4
40,300,800,5
41,300,900,1
42,300,900,2
43,300,900,3
44,300,900,4
45,300,900,5
46,300,1000,1
47,300,1000,2
48,300,1000,3
49,300,1000,4
50,300,1000,5
51,400,600,1
52,400,600,2
53,400,600,3
54,400,600,4
55,400,600,5
56,400,700,1
57,400,700,2
58,400,700,3
59,400,700,4
60,400,700,5
61,400,800,1
62,400,800,2
63,400,800,3
64,400,800,4
65,400,800,5
66,400,900,1
67,400,900,2
68,400,900,3
69,400,900,4
70,400,900,5
71,400,1000,1
72,400,1000,2
73,400,1000,3
74,400,1000,4
75,400,1000,5
76,500,600,1
77,500,600,2
78,500,600,3
79,500,600,4
80,500,600,5
81,500,700,1
82,500,700,2
83,500,700,3
84,500,700,4
85,500,700,5
86,500,800,1
87,500,800,2
88,500,800,3
89,500,800,4
90,500,800,5
91,500,900,1
92,500,900,2
93,500,900,3
94,500,900,4
95,500,900,5
96,500,1000,1
97,500,1000,2
98,500,1000,3
99,500,1000,4
100,500,1000,5
101,600,600,1
102,600,600,2
103,600,600,3
104,600,600,4
105,600,600,5
106,600,700,1
107,600,700,2
108,600,700,3
109,600,700,4
110,600,700,5
111,600,800,1
112,600,800,2
113,600,800,3
114,600,800,4
115,600,800,5
116,600,900,1
117,600,900,2
118,600,900,3
119,600,900,4
120,600,900,5
121,600,1000,1
122,600,1000,2
123,600,1000,3
124,600,1000,4
125,600,1000,5
